time_zone_1,time_zone_2
12965,14410
11214,13137
12717,13137
6763,14410
12816,13137
12911,14417
13035,14410
12858,14407
12837,13137
12965,13137
12164,13137
12994,14411
13044,14409
13110,14411
13110,14409
13048,14411
12738,13137
12994,13137
12961,13137
6718,13137
12788,13137
12685,14410
12788,14417
13325,14407
13263,14407
12706,14407
13061,14411
13131,13137
12838,14410
13234,13137
12925,14410
12190,14410
11178,13137
12871,13137
12157,13137
13140,14407
12768,13137
13177,14410
13177,14409
13140,13137
6674,14410
12719,14410
13140,14413
13074,14411
13111,13137
13074,14409
13318,14409
13037,13137
13318,14407
13136,13137
13277,14410
1930,13137
10490,14407
6757,13137
4350,14409
12183,14410
12819,14407
13277,13137
13186,13137
12922,14409
13162,14407
12782,14410
6650,13137
12922,13137
12943,14407
13327,14407
13327,13137
13009,13137
12927,14410
12163,13137
13051,13137
6738,14407
12159,13137
10607,14410
12911,14410
12717,14407
12184,13137
