olympics_participated_in_1,olympics_participated_in_2
135,7146
6676,7130
102,7146
136,7116
167,7179
134,7179
101,7179
68,7179
6644,7102
11498,7159
135,7153
6644,7103
135,7159
170,7100
6676,7146
104,7100
170,7102
137,7102
170,7103
137,7103
104,7102
71,7103
6644,7116
6676,7153
170,7116
6644,7130
168,7179
137,7116
135,7179
104,7116
102,7179
6676,7159
36,7179
3,7179
6645,7102
6744,7103
170,7130
137,7130
6644,7146
171,7102
171,7103
9286,7159
6744,7116
105,7103
6643,7179
6645,7116
6644,7153
6676,7183
6744,7130
171,7116
105,7116
103,7179
70,7179
37,7179
6644,7159
170,7153
6679,7103
170,7155
6679,7102
71,7155
170,7159
6744,7146
171,7130
6679,7116
106,7103
6744,7153
6644,7179
6644,7183
170,7179
137,7179
104,7179
170,7183
38,7179
5,7179
171,7153
6679,7130
6647,7102
6645,7179
6647,7116
6678,7179
41,7103
6744,7179
6679,7153
171,7179
138,7179
41,7116
171,7183
141,7096
141,7098
140,7130
141,7100
108,7100
141,7102
75,7100
141,7103
108,7102
75,7102
108,7103
141,7105
75,7103
141,7106
141,7108
141,7109
141,7111
108,7111
141,7114
172,7179
141,7116
108,7116
75,7116
141,7118
106,7179
73,7179
141,7120
40,7179
141,7121
141,7123
141,7125
141,7127
141,7129
141,7130
108,7130
141,7131
141,7132
75,7130
141,7133
175,7103
141,7134
109,7102
109,7103
141,7138
141,7139
141,7141
141,7142
141,7143
141,7146
108,7146
141,7147
109,7116
140,7179
141,7150
41,7179
141,7152
141,7153
141,7155
108,7155
141,7157
141,7158
141,7159
108,7159
176,7100
109,7130
110,7100
76,7130
176,7102
141,7164
176,7103
6681,7179
110,7102
6716,7116
110,7103
44,7102
77,7103
44,7103
141,7169
176,7116
109,7146
110,7116
141,7179
108,7179
6684,7102
44,7116
75,7179
141,7181
141,7183
108,7183
109,7153
6684,7103
176,7130
109,7159
110,7130
44,7130
177,7103
78,7100
111,7102
78,7102
111,7103
12,7100
45,7102
6684,7116
78,7103
6717,7116
45,7103
12,7102
12,7103
6684,7130
110,7146
175,7179
111,7116
142,7179
78,7116
109,7179
44,7146
76,7179
12,7116
43,7179
44,7153
176,7159
177,7130
6684,7146
111,7130
178,7102
45,7130
12,7130
112,7102
6683,7179
6716,7179
6684,7153
176,7179
111,7146
143,7179
78,7146
110,7179
77,7179
45,7147
12,7146
44,7179
111,7153
78,7153
12,7153
6717,7179
179,7102
12,7159
179,7103
