listed_site_1,listed_site_2
14485,10555
14485,9914
14485,8505
14485,10679
14485,11703
14485,11702
14485,8500
14485,11328
14485,10688
14486,11680
14485,8510
14882,11564
14882,11691
14882,12715
14486,11564
14486,12715
14486,11691
14487,9355
14485,10439
14485,8518
14486,11175
14485,10065
14485,10576
14882,11067
14485,10317
14485,9932
14485,11738
14486,11067
14485,10713
14486,10937
14487,14488
14485,8532
14485,11604
14486,10037
14882,9680
14487,9633
14485,9182
14485,10845
14485,11754
14485,10345
14485,11497
14487,11434
14485,11368
14485,6758
14485,11109
14485,9956
14486,9680
14485,10479
14485,9453
14485,10220
14485,11514
14485,11641
14486,11354
14485,11523
14485,10497
14882,6764
14485,10749
14485,11133
14485,9468
14486,6764
14485,11144
14485,9735
14486,11240
14485,9350
14882,10995
14485,9988
14485,10643
14486,10995
14485,11152
14487,9296
14485,9614
14485,11661
14485,10381
14485,11419
14485,11802
14882,10886
14485,11669
14487,11109
14485,9633
14486,10753
14485,8478
14485,8491
14485,11434
14485,10153
14485,9511
14486,10886
14485,9253
14485,10532
14485,9523
14485,9906
14485,11570
14485,8496
14485,11821
