place_of_birth_1,place_of_birth_2
6006,9464
6170,8476
3357,9660
3959,11481
6089,10984
8992,11104
4297,9199
8078,10766
7998,9155
7781,11785
4056,8475
6963,8476
11915,10614
1412,8526
7994,9281
3473,10170
7819,10617
4219,11625
3355,9737
6831,8475
5737,9624
3431,11481
4112,10848
3528,8476
5468,1585
8093,10316
6923,9729
7718,9660
3130,8526
8389,9334
8068,11093
5641,8509
7711,9881
5848,10289
3660,8488
12116,8494
4320,8513
3373,9199
7971,10018
1374,9729
6835,184
12350,9451
3925,8476
5339,9702
6832,8475
1190,11348
3856,10626
7888,8512
4250,10698
8153,8488
6243,10365
1283,8476
284,10773
3665,171
8021,8498
6136,9587
3500,9388
8285,8513
12118,8475
3926,8475
698,10239
5246,8513
3628,9527
4321,8531
6204,11597
6250,10170
6638,10436
6808,5164
1150,8531
7626,8477
12434,10978
3843,11069
7710,9973
12349,9527
584,9702
3134,8475
1490,10288
3755,9706
8419,8488
6966,8476
8367,10094
7706,10112
3981,10899
952,10589
4190,8513
3733,10395
1019,8513
3739,10210
6834,8475
3617,9901
3721,10773
3481,10020
3795,8478
1196,11224
1388,9370
5409,11699
7627,8476
6741,11364
3640,9193
849,9700
7960,10446
6119,10170
1285,8476
6174,8476
3875,10112
6833,8526
6801,9516
12675,11739
7588,9702
5248,8513
665,11321
889,8475
6306,8488
757,8475
12411,11739
8287,8513
817,10712
756,8508
8249,9702
227,8525
3796,8477
625,8476
3213,10170
8134,9178
4138,10170
4324,8500
12289,11445
7698,10408
4325,8475
3595,10622
7955,10635
12415,11639
1116,9660
493,8494
5645,8525
1378,9733
3113,9196
1193,11374
4023,9659
8248,9766
7671,11267
8266,9203
5605,1585
8264,9275
8087,10667
362,8475
4284,1585
3493,9724
675,11069
7596,9514
3626,9702
6736,11598
6176,8477
8290,8476
4124,10648
5383,8488
8118,9718
3243,9297
4031,9448
6075,11620
12122,8488
7630,8476
7967,10316
8268,9173
712,9942
3209,10361
759,8497
7694,10597
1024,8475
3466,10598
8076,11046
3732,10545
494,8525
4006,10245
7978,9994
4159,9604
5223,9386
4024,9702
590,9659
982,9795
3666,8512
1421,8476
7822,10750
7796,11555
3877,10170
8291,8498
8896,10235
1157,8476
6838,8494
6899,10698
3745,10170
6004,1585
12388,8475
8005,9188
6914,10245
1235,10170
7020,11061
3403,8498
924,11625
5349,9623
8116,9866
8338,11176
1290,8476
3178,11390
6311,8476
6917,10170
4125,10704
4328,8513
4197,8476
3880,10112
3645,9209
12096,9368
316,10007
5594,10229
1500,10170
4064,8514
8375,10045
7631,8526
3859,10777
6840,8476
6933,9688
3356,9990
679,11058
6817,9199
1326,11481
1423,8476
7633,8476
1230,10365
3273,8475
840,10170
11944,10007
4198,8476
12418,11700
8387,9685
8394,9468
1476,10940
4066,8476
4329,8513
7003,11641
7844,10146
8346,10962
497,8525
702,10362
8789,9528
1133,9292
3232,9760
6973,8476
12452,10661
3477,10361
8256,9665
3506,9464
6356,11224
4290,9740
1270,9155
7592,9780
1261,9436
1136,5119
3537,8513
