cities_1,cities_2
12854,9659
10277,11209
13028,10408
13306,9991
12854,10691
12854,9155
10277,10192
12797,10408
10863,10461
13028,9389
14429,9991
14429,9490
13028,9399
14418,9830
12797,9389
14429,8475
13306,9493
14429,10519
12797,9399
11455,10553
13306,9490
14429,9493
13306,8477
13306,8475
13306,8476
12854,11224
12854,9688
10277,10215
14429,8477
13028,9425
12854,9700
12854,10210
13028,11481
13306,8495
12797,9425
14429,8495
13306,9528
14429,9528
12854,9714
12797,11481
10783,9404
12854,9199
12797,9443
13306,10048
14429,10048
13306,8509
13028,10984
14429,8513
13028,9443
14429,8509
12797,9451
12797,10984
12854,10754
12854,10239
13028,10989
13028,9451
13306,8513
10863,11032
14429,8531
13306,8525
13306,8526
14429,8526
12854,10248
12797,10989
14429,8525
13306,8531
12854,10766
10863,10542
13028,9490
12797,9991
11455,9609
12797,9490
13028,10519
10863,9541
13028,9493
10863,8513
12797,8475
13306,10614
13028,8477
14429,10614
12797,10519
13028,8475
13028,8476
12797,9493
12797,8476
12797,8477
14429,10123
13028,8495
13028,9528
13306,10123
12797,8495
13028,8513
13306,10648
12797,9528
14429,10648
13028,8509
12854,10832
10277,9820
11455,10680
12797,10048
12797,8513
12797,8509
14429,11176
13028,8525
13028,8526
13306,11184
12797,8531
11455,9682
14429,11184
12797,8526
13028,8531
12797,8525
10277,11382
14429,9659
11640,10614
10277,9341
14429,10691
14429,9155
12854,10361
12854,10362
13306,9659
13306,9660
12854,10872
14429,9660
10277,9350
13306,9155
13306,10691
12854,9853
13028,10614
10277,10388
13306,11224
13306,9688
14429,9688
14429,11224
12797,10614
10783,10585
14429,10210
12854,10389
12797,10123
13306,9700
13028,10123
14429,9700
13306,10210
14429,9714
13306,9199
11455,11283
13028,10648
12854,10408
14429,9199
12797,10648
12854,9389
13306,9714
14429,10754
12854,9399
14429,10239
10863,9691
13306,10248
14429,10248
12797,11176
13306,10754
12797,11184
13306,10766
14429,10766
12797,9659
12854,9425
10863,11244
13028,9659
13028,9660
10863,10227
11455,9283
12797,10691
12797,9155
12854,11481
13028,10691
13028,9155
12797,9660
12854,9443
12854,9451
10783,9650
13028,11224
13028,9688
10863,10239
12854,10984
12797,11224
12797,9688
12854,10989
12797,10210
10386,9688
10277,11530
13028,9700
13028,9714
13028,9199
12797,9700
12797,9714
13306,10832
14429,10832
12854,9991
12797,9199
14026,8476
11115,9628
13028,10754
13028,10239
12854,9490
10386,9199
12797,10754
12854,8475
12854,8476
13028,10248
12854,10519
12797,10239
12854,9493
12797,10248
13028,10766
12854,8477
11640,5164
10277,11579
12797,10766
10386,10756
14429,10362
13306,10872
14429,10872
14429,10361
12854,8495
10277,10558
13306,9853
12854,9528
13306,10361
14429,9853
13306,10362
12854,8513
12854,10048
10277,8524
12854,8509
10863,11363
11455,11445
12854,8531
13306,10389
11115,10210
12854,8525
14429,10389
12854,8526
10386,10289
13306,10408
14429,10408
10863,10365
13028,10832
13306,9389
12797,10832
14429,9389
13306,9399
10277,10115
10277,9597
14429,9399
12854,10614
12854,10123
13028,10361
13028,10362
13028,10872
14429,9425
12797,10362
10863,10411
14429,11481
12797,10872
12797,10361
13028,9853
13306,9425
14429,9443
12854,10648
13306,11481
12797,9853
13306,10984
14429,9451
14429,10984
13306,9443
13306,10989
13028,10389
13306,9451
12854,11176
14429,10989
11455,10524
11455,8476
12854,11184
12797,10389
