organization_1,organization_2
13511,10284
13511,10283
13511,10280
13679,13263
13679,13276
13511,10293
13679,13277
152,6625
13679,13274
152,6627
6757,6673
13679,13270
13679,13271
20,6627
152,6634
6758,6649
20,6634
13679,13292
152,6640
13511,10314
13679,13296
13511,10310
13511,10325
21,6627
13679,13316
21,6631
13511,10331
21,6633
21,6634
13679,13320
13679,13321
13679,13318
13511,10334
13511,10346
13679,13327
13511,10343
154,6627
13679,13339
22,6627
13679,13334
154,6633
13511,10364
154,6634
13679,13346
13511,10363
22,6634
154,6640
13511,10359
13511,10368
6760,6661
13511,10366
13511,10380
13685,13177
13511,10376
13511,10374
13679,13358
155,6627
13683,9150
23,6625
23,6626
23,6627
155,6631
6759,6713
13679,13380
23,6631
6761,6649
13679,13378
23,6634
13679,13376
13679,13374
23,6637
13679,13375
13679,13386
13686,13177
6630,6629
13511,10409
156,6627
24,6627
156,6631
3987,6656
13679,13401
156,6634
24,6631
156,6637
6762,6649
24,6634
23,6667
13679,13418
13683,9194
13511,10430
13684,9177
13679,13426
13511,10441
157,6626
157,6627
13679,13423
13511,10452
13679,13434
6628,6731
13511,10451
157,6633
157,6634
13679,13430
157,6635
13511,10447
13511,10460
13679,13445
13679,13442
13511,10456
6632,6625
13511,10469
13702,12738
13679,13448
13679,13449
13511,10462
6632,6627
13679,13447
6632,6634
3987,6708
13511,10477
6763,6673
14020,11077
158,6626
158,6627
26,6626
26,6627
13511,10482
158,6633
6764,6649
158,6634
13511,10481
158,6635
26,6633
26,6634
26,6635
13511,10490
13511,10491
13511,10486
26,6640
13511,10501
6765,6629
13684,9229
13511,10508
159,6626
159,6627
13511,10505
27,6625
27,6627
159,6633
159,6634
159,6635
27,6634
13679,13508
13684,9255
13684,9263
13511,10530
13684,9274
13511,10534
13511,10535
13684,9268
28,6627
28,6631
13511,10544
28,6634
6766,6649
13684,9276
13684,9288
6767,6627
13511,10559
161,6627
29,6625
29,6627
27,6690
13684,9313
13511,10580
161,6634
161,6635
29,6634
29,6640
6636,6626
6636,6627
6636,6634
6636,6633
13511,10593
6636,6631
13511,10591
162,6627
6636,6635
13511,10600
30,6626
13511,10601
30,6627
162,6631
6768,6649
162,6634
30,6633
30,6634
30,6635
13511,10607
13511,10619
13511,10615
1219,6656
13684,9355
163,6625
31,6625
31,6627
163,6633
13511,10631
13511,10644
13511,10645
6769,6649
31,6633
31,6634
13683,9417
31,6640
13683,9415
6770,6629
6638,6629
13686,13426
164,6626
164,6627
13511,10669
32,6627
13684,9397
164,6633
164,6634
13511,10663
164,6635
13511,10676
13511,10674
32,6634
13511,10675
164,6640
13511,10673
32,6637
13511,10671
32,6640
32,6641
6639,6627
6639,6626
6639,6633
13511,10692
165,6625
165,6627
6639,6634
33,6625
13511,10701
33,6627
6771,6649
165,6633
13511,10694
33,6634
165,6640
33,6637
13684,9450
13511,10724
13511,10722
13511,6626
166,6625
166,6627
13511,10718
34,6627
166,6634
6772,6649
13511,10727
13511,10740
34,6634
13684,9471
166,6640
13511,10734
13511,10735
13511,6650
13511,6661
13511,6659
13511,10752
167,6627
13511,10753
13511,6657
35,6625
35,6627
167,6633
13511,10763
167,6634
6773,6649
35,6634
167,6640
13511,6675
13511,10771
6642,6627
13511,6682
13511,6680
6642,6631
13511,6692
13511,6693
6642,6634
168,6627
13684,9515
6642,6637
36,6627
13511,6701
168,6633
13511,10794
6642,6641
168,6634
13511,10795
36,6631
13684,9526
13511,10790
36,6634
13683,9568
168,6640
13511,6709
13511,10805
13511,6707
13511,6703
13509,10874
13684,9546
6643,6627
13511,10810
6774,6661
13684,9544
13511,10806
13683,9570
6643,6637
13511,6722
6643,6634
169,6627
13511,6720
37,6626
13511,6718
37,6627
6775,6649
13511,10828
13511,6732
169,6634
13511,6730
13511,6731
13511,6728
37,6634
13511,6727
13511,6738
6644,6626
6644,6625
3340,6649
13511,10831
13511,6748
13511,6749
6644,6627
13511,6747
6644,6634
13511,6745
13511,6742
6644,6631
13511,6743
170,6625
13511,10852
6644,6637
170,6626
14020,11458
13511,10853
170,6627
13511,10850
13511,6755
13683,9615
13511,10851
13511,6752
38,6627
13511,10847
6776,6649
170,6634
13511,6762
3603,6708
170,6637
13511,10856
38,6634
13511,6761
13511,6758
13511,10855
170,6641
13511,6772
13679,13853
13511,6773
13511,6771
6645,6627
6777,6631
13511,6768
13511,6769
13511,10862
13511,6779
13679,1568
13511,6776
6645,6634
13511,6775
13511,10884
171,6627
13511,6789
13684,9618
13511,10885
6645,6637
6644,6667
13511,6787
13511,6784
171,6631
13511,6785
13511,10881
13511,6782
171,6634
170,6667
13511,10889
13511,6791
13511,10900
13511,10901
13511,10898
13684,9627
13700,9145
13511,10906
6646,6629
13511,10902
172,6626
172,6627
40,6627
172,6633
172,6634
40,6631
172,6635
832,6656
171,6667
13511,10925
13684,9655
6778,6649
40,6634
5722,6628
6647,6627
13679,1637
6647,6637
6647,6634
6647,6641
41,6625
41,6627
6779,6649
3927,13140
41,6631
41,6634
569,6656
6648,6629
13511,10958
13511,10973
6647,6667
42,6626
42,6627
13684,9712
6780,6649
13511,10977
13684,9721
42,6634
42,6635
13511,10982
13700,9234
6781,6628
13511,10995
13511,10992
13511,11005
175,6625
175,6627
13511,11012
43,6627
13511,11013
175,6634
43,6633
43,6634
13684,9753
13511,11021
175,6640
13511,11017
43,6640
13511,11014
13683,9778
13511,11026
13511,11022
176,6625
176,6626
176,6627
44,6627
13511,11042
176,6634
13511,11043
6782,6649
13511,11039
176,6640
44,6637
6650,6649
13684,9784
572,6656
14020,11654
6651,6629
13511,11054
177,6626
177,6627
14020,11672
45,6625
177,6631
45,6627
13511,11076
177,6634
177,6635
45,6631
45,6634
45,6637
6783,6661
6652,6626
13703,9224
45,6641
13684,9811
6652,6627
13511,11091
6652,6634
6652,6633
13511,11089
178,6627
6652,6635
46,6625
13511,11096
13684,9829
6652,6640
46,6627
13511,11095
13511,11108
6784,6649
46,6633
46,6634
45,6667
13684,9836
13684,9849
13511,11122
3381,1568
179,6625
179,6627
47,6625
14020,11733
47,6627
179,6631
179,6634
6785,6649
179,6637
13683,9903
47,6634
13684,9869
179,6640
6653,6649
179,6641
13511,11149
13679,10034
13511,11147
6786,6631
13684,9875
6654,6631
13511,11154
13511,11155
13511,11151
6719,12819
179,6667
13679,10059
13511,11178
13684,9912
13511,7081
13511,11177
6655,6627
13703,9332
6655,6631
13703,9330
14020,11790
181,6626
181,6627
13703,9327
13684,9930
13684,9927
49,6627
6787,6649
13511,11192
181,6633
181,6634
181,6635
13703,9348
49,6633
49,6634
181,6640
13511,11199
49,6640
13511,11206
13511,11207
182,6626
182,6627
13511,11214
50,6625
50,6627
182,6633
6788,6649
182,6634
182,6635
50,6631
13511,11222
13679,1930
13511,11232
13511,11240
183,6627
13684,9979
51,6625
51,6626
13511,11260
