parent_cause_of_death_1,parent_cause_of_death_2
13019,13952
13977,13950
13979,13950
13957,13929
13972,13333
13926,13926
13941,13333
14640,13950
13415,13333
14639,13019
12876,13333
13260,13333
13163,13333
13957,14639
13975,13950
13945,13934
13932,13950
13934,13952
13944,13333
13946,13333
13178,13333
13935,13926
13149,13333
13938,13333
13236,13333
13948,13019
13942,13333
13951,13950
12712,13333
13491,13950
13939,13950
13493,13950
13495,13950
13974,13950
13957,13019
13962,13950
12929,13333
14348,13950
13491,13954
14350,13950
14641,13952
13954,13950
13956,13950
13967,13929
