gender_1,gender_2
8249,13660
13270,13660
4285,13660
1114,13660
6135,13661
7985,13661
4021,13660
850,13660
5871,13660
6928,13660
3757,13660
586,13660
5607,13660
11949,13660
7721,13660
3493,13660
1379,13660
5343,13660
4286,13660
3229,13660
1115,13660
4022,13660
6136,13660
8250,13660
3758,13660
5872,13660
6929,13660
7986,13660
587,13661
8779,13660
3494,13660
7722,13661
323,13660
1380,13661
4287,13660
1116,13660
3230,13661
4023,13660
8251,13660
6930,13660
852,13660
11951,13660
3759,13660
9044,13660
7987,13660
588,13660
7723,13660
5609,13660
8780,13661
3495,13660
1381,13661
3231,13661
4288,13660
1117,13660
6138,13660
4024,13661
8252,13660
11952,13660
853,13661
6931,13660
7988,13660
5874,13661
3760,13660
589,13660
5610,13660
7724,13660
3496,13660
1382,13660
325,13661
5346,13660
3232,13660
4289,13660
1118,13660
6139,13660
8253,13660
4025,13660
854,13660
5875,13660
11953,13660
6932,13660
7989,13660
590,13660
3761,13661
5611,13661
7725,13660
3497,13660
1383,13661
4290,13660
8254,13660
3233,13660
1119,13660
4026,13660
6140,13660
7990,13660
3762,13660
6933,13660
7726,13660
11954,13660
3498,13660
1384,13660
327,13660
3234,13660
8255,13660
5348,13660
1120,13660
4027,13660
7991,13660
6141,13660
856,13660
3763,13660
5877,13661
6670,13660
592,13660
7727,13660
11955,13660
3499,13661
1385,13660
328,13660
8256,13660
5349,13660
3235,13660
4292,13660
6142,13660
1121,13661
7992,13661
4028,13660
857,13661
6935,13660
3764,13660
11956,13660
5614,13660
593,13661
7728,13660
3500,13660
1386,13660
5350,13660
8257,13660
3236,13660
4293,13660
1122,13660
7993,13660
858,13661
6936,13660
3765,13660
594,13660
11957,13660
7729,13660
3501,13660
1387,13660
330,13661
5351,13660
4294,13660
3237,13660
4030,13660
6144,13660
8258,13660
11958,13660
859,13661
3766,13660
5880,13660
6937,13660
7994,13660
7730,13660
8787,13661
5616,13660
1388,13660
4295,13660
3238,13660
1124,13660
4031,13661
6145,13661
8259,13660
860,13661
11959,13660
3767,13660
9052,13660
7995,13660
5881,13660
596,13660
7731,13660
3503,13661
332,13661
3239,13660
4296,13660
1125,13660
6146,13660
8260,13660
4032,13660
11960,13660
6939,13660
861,13661
9053,13660
7996,13661
3768,13660
597,13660
7732,13660
3504,13660
8789,13660
1390,13660
333,13660
5354,13660
4297,13660
1126,13660
3240,13661
6147,13660
8261,13660
4033,13660
862,13660
11961,13661
5883,13660
6940,13660
7997,13660
3769,13660
598,13660
5619,13660
7733,13660
3505,13660
1391,13661
4298,13660
8262,13660
3241,13660
1127,13661
6148,13660
7998,13660
4034,13661
863,13660
3770,13660
6941,13660
7734,13660
11962,13660
6677,13660
3506,13661
1392,13660
335,13660
5356,13661
4299,13661
8263,13660
3242,13660
1128,13660
13548,13660
4035,13660
7999,13660
6149,13661
6942,13660
864,13661
3771,13660
8792,13660
5885,13660
7735,13660
600,13660
11963,13661
1393,13660
8264,13660
3243,13660
4300,13660
1129,13660
6150,13660
13549,13660
8000,13660
4036,13660
865,13661
3772,13660
601,13660
11964,13660
5622,13660
7736,13660
3508,13660
13550,13660
1394,13660
5358,13660
337,13661
3244,13660
8265,13660
4301,13660
1130,13661
6151,13660
8001,13660
4037,13661
866,13661
6944,13661
3773,13660
11965,13660
5623,13661
7737,13660
3509,13660
1395,13660
338,13660
5359,13660
4302,13660
3245,13660
1131,13660
4038,13660
6152,13661
8266,13660
3774,13660
6945,13660
8002,13660
7738,13660
603,13660
3510,13660
5624,13660
1396,13660
13552,13660
5360,13661
4303,13660
3246,13660
12231,13660
1132,13660
4039,13660
6153,13661
8267,13661
6946,13660
868,13660
11967,13660
13024,13660
8003,13660
5889,13660
7739,13660
3511,13660
1397,13660
340,13660
5361,13660
4304,13660
3247,13660
6154,13660
1133,13661
8268,13660
4040,13660
11968,13660
9061,13660
8004,13660
3776,13660
605,13661
5626,13660
7740,13660
3512,13660
1398,13660
5362,13660
3248,13660
13554,13660
4305,13660
6155,13661
8269,13660
870,13661
11969,13660
5891,13660
6948,13660
8798,13660
8005,13661
3777,13660
606,13660
5627,13661
7741,13660
3513,13660
1399,13661
342,13661
8270,13660
1135,13660
4306,13661
4042,13660
6156,13660
8006,13660
871,13661
3778,13660
5892,13660
7742,13660
11970,13660
607,13660
3514,13660
5628,13660
1400,13661
343,13660
5364,13661
4307,13661
8271,13660
1136,13661
4043,13660
9064,13660
8007,13660
6950,13660
872,13660
3779,13661
5893,13660
13028,13661
7743,13660
608,13661
11971,13660
13028,13660
3515,13660
1401,13660
344,13660
4308,13661
8272,13660
3251,13660
6158,13660
1137,13660
8008,13661
4044,13660
873,13660
6951,13660
5894,13661
3780,13660
11972,13660
609,13661
6687,13660
7744,13660
3516,13660
1402,13660
5366,13660
8273,13660
4309,13660
3252,13661
1138,13660
6159,13661
8009,13660
4045,13661
5895,13661
874,13661
6952,13660
12237,13660
3781,13660
610,13660
5631,13660
11973,13660
7745,13661
3517,13661
346,13660
1403,13661
5367,13660
4310,13660
3253,13660
1139,13660
4046,13660
6160,13660
8274,13660
8010,13661
11974,13660
875,13660
3782,13660
4839,13661
5896,13660
6953,13661
7746,13660
611,13661
5632,13661
3518,13660
1404,13660
4311,13660
3254,13660
12239,13660
1140,13660
4047,13660
8275,13660
6954,13660
876,13661
11975,13660
3783,13660
8011,13660
5897,13660
7747,13660
612,13660
5633,13660
3519,13660
1405,13660
348,13660
3255,13660
5369,13661
4312,13660
6162,13660
1141,13661
8276,13660
4048,13660
5898,13660
11976,13660
8012,13660
3784,13660
613,13660
5634,13660
7748,13660
3520,13660
1406,13661
5370,13660
3256,13660
4313,13660
1142,13660
6163,13660
9070,13660
8277,13661
4049,13660
878,13661
5899,13660
11977,13660
6956,13660
8013,13660
3785,13660
614,13661
7749,13660
3521,13660
1407,13660
350,13660
5371,13660
8278,13660
3257,13660
4314,13661
1143,13661
8014,13660
4050,13661
3786,13660
5900,13661
6957,13660
7750,13660
615,13661
3522,13660
5636,13660
1408,13660
4315,13661
8279,13661
3258,13661
1144,13661
4051,13660
8015,13660
6165,13660
6958,13660
880,13660
3787,13661
5901,13660
7751,13661
3523,13660
1409,13661
352,13660
8280,13660
3259,13661
4316,13660
1145,13661
4052,13661
8016,13660
5902,13660
881,13661
6959,13660
3788,13660
617,13660
5638,13660
7752,13660
3524,13660
1410,13660
8281,13661
4317,13661
1146,13660
3260,13661
6167,13660
8017,13660
4053,13661
6960,13660
3789,13660
618,13661
5639,13661
6696,13660
7753,13660
3525,13660
1411,13660
354,13661
5375,13660
3261,13660
4318,13661
4054,13660
6168,13661
8282,13660
8018,13661
883,13661
3790,13660
6961,13660
7754,13660
619,13661
3526,13660
1412,13660
4319,13660
3262,13660
5376,13660
1148,13661
4055,13660
6169,13661
8283,13660
6962,13660
884,13661
3791,13661
8019,13660
7755,13661
6698,13660
620,13660
5641,13660
3527,13660
1413,13661
356,13660
5377,13660
4320,13660
