award_winner_1,award_winner_2
7322,1439
7335,1034
1013,412
3015,3887
3119,662
1010,512
4063,4177
3107,1046
1010,520
983,1357
4094,3222
4067,4068
2061,716
7361,257
3127,440
7352,535
7324,1414
995,1011
2919,6905
7351,583
4095,3219
3106,1114
1011,523
3098,1361
3128,440
995,1026
4068,4067
3114,875
7355,481
2943,6181
6177,4228
1019,290
929,3081
7358,391
7351,613
7360,333
7323,1483
3106,1141
3099,1361
3106,1148
2916,7038
1006,712
4074,3912
3106,1153
4101,3082
4101,3083
6094,6835
7351,635
997,1006
3117,825
1979,3338
983,1449
903,3935
7340,1001
3114,935
6279,1127
7346,824
3107,1166
13489,7003
758,8451
7340,1016
992,1198
3016,3989
4085,3634
4085,3635
997,1057
1952,4219
7351,696
1959,4009
1868,6830
949,2550
7340,1035
3134,356
7355,574
1006,790
7340,1043
4088,3557
7344,926
13490,7003
7334,1237
3020,3904
2061,865
1958,4068
4065,4285
1958,4067
1000,1001
7351,731
7351,741
7351,740
4097,3308
3017,4023
3105,1294
7340,1085
7367,247
3106,1275
1013,625
7339,1133
7332,1350
2899,7705
1026,235
2883,8205
7334,1303
7340,1117
992,1301
3114,1059
3024,3849
2043,1495
997,1154
3035,3517
7334,1318
1988,3208
1019,479
1023,358
3114,1078
7351,805
3126,705
4069,4240
7340,1143
3107,1299
4082,3841
4087,3692
3117,992
7351,815
4075,4076
1918,5405
1012,726
935,3114
1019,511
7361,518
1019,514
3106,1357
1990,3192
7361,535
7364,444
1026,318
7332,1439
7351,850
3134,510
7358,640
4076,4075
7357,677
992,1388
1030,212
7369,308
14394,11919
4100,3347
1013,743
7340,1216
1026,344
1971,3818
1013,750
7340,1219
7336,1350
4078,4044
935,3173
1988,3297
4078,4045
1009,883
7335,1387
6051,8426
4096,3501
7340,1245
995,1332
3107,1396
1988,3320
7356,753
1006,997
7342,1190
3114,1187
7337,1350
4081,3986
7336,1386
3107,1412
1923,5348
7336,1387
1026,393
7368,402
3106,1449
4092,3651
1010,892
903,4210
995,1362
4077,4127
1910,5768
7361,624
14396,11919
7340,1281
7340,1280
1025,440
1990,3296
7335,1445
1990,3297
7351,948
4079,4080
7341,1260
6066,8024
3137,518
7342,1233
4100,3435
7351,967
1006,1057
7350,1001
7336,1435
7372,325
4073,4294
3049,3271
7360,706
997,1349
4080,4079
7351,983
3138,518
4108,3229
7351,1001
4108,3228
917,3849
7350,1034
1013,875
1011,938
997,1373
1011,942
1019,696
997,1379
1995,3208
3042,3522
7359,773
7372,369
7361,710
1028,425
1023,583
7368,497
1011,956
7351,1023
1990,3375
6157,5268
1990,3377
7340,1369
1030,374
7351,1032
1828,8406
7342,1310
1030,378
3114,1313
7341,1350
1988,3459
4107,3306
7377,241
1023,613
3032,3871
1026,523
2061,1208
1011,995
1013,935
995,1493
941,3168
1006,1154
7340,1408
14400,11919
1010,1035
3041,3612
7357,888
1035,266
4083,4084
1970,4049
4077,4274
7357,899
3045,3496
7340,1427
1985,3596
997,1459
1011,1026
6228,3141
2069,1001
4092,3830
4084,4083
1012,1013
1852,7742
1990,3466
2891,8305
7374,402
1010,1080
7351,1114
1988,3536
7351,1122
7361,816
