district_represented_1,district_represented_2
5153,5187
5089,5126
5089,5124
5087,5187
5089,5131
5089,5128
13511,51
5155,5136
5089,5136
5089,5142
5089,5143
5155,5143
5089,5141
5155,5148
5089,5144
5089,5145
5091,5088
5089,5150
5091,5086
5089,5148
5091,5092
5089,5154
5091,5093
5155,5157
5091,5090
5089,5152
5089,5158
5089,5156
5089,5157
5091,5095
6641,59
5091,5101
5091,5098
5091,5099
5089,5161
5089,5167
5091,5105
5089,5164
5091,5103
5091,5108
5091,5107
5089,5169
5091,5112
5091,5113
5089,5175
5091,5110
5089,5172
7897,51
5091,5117
5091,5115
5089,5182
5089,5183
5091,5118
5089,5181
5091,5119
5091,5124
5089,5187
5089,5184
5091,5128
5091,5126
5089,5194
5089,5192
5091,5131
5091,5136
5091,5141
5091,5144
5091,5145
13513,59
5091,5142
5091,5143
5091,5148
5159,5086
108,10117
5091,5152
5159,5093
5091,5150
5159,5090
5091,5156
5091,5157
5091,5154
5159,5095
5091,5161
5159,5101
5159,5098
5091,5158
5091,5164
5159,5105
5159,5103
5159,5108
6641,127
5091,5169
5091,5167
5159,5107
5159,5112
5091,5172
5159,5113
5159,5110
8397,5090
5091,5175
5091,5180
5091,5181
12424,5187
5159,5118
5094,5086
5159,5124
5091,5184
5091,5182
5160,5092
5094,5090
5091,5183
5094,5095
5159,5126
5094,5093
5160,5095
5091,5187
5091,5192
5160,5101
5159,5131
13513,10345
5160,5105
5094,5103
5091,5194
5094,5107
5094,5108
5160,5108
5094,5112
13513,127
5159,5142
5091,5202
5160,5112
5094,5110
13221,5090
13221,5088
5094,5118
13221,5086
5094,5124
5159,5154
6711,51
13221,5098
13221,5099
5094,5126
5159,5164
13221,5095
13221,5092
13221,5093
5159,5169
13221,5107
5160,5136
13221,5105
5159,5172
13221,5103
13221,5101
13221,5115
5160,5143
13221,5112
5094,5142
5159,5175
13221,5113
13221,5110
5162,5088
5159,5181
5096,5086
13221,5108
5162,5086
5160,5148
5162,5092
5096,5088
5162,5090
5162,5095
5160,5157
13221,5118
13221,5119
5094,5154
5096,5092
13221,5117
5162,5099
5096,5098
13221,5131
5096,5095
13221,5128
5162,5098
5096,5101
5162,5103
13221,5126
5094,5164
5096,5099
5162,5101
13221,5124
5096,5105
5162,5107
5162,5108
5162,5105
13221,5136
5096,5110
5162,5112
5096,5107
5094,5169
5162,5110
5096,5108
5162,5115
5096,5113
5162,5113
13221,5144
5096,5112
13221,5145
5162,5119
5097,5086
5096,5117
13221,5142
5096,5118
13221,5143
5162,5117
5163,5086
5162,5118
13221,5141
5163,5092
5097,5090
13221,5154
5162,5124
5096,5119
5097,5088
5094,5181
13221,5152
13221,5150
5096,5126
5162,5128
5097,5095
5097,5092
5160,5187
5162,5126
5163,5095
5097,5098
5162,5131
5097,5099
5163,5101
5163,5099
5096,5128
13221,5161
13221,5158
5097,5103
5163,5105
5162,5136
5096,5131
13221,5156
5097,5101
13221,5157
5163,5108
5097,5107
5097,5105
5163,5107
5096,5136
13221,5169
5097,5110
5162,5143
5163,5112
5096,5141
5096,5142
5163,5113
5162,5144
13221,5167
5097,5108
5163,5110
5162,5141
13221,5164
5162,5142
5096,5145
5097,5115
5162,5148
5096,5143
5097,5112
5162,5145
5097,5113
5096,5144
5097,5119
5096,5150
5162,5152
13221,5175
5163,5118
13221,5172
5162,5150
5097,5117
5096,5148
5162,5156
13221,5187
13221,5184
5162,5154
5096,5152
5096,5157
5097,5126
5163,5128
13221,5182
13511,8480
5162,5157
5096,5156
5162,5158
13221,5181
13221,5194
5162,5164
5097,5131
5162,5161
5097,5128
13221,5192
5163,5131
5163,5136
5162,5167
5096,5164
13221,5202
5163,5141
5162,5172
5162,5169
5097,5136
5096,5167
5163,5144
5097,5142
5162,5175
5097,5143
5163,5145
5096,5172
5097,5141
5163,5143
5165,5086
5163,5148
5096,5175
5097,5144
5097,5145
13221,5209
5097,5150
5162,5183
5163,5152
5165,5090
6781,51
5162,5184
5097,5148
5162,5182
5162,5187
5165,5095
5163,5157
7807,5112
5096,5183
5097,5152
5165,5093
5097,5158
5162,5192
5097,5156
5096,5187
5097,5157
5163,5164
5096,5194
5165,5103
5162,5194
5097,5161
5096,5192
5097,5167
5165,5107
5097,5164
5165,5105
5165,5110
5165,5108
5097,5175
5165,5112
5097,5172
5165,5118
5166,5088
5100,5086
5166,5086
5097,5182
5100,5090
5097,5183
5166,5092
5166,5095
5100,5093
5165,5126
5097,5187
11969,9244
5165,5124
5097,5184
5163,5187
5166,5099
5100,5098
5100,5095
5166,5098
5097,5194
5100,5101
5097,5192
5100,5099
5166,5101
5100,5105
5166,5107
5166,5108
13513,8491
5100,5103
5166,5105
5165,5142
5100,5110
5166,5112
5100,5107
5100,5108
5166,5110
5100,5113
5166,5113
5100,5112
5166,5119
5100,5118
5166,5118
5165,5154
5100,5126
5166,5128
5166,5126
5100,5124
5166,5131
7609,5175
5166,5136
5165,5164
5100,5131
5165,5169
5166,5143
5166,5144
5100,5142
5165,5172
5166,5141
13513,10578
5166,5148
5168,5086
5166,5145
5168,5090
5166,5152
5166,5150
5102,5086
5165,5181
5168,5093
5100,5154
5166,5156
5100,5152
5102,5090
5102,5095
5168,5098
5166,5157
5168,5095
5102,5093
5100,5156
5168,5101
5100,5161
5166,5164
5102,5098
5102,5103
5168,5105
5168,5103
5102,5101
5100,5164
5100,5169
5102,5107
5102,5108
5168,5110
5102,5105
5168,5107
5168,5108
5168,5113
5102,5112
5102,5110
5100,5172
5168,5112
5168,5118
13514,8532
5102,5113
5100,5175
5166,5183
5100,5181
8338,5157
8274,5093
5100,5182
5102,5118
5166,5187
5168,5126
5102,5124
5168,5124
5166,5192
5100,5187
5102,5126
5102,5131
5168,5131
5166,5194
5168,5142
5102,5142
11972,5164
5104,5086
5168,5154
5104,5090
5104,5093
5102,5154
7678,5169
5168,5161
5104,5095
5102,5164
5168,5164
5168,5169
5104,5103
5102,5172
5104,5110
5102,5169
5104,5107
5104,5108
5168,5172
5102,5175
5168,5175
5104,5112
5168,5181
5104,5118
6721,51
5102,5181
5104,5126
5168,5187
5104,5124
6756,5124
5104,5142
5106,5086
5104,5154
5106,5090
5106,5095
5106,5093
5106,5098
5106,5103
5106,5101
5104,5164
5106,5107
5104,5169
5106,5108
5106,5105
5106,5112
5106,5110
5104,5172
5173,5086
5106,5113
5171,5146
5104,5181
5106,5118
5106,5124
5173,5095
5173,5093
5106,5126
5106,5131
5173,5103
5173,5107
5173,5110
5171,5170
5173,5108
5171,5177
5173,5112
5171,5174
5106,5142
5173,5118
5171,5185
5173,5126
5171,5189
5173,5124
5106,5154
