film_festivals_1,film_festivals_2
6607,14384
2084,14310
5652,14292
2317,13232
2847,13189
2454,13084
6607,14386
1582,12980
2924,14385
5867,14292
5319,14383
1950,14384
2674,12934
2418,13189
7582,14387
1936,14310
1854,14292
5851,14292
2762,14305
2592,13431
2264,14383
2349,14312
2889,12934
3024,14388
2488,13084
1887,14309
6617,13084
2237,13189
3071,12934
2678,12834
2769,13084
6050,14292
2017,14385
2429,13391
2548,14312
2353,13189
2315,12834
1756,14304
1551,12980
2511,13431
6593,14386
2004,14310
2658,12980
6114,14386
6593,14384
5374,14292
2635,13189
5341,14292
2883,13189
1651,12980
1902,13391
1922,14312
5867,14383
1903,14388
2597,14383
5867,14387
6540,12980
5735,14383
2771,13084
5669,14385
2661,13431
1876,13189
1708,14304
5887,14292
2267,14385
2930,14312
2446,12934
7833,14384
2088,14305
6991,14384
2499,12834
2678,13431
1890,14310
6826,14384
1966,12980
2250,13391
1706,14383
2565,14383
6234,14305
1803,13431
2499,14385
3011,14384
1841,14305
1671,13431
2140,13232
1902,12934
2429,12980
2277,13084
1876,13232
2948,14304
1638,12934
2134,13431
5803,14385
1724,12834
1903,13431
4102,14384
1870,13431
5680,13084
3015,14292
2613,12934
2101,12934
2321,14309
1766,13084
2071,14383
7802,14386
6200,14384
7026,14384
5625,14292
7580,13084
2850,14310
2498,12934
2944,12934
2784,14310
1675,14384
2784,14309
3624,14386
2567,14385
2746,12934
2914,14383
7687,14386
6540,13084
1890,14388
5989,14292
4219,14384
1843,14310
5219,13084
1711,14312
2006,14385
1874,14383
3039,13084
2831,13391
1709,14385
1808,14388
2230,13084
2250,12980
2535,14385
3064,12834
2901,14305
2747,12934
1966,13084
2566,13431
2944,12980
1993,14305
2252,12934
2637,14310
6568,14310
7582,13084
1795,14305
1892,12834
6354,14292
5947,13084
2467,12934
1790,12934
2426,13189
2770,14310
2129,13189
2258,14310
5625,14383
1617,13189
2704,14310
2202,12980
2374,14304
5601,13084
5496,14292
2306,12834
1956,12934
2275,14310
2221,13431
2771,14305
2229,13189
3047,13431
2306,14385
1813,14310
2639,14304
2009,14383
2586,13391
1778,14384
2953,14312
2257,14384
1460,12980
2835,14386
2023,12934
13488,14386
2354,13431
13488,14384
1819,13120
1993,14385
1960,14383
1865,13232
8418,14384
2359,14304
5643,14387
870,14386
1762,14383
3013,12980
6340,14292
2328,13232
2488,13391
2324,14383
2726,13189
7579,14305
2605,14386
1793,12934
5432,14305
3070,14310
2440,14383
5977,14305
2586,12934
2107,12934
2520,12934
161,14384
2198,13189
2015,13232
6338,14385
2275,14388
2127,12834
2306,13431
2000,13189
13490,14384
5565,14292
2325,14383
5532,14292
1629,13431
2727,13189
3894,14386
8205,14384
1813,14388
2061,14383
3795,14386
7825,14384
5615,14292
2412,13232
6190,14386
2906,14304
13490,14386
2873,14305
1768,13232
2075,12934
1687,13189
1839,13084
6174,14384
2338,12980
2274,13431
2524,14388
5365,14383
2586,12980
2543,14312
6901,14386
2489,13431
1779,13431
2324,13431
2940,14310
2093,13431
5319,14292
6340,14383
3018,13431
2178,14385
1609,13084
2993,13189
1746,12934
2704,12934
2938,14383
2055,13084
5352,14305
2511,14310
1672,13189
6617,12980
4078,14384
2578,14292
2214,14312
3038,12834
6605,14386
3030,13084
2875,14305
6572,14383
6605,14384
2377,14385
2343,13391
2216,13232
2277,13391
6572,14387
1752,14309
5706,13084
2614,13189
2460,14383
3038,14385
3024,14310
1904,13189
2076,12980
5948,14292
3003,13431
2524,13431
1759,13084
2970,13431
1551,13391
1746,12980
2824,14383
7911,14384
12833,14386
12833,14384
2940,14388
6279,14305
2508,12934
3070,13431
2643,14383
1651,13391
3004,13431
