produced_by_1,produced_by_2
2088,3946
246,7799
2496,3585
2876,4095
2491,7845
2650,7011
2623,3754
5908,4320
1829,3796
1553,4161
5954,6999
5413,3291
2657,6806
1975,3375
2626,3682
1700,3717
1574,3528
1700,3718
2123,6990
2907,3171
2907,3172
1824,3978
2884,3889
1993,6937
2619,3915
2752,7988
2493,7825
1966,3681
6240,6356
5484,1120
2808,6255
2955,5794
2651,7029
5986,6047
2500,3528
2633,3510
5275,3533
2624,3796
2232,3660
779,7743
2659,6810
5398,7923
2349,4139
2225,3889
2079,4325
2100,3673
2079,4324
1708,3538
2763,3602
6161,676
5699,6806
1603,6810
1603,6811
2759,7841
1834,3752
5478,1384
1839,3604
2879,12326
2259,6970
3074,6286
5302,6856
5529,3915
3031,3528
2762,7777
3057,6832
2525,6945
1840,3604
3013,4107
5302,6878
2638,3450
3028,7743
2105,3588
1691,4137
2631,3673
2372,3511
5394,4038
5266,3915
2592,792
6096,6866
5965,6829
2504,3532
2115,3305
2357,3995
6199,7777
5820,3142
2396,6883
2900,3549
1864,6996
6225,6974
3017,4023
5413,3480
6081,3253
2527,6937
2109,3510
1700,3903
5302,6933
1967,7923
5792,4038
2899,7705
2104,3677
1767,5933
1688,4286
1700,3915
2883,8205
2104,3682
2221,4157
1605,6874
1551,356
1601,6999
2103,3726
2234,3763
2750,4154
1846,3511
1988,3208
1716,3450
1718,3388
2383,3255
2383,3254
1578,3634
2374,3538
2619,4135
3023,3901
2380,3355
1824,4213
2366,3796
5931,3871
2760,3871
5701,6913
2427,6023
2099,3903
1606,6901
2223,4161
2255,3171
2928,6883
1586,3434
5928,4004
2502,3717
2917,3142
2136,6880
1563,4162
5271,3903
2244,3538
5400,4004
2364,3913
2906,3501
1973,3752
2651,3219
1527,1201
5421,3370
2509,3528
2628,3938
1713,3634
3014,4264
5294,3219
1969,3901
2363,3979
1710,3742
5273,3881
3022,4038
2401,6913
5281,3655
2385,3318
1706,3889
2035,5984
1989,3317
6059,4125
2896,3871
1910,5768
5275,3856
2821,6200
6316,8447
2689,6200
3041,3480
1968,3979
2891,4038
1871,6990
2120,3376
5935,7993
1990,3318
1991,3291
2113,3604
2357,4234
2126,3208
3049,3271
2390,3219
1839,3921
2257,3254
1989,3375
2695,6069
2238,3852
2912,3450
5708,6883
5693,3253
2757,4161
2136,7029
2637,3786
1995,3208
2651,3355
1982,3615
2139,6940
2539,6832
1990,3375
5401,4137
2649,3434
2695,6108
1549,676
5274,3989
1843,3856
5711,6832
1974,3901
3032,3871
2936,6850
1795,5358
2262,3172
2262,3171
5994,6268
2647,3528
5811,3752
1577,8030
5844,6829
1866,3172
2904,3763
2938,6810
1710,3918
2666,7052
5566,3171
5445,6923
3045,3496
2079,676
1985,3596
1584,3742
6228,3142
1716,3752
1853,3604
3038,3733
2903,3826
1849,3733
2801,6991
2369,4001
3059,3096
5387,559
2236,4036
2666,7091
2404,7024
2255,3450
1707,4056
2920,3317
2248,3673
1721,7724
2771,3851
5413,3871
2990,5256
2115,3711
2036,6160
1583,7917
2535,7080
1514,5969
6094,3253
2761,4180
3035,3889
2900,3978
2323,1384
2435,6104
2933,7052
5947,3730
2500,4095
1975,3989
2193,5429
2708,5847
5281,3915
5712,6935
2908,7845
2635,4023
2245,7923
2387,3528
1723,3634
2933,7091
5245,952
2083,676
1928,1390
3055,3318
5357,5684
6106,7052
2905,3889
2373,4001
