designation_1,designation_2
10576,14485
9680,14486
8532,14485
11604,14485
9523,14485
11497,14485
10345,14485
11691,14486
12715,14486
9511,14485
9614,14485
9296,14487
9453,14485
9932,14485
8491,14485
11328,14485
10688,14485
10886,14486
9350,14485
11109,14485
11175,14486
11109,14487
10713,14485
11514,14485
10845,14485
11419,14485
10065,14485
8496,14485
10643,14485
8500,14485
9355,14487
11754,14485
9735,14485
10317,14485
11564,14486
11680,14486
6758,14485
11523,14485
10532,14485
11354,14486
8505,14485
11738,14485
10937,14486
9182,14485
10995,14486
10479,14485
11152,14485
10037,14486
14488,14487
10153,14485
11144,14485
11821,14485
9633,14485
9633,14487
8518,14485
9253,14485
9988,14485
9914,14485
8510,14485
9468,14485
9906,14485
11570,14485
11669,14485
11702,14485
6764,14486
11434,14485
11240,14486
10439,14485
11368,14485
11434,14487
10381,14485
11661,14485
10220,14485
10497,14485
10753,14486
9956,14485
11641,14485
11067,14486
11802,14485
11703,14485
10679,14485
8478,14485
11133,14485
10749,14485
10555,14485
