adjoins_1,adjoins_2
17,6705
5088,5156
10464,10529
5088,5161
10426,11720
9278,10444
10867,10336
10301,11493
9776,11384
98,112
11815,9626
5090,5105
11650,10648
10620,9809
10483,9960
170,10172
8522,9317
9978,5141
9532,6679
9672,10533
11760,11335
14024,6688
10760,9582
11503,11119
11524,10467
6705,118
9403,10685
9803,10582
5088,5192
5090,5136
9845,9278
9434,9732
9978,5156
11037,9201
97,177
10345,10172
9803,10598
5088,5209
10642,9165
10178,11261
97,187
10245,9186
8526,9221
9422,10117
11060,8504
11252,6644
5090,5164
10245,9203
14026,10773
10399,8525
10099,9626
9805,10550
11510,10944
10605,10337
10766,9444
5092,5117
5093,5086
9403,6647
10196,10737
9157,10172
11621,11614
5090,5187
8525,5203
98,197
9937,10577
11246,10959
11371,11189
5090,5203
5093,5110
5092,5141
5187,10386
10377,9246
5092,5145
10630,9590
102,92
11158,9607
5092,5144
9809,10467
10197,10737
11406,10122
10197,10738
11105,11269
9938,10582
5092,5158
5093,5124
104,47
10827,11704
170,10295
5093,5136
10959,11704
9938,10598
10976,11190
8532,9130
10838,11366
9424,10155
156,6643
8532,9131
5118,8476
176,10131
10062,6766
23,6684
5095,5108
5095,5107
5095,5112
9588,9192
104,90
5092,5209
9644,11548
11223,11750
11269,10337
67,13532
10480,10222
5095,5118
5093,5181
10983,11007
106,40
24,6679
9617,117
11557,9611
9439,9732
9377,11655
10226,9911
9911,11479
102,170
10536,8489
11420,9757
5095,9227
8531,5118
104,114
158,6636
11503,11298
9915,11377
5118,8531
11515,10923
108,1
104,126
9839,9642
5207,9870
9590,9165
10618,10078
156,6717
11384,10910
155,6750
8489,10536
5095,5164
9312,9600
10337,10605
10741,10370
11805,10149
11658,10609
10966,11584
11621,11758
11765,11403
5126,117
108,31
10108,9530
11258,10738
11758,11621
11258,10737
6761,6790
9181,9600
10301,11741
109,17
9809,10620
108,56
9563,10052
5095,5203
9424,10266
10963,11719
107,90
170,10426
10190,11105
108,61
106,130
108,71
5098,5126
5098,9227
6632,6734
108,81
11463,8531
11371,11384
10620,10084
11298,9548
10677,127
161,6639
9946,10500
10078,10516
10577,11427
11773,11227
10068,10827
8513,9881
10976,11366
9125,11398
9588,9333
11227,11773
9819,10377
9800,10959
161,6668
5202,10142
106,186
108,124
11242,11325
5098,5177
10386,5090
5099,5152
10480,10369
9462,9170
161,6685
9702,14026
11246,11220
109,111
107,176
10843,11420
10783,5099
9302,10050
10605,10618
10709,11490
9915,11522
110,90
5203,10142
9777,11706
5099,5175
10731,10817
11562,9626
10480,10400
11362,11729
14025,11099
10489,10122
5101,5124
112,42
5099,5187
5101,5131
30,6685
