draft_1,draft_2
12756,14247
12822,14249
12756,14248
12822,14250
12822,14260
12756,14255
12822,14257
12756,14256
12756,14254
12756,14265
12822,14261
12756,14259
13087,14248
12756,14267
13087,14247
13087,14259
12889,14253
12790,14247
13087,14256
12790,14248
12889,14251
13087,14254
13087,14255
12790,14259
12889,14262
12889,14263
13087,14266
13087,14267
12889,14258
12790,14255
13087,14265
12790,14256
7868,14264
12790,14254
12790,14265
12790,14266
12889,14264
13220,14258
13220,14253
13220,14251
12824,14254
13220,14264
13220,14262
12824,14248
12824,14259
12824,14255
12824,14256
12824,14267
13353,14250
12824,14265
12824,14266
13353,14249
13353,14260
13353,14261
12990,14247
12990,14248
12957,14247
13353,14257
12792,14253
12990,14259
13089,14262
13089,14263
13089,14258
12990,14255
12957,14254
12990,14256
12957,14255
12990,14254
12990,14267
12792,14262
12990,14265
12990,14266
12792,14258
13089,14264
13354,14251
12792,14263
13354,14263
13024,14253
13024,14251
13057,14253
13354,14262
13057,14251
13090,14252
13090,14249
13090,14250
13354,14258
13057,14262
13024,14262
13057,14263
13090,14261
13090,14260
13024,14258
13090,14257
7838,14264
13057,14264
13024,14263
13024,14264
13157,14248
13157,14247
12860,14249
12893,14250
12860,14250
13157,14259
12827,14249
12893,14249
13157,14254
13157,14255
13157,14266
12860,14257
13157,14267
13157,14265
12893,14257
12827,14252
12893,14252
12827,14250
12860,14252
12827,14260
12860,14261
12827,14261
12893,14260
12893,14261
12860,14260
13357,14250
13126,14252
13126,14249
13357,14257
13192,14252
13126,14250
13192,14249
13192,14250
13357,14252
13192,14261
12928,14254
13126,14257
13192,14260
13192,14257
12928,14247
13357,14260
13357,14261
12928,14248
12862,14258
12862,14253
12928,14255
13126,14261
12928,14267
12928,14265
12862,14264
13160,14252
13160,14249
13160,14250
13160,14261
12830,14249
13160,14257
12830,14260
12830,14257
13425,14252
13425,14250
13425,14249
12963,14248
13425,14260
12963,14247
13425,14261
13425,14257
12963,14256
12963,14254
12963,14255
12963,14265
12963,14267
12931,14248
12931,14247
12931,14256
12931,14254
12931,14255
12931,14259
13196,14247
13196,14248
12931,14266
12931,14267
13196,14255
13196,14256
13196,14254
13196,14265
13196,14266
13196,14259
13196,14267
12900,14249
12900,14250
13032,14252
13032,14249
13032,14250
13032,14261
12900,14257
12702,14252
12702,14250
13032,14260
13032,14257
12900,14252
12702,14260
12702,14257
12900,14261
13561,14248
12900,14260
13264,14254
13198,14250
13561,14259
13561,14256
12702,14261
13264,14248
13231,14247
13198,14260
13264,14259
12868,14247
13198,14257
13000,14252
13231,14259
12868,14248
13000,14249
13561,14266
13066,14252
13099,14253
13561,14267
13231,14254
13066,14250
13264,14256
13561,14265
13099,14251
13099,14264
13000,14261
13264,14267
13066,14261
12868,14255
12868,14256
13000,14260
13231,14267
13099,14263
13264,14265
13000,14257
13231,14265
12868,14254
13264,14266
12835,14253
13066,14257
12835,14251
12835,14264
12868,14265
12868,14266
12835,14262
12835,14263
12835,14258
12868,14259
12869,14248
12869,14247
12869,14259
12869,14255
12869,14266
12869,14267
12869,14265
13134,14252
13134,14249
13134,14250
13167,14248
13167,14247
12936,14254
13134,14260
13167,14259
13167,14256
12936,14247
13167,14254
13167,14255
12936,14248
12936,14259
13167,14266
13167,14267
13167,14265
12936,14255
13134,14261
12936,14256
12936,14267
12936,14265
12936,14266
12772,14247
12772,14248
12739,14257
12772,14255
12772,14256
12739,14252
13202,14247
12772,14265
12772,14266
12739,14260
12739,14261
13202,14255
13202,14256
13202,14254
13070,14247
13070,14248
12772,14267
12773,14251
13202,14259
13004,14253
12905,14251
13070,14256
13004,14251
12773,14258
12905,14262
13070,14267
12905,14263
13070,14265
13004,14263
13004,14264
12905,14258
13202,14267
13004,14262
13202,14265
12773,14253
13202,14266
13368,14253
12773,14264
13368,14251
12773,14262
12773,14263
12905,14264
13368,14262
13368,14258
14194,14263
12741,14248
12741,14247
13368,14263
13368,14264
12741,14259
12741,14256
12741,14254
12741,14255
12741,14266
12741,14267
12741,14265
13369,14253
13369,14251
13369,14262
13039,14252
13369,14263
13039,14250
13369,14258
13039,14249
13039,14261
13039,14257
13369,14264
13106,14248
13106,14255
13106,14256
13073,14252
13106,14254
13073,14250
13007,14247
13073,14249
13073,14261
13007,14259
13007,14256
13106,14259
12842,14252
12875,14253
13007,14254
12842,14249
12842,14250
13007,14255
12875,14251
13073,14257
12875,14262
12842,14261
13007,14266
13007,14267
12875,14263
13106,14267
12842,14260
13007,14265
13106,14265
12875,14258
13106,14266
13404,14258
13404,14253
13404,14251
13404,14263
13041,14253
13404,14264
13041,14251
13404,14262
13041,14262
13041,14263
13041,14264
13273,14252
13273,14250
13273,14249
12877,14248
13273,14260
12877,14247
13273,14257
12877,14259
12877,14256
12877,14254
12877,14255
12877,14266
12877,14265
12846,14251
12681,14247
12681,14254
12681,14255
12846,14258
12846,14253
12681,14248
12846,14263
12681,14259
12846,14264
12681,14256
12681,14266
12681,14267
12681,14265
12880,14252
12880,14249
12880,14250
12880,14261
12748,14258
12880,14260
12748,14253
12880,14257
13343,14252
13310,14252
12748,14263
13310,14249
13310,14250
12748,14264
12748,14262
13343,14249
13343,14260
12881,14247
13343,14261
13310,14260
13310,14257
12881,14254
12881,14255
13310,14261
12881,14248
12716,14253
12881,14259
12716,14251
12881,14256
13278,14251
13311,14253
12716,14263
13311,14251
12716,14264
12881,14266
12881,14267
12881,14265
13014,14252
12948,14247
13014,14249
13014,14250
12948,14248
13278,14258
13278,14253
12783,14252
13014,14260
12948,14255
13014,14257
12783,14250
12948,14256
12882,14251
13278,14263
12783,14249
13311,14262
13311,14263
13278,14262
12783,14260
12882,14263
12948,14265
12783,14261
12882,14264
12882,14262
12783,14257
13014,14261
12948,14259
12882,14258
13312,14254
13279,14251
13312,14247
12948,14267
13312,14248
12883,14248
12982,14251
12949,14251
13312,14259
12883,14247
13312,14255
8060,14253
13312,14256
12883,14256
12949,14258
13312,14267
12982,14258
13312,14265
13279,14264
13312,14266
13279,14262
12982,14253
12949,14253
12883,14265
12949,14264
12949,14262
12982,14263
12949,14263
12982,14264
12982,14262
12883,14259
13313,14252
13313,14250
12883,14266
12883,14267
12950,14251
12983,14253
13313,14260
12983,14251
13313,14261
13313,14257
12983,14258
12950,14258
12950,14253
12983,14264
12950,14263
12950,14264
12983,14262
12950,14262
12983,14263
8227,14264
13348,14249
13348,14250
13348,14257
13348,14252
12754,14247
12754,14248
12952,14252
13348,14261
12952,14249
12952,14250
12754,14255
12952,14261
12952,14260
12754,14254
12952,14257
12787,14253
12787,14251
12787,14264
12787,14263
12754,14259
12787,14258
12754,14267
12754,14265
12754,14266
