state_1,state_2
11100,5154
9679,5172
9383,5126
10495,9578
10408,5110
11447,9759
11069,5093
11531,5107
10215,11101
8492,9213
10242,5150
10871,5115
11598,5108
10027,9776
9812,5172
10969,5144
11102,5119
10704,5182
8526,5112
8498,11110
7731,5187
9252,5150
10707,5112
10116,10117
9508,9509
9419,5113
11302,5107
10921,10770
9221,5112
11202,5143
8525,5187
10639,5182
10147,5086
11136,5150
10543,5103
9733,9734
9146,9509
10641,5150
10210,5194
11667,5095
9616,5187
9155,5150
10148,5090
11235,5181
10245,5150
10938,5181
9451,5209
10940,5136
11034,9390
11699,5161
8495,5156
11139,5112
7669,5156
9617,5187
11137,5181
9948,5175
10049,5112
10181,5117
9587,5112
8494,5203
9354,5175
11204,5170
9479,9495
10313,5157
9455,5131
9225,5093
10248,5124
10048,5181
11073,5150
9223,5152
10726,9759
10840,5207
10472,10473
9389,5145
8497,5150
9141,9759
9688,5090
10005,11657
10298,9743
9490,5090
9226,5093
11239,5150
10809,5181
10646,5112
9720,5152
8490,10514
10315,5150
9885,5169
10216,5150
10680,5095
10581,5095
10316,5118
8531,5164
10545,5207
10978,5090
9951,5194
10084,5175
9423,5182
11044,5108
10184,5143
9292,5150
11143,5112
9920,5150
11969,5118
10912,5112
9426,5098
10712,5182
9163,9164
9853,5182
9724,5095
9425,5150
9193,5175
11439,5175
8533,5150
9492,5117
10150,5209
10614,5164
9325,5182
9886,5209
9493,5105
11176,5157
10119,5150
9457,5194
10484,5112
9625,5118
11579,11101
9132,9143
10648,5156
9722,5187
9162,5150
10351,5150
9888,5181
9657,5182
10814,5150
10320,5105
9396,5088
10243,9553
10321,5086
10552,5093
9362,5113
11249,10117
11104,10514
10115,9434
11328,9732
11135,9578
9659,5154
10088,5182
11445,5095
10124,5095
10584,9269
9199,5095
10882,5158
9628,5119
10651,5150
11212,5164
11643,5115
10654,9164
11575,5182
10519,5152
10123,5150
10818,5112
11081,5150
11180,5150
10785,9213
9826,5150
9660,5172
10455,5105
11346,5141
9528,5182
9695,5118
9729,5088
11382,11189
9727,5152
10288,5182
9232,5150
9594,5187
9364,5150
9791,10355
10256,5158
10754,5088
9420,9578
10784,5175
10389,5145
11174,10514
9859,5200
9399,5124
9477,9868
9431,5152
10020,9422
11283,5095
11709,5203
10984,5144
9367,5095
10457,5105
9993,5152
11082,5185
9828,5150
11744,5156
9301,5112
11481,5113
9827,5187
9298,9299
9564,5150
10192,11281
8476,5095
10557,5099
10423,5150
9566,5105
11184,5124
9762,5169
11183,5150
8143,5187
9763,5150
10951,5182
9167,5192
8475,5150
11648,5090
9599,5131
10391,5150
8145,5150
11448,5154
10424,5164
9630,5202
9665,5142
10920,5150
10691,5086
9994,5192
10750,9403
10162,5098
10655,5187
11582,5119
9203,5150
10160,5189
10888,5150
9865,5112
10062,5150
9700,5119
11649,5118
9766,5119
10459,5150
10361,5113
11053,5167
8477,5150
11340,9581
9239,5093
9667,5143
10327,5164
9236,5194
10755,5203
9601,5150
6727,5150
10487,9422
9337,5150
9142,9143
10857,9227
9494,9495
11209,9578
8512,9227
9668,5136
10098,5118
10097,5150
10064,5150
9558,9578
10659,5144
10989,5156
10329,5150
9437,5150
9637,5105
9436,5192
8250,5095
10362,5156
9405,5136
9802,5118
9604,5107
9966,5164
8485,10117
10429,5150
8513,5175
9934,5150
10596,5107
10892,5150
9272,5194
9472,5150
9275,5107
11173,9759
11486,5175
10990,5202
10265,5150
10067,5145
11353,5209
9308,5131
11058,5154
10926,5150
10991,5182
9638,5150
10001,5172
9402,9403
11224,5156
5180,5126
9539,5175
9706,5113
8514,5203
9242,9269
8517,9213
10365,5175
11390,5150
10135,5145
10300,5150
9771,5175
10169,5126
10170,5095
10136,5126
10994,5145
10101,5182
10962,5126
9342,5170
10035,5192
9176,5203
9245,5110
10499,5156
10698,5150
10632,5150
10649,9743
11788,5154
5148,5164
10797,5150
11559,5093
9376,5175
9246,5110
11324,5203
5183,5126
11061,5181
9675,5158
9443,5182
9610,5126
9444,5152
11459,5150
9740,5187
11592,5119
10732,5169
11163,5115
10239,5099
10832,5150
9942,5098
9147,5164
9972,5189
10403,5150
9281,9217
10897,5203
10702,5113
9808,5175
10007,5150
11327,5203
10372,5112
11297,5107
10766,5184
9677,5156
10140,5141
9283,5095
9448,5101
11330,5128
11263,5150
9760,9761
10570,5150
9480,5150
10539,5095
9744,5164
10141,5145
9977,5110
11000,5142
9182,9269
11383,9648
10933,5177
11611,9759
10899,5202
10108,5150
11794,5117
11364,5131
9514,9235
10768,5187
10143,5107
10273,5175
9218,5112
10801,5184
9714,5090
10142,5146
10208,5150
9382,5150
