film_art_direction_by_1,film_art_direction_by_2
5440,3201
2535,3398
5882,3580
5925,3268
2119,3243
2804,3770
1914,3201
1564,7909
1648,6846
2606,6846
5776,4065
2953,3770
6199,3244
2866,3398
6199,3243
2078,6835
1764,3770
1810,8234
2948,4190
2918,7936
2188,7014
2603,6948
6177,4190
5384,7014
2910,3580
2792,4178
2843,6948
5654,3268
6029,4190
3037,6833
2540,4065
2214,3166
5440,3770
2535,3201
2855,3268
1708,3244
1914,3770
6228,3166
2515,3579
6225,3770
2459,3268
5587,3579
2171,3243
2551,3243
2628,3166
6044,3770
2303,4285
2838,3579
2332,3398
1538,3694
2031,3770
5878,4065
6254,4190
1648,6948
1737,3166
3014,6846
6557,3770
3037,3580
5730,4065
6029,6833
1776,3770
2602,3770
5738,3579
1908,3268
6280,4190
6184,3580
5273,4178
2374,4190
6272,3166
1711,3243
2461,4065
2332,3201
2457,3166
5890,3243
2391,3166
2515,4190
5587,4190
2459,8234
1879,7014
2457,3432
5868,3166
2562,6835
3049,4285
6177,3579
2917,4035
2244,3398
2174,3268
2838,4190
2359,4190
2830,3166
5635,3770
6302,3580
2917,4065
2960,3244
6302,3579
2332,3770
2145,3166
6362,3770
2159,6835
2374,3244
5820,7014
6280,6833
2145,3432
6134,3166
6030,3579
6196,4065
6030,3580
2096,4190
2925,3580
1708,4190
2506,3773
2970,3981
5738,4190
2591,7031
3074,3580
1605,4065
