instrumentalists_1,instrumentalists_2
7219,8725
7215,655
7212,753
7249,3702
7249,7798
7249,3701
7219,535
7217,8789
7215,8856
7230,4295
7249,3706
7249,3705
7249,7801
7267,3147
7249,7800
7249,3711
7246,7899
7232,4239
7215,8869
7211,8992
7210,9027
7259,3412
7249,3721
7193,1360
7246,3813
7249,7820
7224,8600
7249,3734
7212,8977
7232,4261
7217,8827
7219,8765
7235,8269
7231,4295
7249,3736
7212,793
7249,7843
7215,8896
7219,8770
7232,4278
7215,8901
7249,7846
7217,8838
7249,7844
7232,8377
7249,7849
7212,810
7212,9001
7249,3757
7212,9000
7234,4222
7249,3756
7219,8782
7222,8696
7219,8789
7219,8787
7220,8756
7212,9004
7249,7862
7249,3765
7249,7860
7235,4205
7249,3768
7249,3777
7249,3776
7249,7878
7217,8869
7249,7876
7232,4311
7212,9027
7249,7886
7210,9095
7219,629
7237,8263
7249,3794
7212,9037
7210,9097
7249,7894
7249,7893
7249,7892
7215,8946
7249,3803
7220,8798
7215,8953
7249,7899
7193,1443
7249,3804
7212,9053
7259,7596
7212,9052
7217,8896
7259,7601
7249,3813
7217,8901
7249,3812
13537,5489
7198,1304
7222,8756
7249,3827
7235,4261
7224,8696
7249,3825
7215,793
7249,7929
7254,7778
7212,888
7249,3837
7249,3836
7215,8993
7219,8869
7212,9086
7215,8992
7249,7938
7249,3841
7196,1387
7249,7944
7212,9097
7249,3854
7219,8879
7249,7948
7212,9095
7215,9002
7249,3859
7217,8946
7249,7954
7215,814
7259,3553
7212,9105
7249,3862
7249,3861
7198,1345
7249,3865
7249,7960
7215,9021
7249,7971
7249,7968
7212,9115
7249,3883
7284,6891
7226,8696
7249,7980
7254,3734
7249,3888
7249,3895
7249,7991
7249,7990
7249,3893
7249,7995
7203,5325
7249,7994
7217,793
7249,3897
7198,1387
7249,7996
7249,3900
7259,7686
7238,4248
7249,3906
7262,7601
7249,8004
7198,5489
7230,8600
7201,5407
7219,753
7248,8050
7249,3920
7219,8946
7224,8798
7270,3274
7249,3924
7249,8027
7259,7715
7249,8025
7217,9021
7249,8028
7201,1330
7215,898
7249,8042
7249,8041
7215,9095
7198,1435
7224,628
7228,8696
7249,8050
7259,7740
7201,1345
7203,5378
7249,8055
7249,3958
7249,8054
7237,8430
7238,8398
7254,3812
7219,8993
7256,3749
7215,9115
7201,1360
7246,8163
7219,9008
7267,3423
7249,8083
7259,7770
7249,8080
7249,3984
7249,3989
7249,8084
7219,9021
7249,8089
7220,8992
7233,8589
7257,3749
7249,8098
7219,9027
7201,5489
7249,4005
7249,4011
7265,3519
7249,4014
7249,4012
7259,7798
7249,4019
7256,7899
7217,9115
7219,9053
7249,4026
7219,9052
7249,4025
7249,4031
7249,4030
7266,7601
7249,8132
7249,8142
7262,3647
7249,8144
7249,4052
7235,8589
7249,4059
7270,3412
7249,4063
7249,8158
7249,4062
7249,4061
7259,7846
7219,9086
7249,8163
7252,8069
7249,8162
7249,4064
7219,898
7249,4071
7219,9097
7249,8164
7249,4075
7232,8695
7219,9105
7249,4076
7249,4081
7249,8183
7249,8180
7249,4084
7220,9086
7249,8187
7252,3996
7219,9115
7249,4088
7249,4094
7249,4093
7244,4248
7270,3441
7249,4097
7249,8192
7233,8695
7227,8879
7249,8202
7249,4106
7249,8201
7249,4104
7267,3553
7267,3557
7249,4114
7249,8210
7249,8209
7268,3523
7249,8215
7224,8992
7247,8285
7249,8226
7208,1304
7249,4133
7249,8229
7224,9008
7230,629
7249,8236
7211,5325
7259,3837
7249,4151
7270,7596
7249,8246
7252,4062
7267,3601
7249,4158
7249,8254
7270,7601
7294,6857
7246,8352
7249,8263
