influenced_1,influenced_2
3889,5457
12642,12643
12642,12644
12642,12641
8039,7889
8312,7620
6356,6811
7631,8256
7631,8255
11899,7024
8167,8023
11862,8165
8733,6862
4169,899
8949,4273
7896,8240
11862,8182
8391,1106
7912,11855
8032,8141
7767,8169
1150,301
1120,1233
12389,8249
7781,7732
638,3889
8039,7932
7905,7988
6723,11862
7903,8056
8034,3994
7739,856
7904,12124
8173,7889
7905,12096
11862,8214
12644,12643
7680,6794
7631,8312
8182,7620
7631,8316
7782,3635
7782,7730
12404,11899
12135,7953
8037,8023
7631,8319
8179,7714
7967,6105
8312,7700
12645,12643
9070,8779
8039,7967
7632,12398
11862,8240
4062,4282
6648,6042
908,7851
7910,11975
12389,12392
8312,7703
6714,8093
3889,1465
4315,549
7631,8342
8314,3553
11862,12352
11862,8256
8173,7927
6723,7828
7766,4169
6714,4020
12646,12642
3716,6845
8309,11917
7766,8278
8031,8260
7912,11947
7762,8405
8035,8139
7718,5684
7782,7795
7912,11957
12392,8240
6325,7911
11862,12392
7904,4020
6723,11964
8309,11953
11884,7620
8314,7700
7782,7815
8204,7024
11862,8316
7658,3465
7889,8600
4077,3898
7632,8380
7896,8387
8032,8273
11884,3553
7905,8112
8173,12093
3674,8209
12389,8387
8165,12354
12389,8380
7905,8124
8031,8318
11862,8342
8312,11897
3674,8225
8037,4046
8936,8949
7983,5719
8871,6862
5796,3889
8316,7703
3674,12340
6325,3889
7659,7594
7766,8380
7782,7883
8273,856
11884,7700
8169,8179
8032,8342
11878,7893
12393,8312
7605,1102
650,3716
11917,6698
7924,7602
5263,8170
12135,8139
7947,6893
11887,7632
753,535
6714,8260
8312,7883
6714,4169
8316,11853
8031,4312
12392,8387
9069,9002
6714,8273
402,3251
7782,7946
3854,6838
3294,11912
8170,8209
8182,11947
6723,8023
8165,8380
8317,3671
1457,3345
6699,8779
5263,12340
6723,12135
8316,11911
8342,7008
8056,7683
8170,12340
8342,7019
8173,8156
8182,11975
8314,7883
11884,3710
8312,7946
6765,6759
6736,7658
11917,6794
8312,7953
7927,7602
7903,8346
8342,7024
243,12340
2541,6638
7946,7024
8182,7896
11887,7739
8317,11915
6086,3251
8312,7967
11884,11923
7658,3671
14611,13403
7782,8023
6990,7998
8316,11947
8218,6794
8871,7032
8039,8255
11911,7013
8315,7896
908,8137
11911,7008
11911,7019
7906,8295
7947,7023
6026,1041
7924,7739
11887,11862
11862,12640
4077,4127
8037,8342
908,8156
8342,7083
8013,899
5870,5892
6990,8034
12398,8318
11892,7632
8182,7953
8314,3862
6638,6662
8039,12389
8013,9092
7927,7668
7924,7761
6017,5439
7023,7024
7946,7082
11887,11892
7925,7739
8039,12392
12135,12392
6723,8141
8316,7911
8173,8249
6726,8046
11887,11900
7660,3674
8871,7087
7927,7683
8039,8312
3594,6845
2541,6723
11887,11917
3553,8124
6638,6699
12392,12640
908,8204
8315,7967
8173,8273
11887,11924
650,3917
5638,842
7782,8112
11892,7680
899,299
12398,8380
8316,7942
11924,6696
7847,6103
8037,8405
8039,8342
8949,8807
9088,402
7670,3412
11887,11954
11887,11957
11887,11956
8312,8087
7782,8141
11887,11960
11892,7709
3580,3244
11887,11973
5224,5528
8182,12135
7668,7602
5224,1446
8069,3366
12135,8405
3685,8209
11887,7896
5892,1235
8314,8080
7032,6862
7693,6850
7781,12313
908,8295
7924,7889
8013,1041
7983,6075
6103,7010
11898,7594
7932,7670
3716,3198
8316,8057
7828,6803
7912,12398
8182,8118
6739,11895
7782,8240
6739,11900
9092,402
7925,7906
8316,8068
8061,7786
8182,8127
402,3552
7717,6160
6739,7812
7659,7967
11895,7730
8180,4109
6990,12340
7670,7643
8212,3129
8046,8277
7658,8023
5263,352
3716,3251
6739,3752
220,1041
7699,6759
7782,8282
6103,7083
8949,8967
5679,7939
4109,3366
6941,5684
11892,11953
3426,4062
11892,11948
11887,8007
8316,8118
11892,11960
8044,4270
11892,11956
7927,7905
8867,3345
1150,907
5870,6138
6726,8273
8013,1150
11887,8037
7927,7910
7659,8032
7767,8779
6739,11975
7814,3232
3674,499
11887,12135
11898,7700
8817,9002
12135,12640
3596,7019
8056,8023
3532,816
8182,8214
6838,8921
8391,5833
6838,8928
11887,8057
5679,12095
3553,4282
7932,3710
8312,8316
11898,7737
8312,8314
1385,5968
3909,1457
8405,5439
7932,11911
11898,11853
402,3685
8314,8278
8312,8342
8182,8282
