award_categories_presented_1,award_categories_presented_2
4013,6483
13428,6465
13428,6463
13428,6462
4013,6488
12941,13876
13428,6460
4013,6498
6771,12134
4013,6502
12168,6372
13428,6481
12168,6374
13428,6480
12168,6373
13428,6478
13428,6475
13428,6476
13428,6489
12168,6381
12168,6375
13428,6484
13428,6493
12168,6385
13428,6505
12168,6396
12168,6391
12168,6404
12833,6527
13428,6511
13428,7535
13428,6510
12016,12138
13428,6507
12168,6402
13428,6508
13428,6521
13428,6520
12168,6413
12168,7434
12168,6419
12168,6421
12687,6457
13428,6523
13428,6538
13428,6535
12168,6429
13428,6533
13428,6534
13428,6532
13428,6546
12168,6437
13428,6541
4013,6571
13428,6542
12168,6431
13428,6539
13428,6553
12168,6440
13428,6548
4013,6581
13428,6560
12833,13490
13428,6566
12833,13488
4013,6598
12168,6468
12168,6467
13428,6575
12168,6464
13428,6573
13428,6579
12833,6593
6661,13871
12833,6607
12833,6605
13428,6590
13428,6587
13428,6600
9395,12073
6661,13894
13428,6623
4013,6394
13428,6377
4013,6425
12168,6558
13428,6405
4013,6436
13428,6416
6771,14130
6771,14642
13240,6615
13428,6433
4013,6455
12168,7347
12168,6582
12168,6578
13428,6442
12168,7355
6771,12098
13428,6448
13428,6446
