inductee_1,inductee_2
11499,3530
13892,6147
13892,5649
12150,3841
13892,4107
12150,8970
13892,4119
13892,1048
12150,6932
12150,3854
12150,8975
12150,3862
12150,8984
12150,3362
12150,8994
12150,3363
13892,5678
11499,6133
13892,3641
14053,14522
12150,7980
13892,3636
12150,9010
12150,6962
13892,3643
12150,9019
12150,3893
11499,6156
13892,4171
12150,3410
12150,6994
13892,4193
13892,8290
12150,3412
12150,7002
13892,8306
13303,1472
12150,7017
12150,8044
12150,3442
12150,9073
12150,7025
12174,8329
13892,1150
13892,3707
13892,3708
14524,1021
13892,6275
11499,3155
11499,8289
13892,663
12150,7051
11499,3676
12150,6034
11499,1127
14523,3641
11499,5218
12150,8080
12150,3984
14525,8191
12150,8098
14084,7025
12150,7588
12150,1443
12174,8373
12150,4005
13892,3778
12150,3502
14524,4147
12150,3503
12150,4026
14523,4193
12150,3513
12150,4025
14524,6719
13892,1219
13892,4292
11499,663
13892,730
13892,726
13892,3286
13892,3294
14524,8277
11499,5797
14524,4194
14523,6266
12150,3553
14053,7025
12150,7646
12150,4062
12150,4061
12150,4081
12150,4077
13892,3847
13892,3335
13892,6916
13303,6231
12150,8716
12150,4109
13892,12059
12150,3609
14524,8349
12150,4128
12150,8748
12150,8747
12150,6194
12150,8753
12150,3633
12150,8243
11499,1288
12150,3630
12150,8752
13892,3907
13892,8016
12150,8771
13892,6990
12150,3645
13892,7002
14523,7920
13892,856
13892,854
12150,8773
12150,8786
11499,3875
11499,1316
12150,4175
12150,6741
13892,881
11499,6962
14525,5831
12150,6251
13892,3956
12150,4205
12150,3706
13892,8072
11499,5968
13892,5509
13892,3462
12150,8829
12150,3721
12150,8844
13892,3987
12150,8839
13892,1439
11499,1385
12150,4237
12150,8847
13892,6057
12150,3228
12150,4251
14524,1310
12150,3221
13303,1285
12150,7844
12150,8867
13892,3501
13892,442
12150,4261
12150,8872
12150,8871
12150,3751
11499,3463
13892,961
11499,6022
11499,1414
11499,6025
14525,7961
12150,4270
12150,4272
13892,3516
12150,4282
12150,6841
13892,5578
13892,1480
12150,6838
12150,8885
12150,3256
13892,3537
12150,3274
12150,5830
12150,3794
13892,1505
13892,1001
13892,8170
12150,8938
14084,14522
12150,3817
11499,4026
12150,8936
12150,753
13892,1021
11499,1474
12150,3824
