county_seat_1,county_seat_2
10069,9977
11698,11698
10050,10049
10437,9828
10642,10641
10666,10934
9915,10151
9326,9976
9809,9863
10528,11125
10682,9425
10650,9905
10051,11069
11403,11664
11779,11779
10867,10867
10163,10162
10371,10370
10237,10955
10099,11649
11269,11212
10120,10994
9246,9933
11565,9724
9266,9323
11086,10248
9170,9238
9591,9500
10338,9895
10843,11136
9986,11592
9540,9539
10598,11046
10660,10659
10309,10289
11493,11478
10516,10543
11285,11283
11150,10347
10773,10773
9973,9973
11696,11346
10240,10924
10337,9966
11503,10681
10178,10796
9815,9771
10668,9951
10825,11224
10968,10899
10950,10948
10776,11217
10760,10188
11548,9314
11552,11238
10923,9744
9302,9301
9702,9702
10838,10837
9377,8513
11446,11445
11306,10680
9588,9665
11608,10539
9369,11342
11723,10557
9483,11399
11578,9426
9835,10210
11782,10784
11559,11559
9181,10524
9767,9766
10743,10743
9239,9239
9799,9799
11242,10124
11449,10362
9805,10136
10414,9700
10485,11079
10529,9208
10552,10552
10520,10519
10400,11181
9534,10892
10916,11569
11027,9659
10480,9722
9462,10057
11758,11582
10012,10926
9600,11410
10564,10208
9344,9628
9574,9155
9861,9993
10361,10361
9241,9240
11065,11065
10969,10969
10222,8525
9689,9688
9865,9864
9529,9528
9225,9225
10425,10424
10873,10872
11273,11272
11288,10809
9644,8526
11233,11496
9911,9984
11695,9994
11509,10639
11584,9850
11300,10984
10550,10169
11432,10987
10026,8495
9626,9625
9226,9226
9676,10648
10122,9630
10502,10140
9590,10245
9543,9657
10377,11461
10582,9718
11163,11163
11643,11643
9339,9338
10395,10395
9451,9451
9580,10583
10745,9799
10761,10327
11456,9261
10052,9275
11770,10290
9548,9547
10076,10075
11772,11772
9363,9650
9692,9692
10259,10048
11603,10887
11103,9493
11377,11239
10352,10754
9834,10438
9333,9587
11195,9714
9860,10653
10963,10764
9949,9948
11613,11613
9309,9308
8477,8477
10349,10348
10605,10604
11037,11036
11246,9168
10190,9147
10000,9399
11766,9963
9843,10691
9244,10316
10967,11699
9192,9387
10226,10614
9803,11440
11534,11534
9902,9901
9854,9853
9406,9405
10733,9740
10590,10589
9758,9758
10827,9389
10068,10389
11645,11688
10233,10929
9215,10743
9582,11667
10127,11157
9935,9934
9887,9886
9371,8475
11223,9945
10419,9780
10693,9490
9312,10318
11197,9226
9418,9599
9128,9885
11024,9472
10868,9713
9398,9199
10816,9283
9538,9991
9184,9183
11138,11588
10503,9779
10504,9236
10073,9797
10613,9437
11516,10129
11119,10148
11323,10989
11706,11413
10767,9293
11490,11451
10412,9541
9165,10832
9806,11442
10620,10273
11169,10150
10241,10241
11201,11201
11745,11745
9921,9920
10705,10704
9201,10239
10137,10401
11431,10235
11261,10893
11253,11153
11742,11353
10966,10836
10715,11448
