compatible_ingredients_1,compatible_ingredients_2
14329,14363
14329,14362
14329,14361
14329,14360
14329,14368
14352,12799
14352,12686
14352,14358
14352,14356
14352,14355
14352,14354
14352,14353
14352,14351
14352,14366
14352,14365
14352,14363
14352,14362
14357,12799
14352,14361
14352,14360
14352,14359
14352,14372
14352,14370
14352,14368
14357,14355
14357,14354
14357,14353
14357,12686
14357,14351
14357,14363
14329,12799
14357,14362
14357,14361
14357,14360
14357,14359
14357,14358
14357,14356
14357,14371
14357,14370
14357,14369
14357,14368
14357,14367
14357,14366
14357,14365
14357,14364
14329,12686
14329,14351
14329,14359
14329,14358
14329,14356
14329,14355
14329,14354
14329,14353
