imported_from_1,imported_from_2
79,176
50,51
79,181
115,90
79,183
51,27
132,79
100,6704
114,126
51,6688
51,36
6636,188
115,108
115,110
51,9264
51,6704
50,79
117,51
166,6725
51,50
183,59
51,61
51,6725
132,122
183,79
51,78
52,6704
17,114
51,86
6688,170
6725,51
3,51
3,54
6644,9
54,6669
3,59
117,110
170,3
86,6704
51,110
132,161
51,113
170,9
51,117
20,59
3,75
3,78
51,127
188,6636
185,78
170,6688
37,59
102,92
3,90
117,141
186,51
51,141
186,59
185,90
6644,51
170,51
90,6632
51,161
89,9
51,164
89,11
185,110
6725,127
51,170
41,6632
51,179
51,186
90,3
3,141
156,12
51,198
89,6704
89,51
156,6679
90,22
6725,166
122,59
22,90
54,122
102,170
3,170
41,22
6725,176
185,170
90,9264
185,176
185,177
90,51
185,183
188,90
105,113
92,9
185,198
141,6688
170,161
176,11755
6632,41
108,6704
108,9264
141,51
108,51
75,51
141,61
108,61
6734,6632
141,6725
90,122
22,183
156,127
6632,6734
22,188
127,9
176,27
142,59
6632,90
188,176
127,27
12,9
127,6688
110,6704
141,113
110,51
141,117
11,51
188,198
161,12
27,71
29,9
110,61
12,6688
127,51
176,6725
161,6679
11,68
190,156
27,90
90,185
176,79
11,75
110,79
156,190
78,51
6684,6725
6666,115
177,59
11755,51
11,90
127,79
161,51
6668,59
126,114
179,9
75,161
29,51
161,59
141,168
61,90
29,59
92,161
110,117
79,54
92,168
127,115
11755,90
6704,6666
161,90
11,132
79,73
161,92
6688,6652
158,188
11755,110
11,141
113,51
198,11755
12,115
79,90
27,176
115,6666
161,127
6688,34
132,9
132,11
127,168
34,11755
110,185
6704,61
6688,1585
12,156
50,3
12,161
113,105
12,168
114,78
114,90
161,170
115,61
78,185
29,168
132,51
51,3
198,59
51,9
6688,90
51,11
51,12
6704,110
113,141
6704,108
50,6704
