first_level_division_of_1,first_level_division_of_2
10055,170
9937,6644
11134,12
10812,9
10205,132
9251,12
5154,51
9776,132
5187,51
5088,51
9623,9
5185,117
5113,51
5177,117
9578,132
5105,51
9445,170
10685,127
9290,118
11452,170
9430,127
8522,127
11189,132
10405,118
9868,132
10417,9
11396,125
11371,132
11494,170
5203,117
9925,170
5172,51
93,63
9439,127
5170,117
9726,191
10186,12
5098,51
10689,6700
5195,117
5164,51
5131,51
9278,12
10561,170
5090,51
11281,132
5156,51
9620,170
8509,51
5181,51
5115,51
11599,12
9873,9
5146,117
5204,117
10910,132
5107,51
9254,12
9,141
8532,127
5099,51
9521,191
10757,12
5157,51
10378,6644
9249,170
191,141
125,141
5124,51
5182,51
11385,9
10556,109
11427,6644
10514,132
5141,51
11580,118
9317,127
10577,6644
5108,51
9709,12
10444,12
11101,127
10113,6700
10526,6700
1,170
11537,190
5158,51
9602,12
9227,117
5092,51
5189,117
9648,127
5150,51
5117,51
184,141
10478,9
5142,51
5175,51
5206,117
9434,127
11307,170
5101,51
11720,170
5167,51
5132,117
9694,12
5126,51
5093,51
5192,51
9831,125
5118,51
5184,51
9732,127
10690,125
5209,51
8496,6700
11326,118
5110,51
9228,132
5143,51
11561,12
5174,117
11589,170
10214,6700
9739,170
10077,191
11384,132
10061,184
11628,6644
11638,191
10595,12
10207,9
10323,9
5086,51
5152,51
11705,170
5119,51
10677,6700
5144,51
11409,149
9575,170
5202,51
11529,12
5169,51
9403,127
5200,117
10834,49
5136,51
11538,6644
9213,127
10045,191
5103,51
5194,51
10877,9
5161,51
9971,191
9652,92
5128,51
10956,118
5095,51
9131,127
153,170
10167,12
9569,118
9531,12
5145,51
11072,125
132,63
9845,12
5112,51
9555,6700
