people_who_follow_this_diet_1,people_who_follow_this_diet_2
13029,1414
13029,11911
13029,5255
13029,7813
13029,1427
13029,3473
13029,7822
14329,8226
14329,6176
13029,4250
13029,8091
14329,6187
13029,1175
13029,3221
14329,8246
13029,1438
13029,3740
13029,8107
13029,11942
13029,4260
13029,944
13029,1457
13029,6321
13029,3259
13029,4290
13029,1219
13029,5312
13029,702
13029,6091
13029,1480
13029,8393
13029,4039
14329,5976
14329,8792
13029,5573
13029,1488
13029,6353
13029,465
13029,472
13029,1240
13029,984
14329,4205
14329,3693
14329,1130
13029,6102
14329,4214
13029,995
13029,4064
13029,3553
14329,6005
13029,7902
14329,5489
14329,1404
13029,4329
13029,4071
13029,7908
13029,484
13029,3825
13029,753
13029,4079
13029,3564
13029,3578
13029,5369
13029,7670
14329,7048
13029,7925
14329,649
13029,1025
13029,3329
14329,658
13029,509
13029,3594
14329,1438
14329,4250
13029,6663
13029,3845
13029,517
13029,7698
13029,3858
13029,3859
14329,4260
13029,1041
13029,270
13029,1292
13029,3085
13029,5914
13029,539
13029,1304
13029,3862
13029,535
14329,1195
13029,5655
13029,3861
13029,3618
14329,5812
13029,1311
13029,540
13029,1053
13029,3370
13029,809
13029,3378
13029,1074
14329,5575
13029,3888
14329,5829
13029,7729
13029,7726
13029,5934
14329,4290
14329,704
13029,1338
13029,7994
13029,7995
13029,308
13029,3381
13029,5698
13029,3651
13029,6723
13029,6977
13029,5950
13029,1086
14329,465
14329,3804
13029,3145
13029,7751
14329,4059
13029,1092
14329,996
13029,1360
13029,332
14329,4064
13029,589
13029,3674
13029,858
13029,8792
13029,6233
13029,11862
14329,4329
13029,5218
13029,6243
13029,861
13029,12125
13029,1384
13029,12393
13029,7017
13029,8041
13029,3954
13029,3187
13029,5489
14329,3329
13029,3706
13029,1402
13029,635
14329,781
13029,5236
13029,6005
14329,3862
13029,5762
14329,3863
14329,3861
13029,382
13029,1150
13029,3967
13029,6783
14329,3859
