presenting_organization_1,presenting_organization_2
6448,13428
6373,12168
6481,13428
6431,12168
6539,13428
6464,12168
6455,4013
6488,4013
6465,13428
6523,13428
6571,4013
6374,12168
6440,12168
6548,13428
6416,13428
6507,13428
6573,13428
6391,12168
6532,13428
6457,12687
6590,13428
13488,12833
6623,13428
6433,13428
12098,6771
6527,12833
6375,12168
6593,12833
14130,6771
14642,6771
13894,6661
6442,13428
6475,13428
6508,13428
6541,13428
6566,13428
6498,4013
6582,12168
6533,13428
6581,4013
6484,13428
6542,13428
6575,13428
6467,12168
6558,12168
6476,13428
6598,4013
6534,13428
12073,9395
6600,13428
6377,13428
13871,6661
6425,4013
13490,12833
6483,4013
6460,13428
6385,12168
6493,13428
7434,12168
6615,13240
12138,12016
6510,13428
6402,12168
6468,12168
12134,6771
6535,13428
6419,12168
6560,13428
13876,12941
6478,13428
7535,13428
6511,13428
6462,13428
6605,12833
6394,4013
6520,13428
6553,13428
6446,13428
6404,12168
6437,12168
6436,4013
6502,4013
6396,12168
6429,12168
6405,13428
6578,12168
6463,13428
6421,12168
6587,13428
6413,12168
6521,13428
6546,13428
6579,13428
6480,13428
6372,12168
6538,13428
7355,12168
6505,13428
6607,12833
7347,12168
6381,12168
6489,13428
