citytown_1,citytown_2
3131,8475
12974,8494
11234,11235
12042,10773
12965,10832
12975,8475
10161,9688
13503,8488
12992,9994
10228,9659
6782,9993
12909,8476
13503,8494
3131,8498
12010,9733
13504,8475
10110,11286
11089,9610
8457,9292
13853,9953
3743,10018
9699,9700
10339,10340
12711,8487
3793,8475
12976,8476
8417,8488
13108,8475
13108,8476
9214,10408
6703,10433
12166,11065
6674,11331
10330,10635
10072,10453
9592,10994
9773,11536
13175,8476
10565,9514
11236,9188
11172,11173
10917,10899
13109,8476
12977,8487
6634,8509
13836,8487
11206,10147
3306,9292
6745,11224
9381,9382
12863,9997
6773,10365
9939,8476
13110,8477
10427,9733
13110,8478
10070,8532
4126,8475
13107,10648
13111,8476
13193,10029
12960,11104
13446,10387
12184,10596
14327,9700
13838,8476
12913,8476
11091,9659
10086,10094
10494,9733
13045,8476
13119,10279
10535,8475
12649,8477
10535,8476
12021,9514
12715,8476
14324,9796
12913,8494
13376,8476
13508,8478
11393,8507
13508,8476
10325,10903
9447,9448
6780,10208
11175,11176
9941,8476
11214,9973
9488,10232
13112,8487
12870,9859
13443,8476
10114,9275
9583,9362
9545,8488
6771,8476
12914,8509
9838,9660
10600,10608
10296,9791
10998,8512
10518,11114
10734,8513
13108,10698
3141,10423
12188,8494
10771,11460
13448,10403
9589,9203
10603,8488
9348,8475
13378,8476
12150,9688
13169,10864
10563,9733
9513,9514
9877,8476
13177,10625
12048,10809
13318,10362
9150,8496
6640,8488
13445,8476
11294,9623
9450,9451
10346,10347
8421,10641
10735,10586
9680,8476
12759,11331
13374,10698
12045,10933
8425,8476
12018,9733
9416,8477
12653,8476
11012,10210
12870,9953
11994,10487
11071,10423
13380,8476
7741,5119
6949,5095
13156,11331
10795,10796
7081,9196
3735,8476
10274,8526
11769,11333
6707,8513
12852,8476
9681,8475
9772,11807
3141,8475
10036,9766
13002,9991
12870,9988
12191,8509
11067,8531
10475,10498
12006,10141
12720,8487
10779,11327
6682,11353
13447,8488
10028,10029
9324,9325
11266,8526
3698,9659
9417,10556
9352,8478
13373,10811
13183,8509
9507,9818
13316,8475
13055,10423
10644,9399
11812,10058
4291,9737
9133,9134
9965,9966
11411,10196
9970,9812
13118,8487
9900,9942
12007,10160
10079,8494
11154,9994
6738,9677
10283,10372
11507,9304
6710,8508
12719,10641
12012,10029
13147,9659
13119,8487
9177,9859
12788,8519
11287,9991
10490,10129
11260,10837
11178,9294
3805,8476
12194,8513
2550,8476
9263,9264
6742,9594
6712,8476
11295,9760
2550,8475
10671,10672
10477,8504
12650,10773
10874,8488
9975,9733
9372,9987
9280,10792
9698,10124
10890,10045
6749,9389
10375,9623
9355,8488
13086,9562
10692,10045
10739,10649
11231,9733
10806,10614
9884,8476
9456,9457
11056,11057
10416,10417
6911,8488
10676,8513
12923,8487
4269,8476
10908,9516
9898,10108
10665,10914
4269,8494
12924,8476
10977,9455
6740,9724
6743,9637
10842,11585
10645,9500
9268,9182
13320,8509
13375,10899
4269,8512
9546,10812
10985,9221
12660,8494
12727,8476
