taxonomy_1,taxonomy_2
5086,14431
5152,14431
5119,14431
6705,14431
11660,14431
6639,14431
13774,14431
13741,14431
13807,14431
14369,14431
14435,14431
198,14431
14468,14431
132,14431
99,14431
66,14431
11099,14431
13742,14431
166,14431
9250,14431
14436,14431
133,14431
14469,14431
5154,14431
34,14431
12520,14431
11397,14431
8325,14431
5187,14431
5088,14431
13842,14431
13809,14431
1554,14431
13578,14431
8491,14431
13743,14431
9284,14431
167,14431
10209,14431
14437,14431
68,14431
35,14431
14470,14431
12488,14431
9152,14431
7897,14431
9119,14431
13810,14431
13777,14431
6642,14431
12489,14431
13282,14431
135,14431
5189,14431
102,14431
36,14431
5090,14431
3,14431
14438,14431
5156,14431
14471,14431
9285,14431
7997,14431
13778,14431
13745,14431
13811,14431
6676,14431
11631,14431
9187,14431
5157,14431
37,14431
14439,14431
5124,14431
14472,14431
13746,14431
13713,14431
13812,14431
1557,14431
13779,14431
11863,14431
6644,14431
14473,14431
13614,14431
170,14431
137,14431
5158,14431
71,14431
5,14431
14341,14431
5092,14431
14440,14431
14044,14431
11038,14431
6645,14431
6711,14431
13780,14431
13747,14431
6744,14431
12723,14431
13813,14431
14441,14431
14474,14431
13582,14431
171,14431
105,14431
5126,14431
9156,14431
5093,14431
5192,14431
14342,14431
7835,14431
6646,14431
6679,14431
13748,14431
13781,14431
14442,14431
14475,14431
172,14431
106,14431
73,14431
8397,14431
40,14431
14343,14431
11833,14431
12626,14431
6647,14431
13782,14431
13815,14431
14443,14431
14476,14431
12494,14431
140,14431
5194,14431
5161,14431
74,14431
41,14431
14113,14431
5128,14431
5095,14431
13221,14431
14344,14431
6681,14431
14047,14431
13783,14431
174,14431
12396,14431
14444,14431
108,14431
14477,14431
12429,14431
75,14431
11504,14431
42,14431
5195,14431
9,14431
6781,14431
13586,14431
9523,14431
13784,14431
13751,14431
14313,14431
175,14431
142,14431
14379,14431
109,14431
14445,14431
76,14431
14478,14431
11902,14431
13983,14431
13587,14431
13752,14431
176,14431
9227,14431
143,14431
110,14431
77,14431
44,14431
5098,14431
14446,14431
11,14431
5164,14431
14479,14431
5131,14431
13786,14431
13753,14431
6750,14431
7807,14431
13984,14431
6684,14431
12498,14431
177,14431
144,14431
111,14431
45,14431
12,14431
14447,14431
5132,14431
5099,14431
14480,14431
3976,14431
11144,14431
1631,14431
6685,14431
12499,14431
12565,14431
13589,14431
11640,14431
178,14431
145,14431
112,14431
79,14431
13,14431
9262,14431
14448,14431
13986,14431
14019,14431
14118,14431
13788,14431
1566,14431
13755,14431
14449,14431
8536,14431
179,14431
5101,14431
5200,14431
14,14431
5167,14431
9197,14431
11972,14431
13756,14431
13789,14431
14450,14431
9297,14431
147,14431
14351,14431
6721,14431
11048,14431
13625,14431
6655,14431
13790,14431
13757,14431
13856,14431
14418,14431
14451,14431
8274,14431
181,14431
5202,14431
5169,14431
82,14431
16,14431
7151,14431
5136,14431
11049,14431
5103,14431
12866,14431
13923,14431
6689,14431
13064,14431
7647,14431
9530,14431
13758,14431
12800,14431
13791,14431
14452,14431
149,14431
5170,14431
17,14431
5203,14431
13858,14431
7681,14431
7780,14431
6756,14431
9531,14431
12636,14431
13792,14431
13363,14431
117,14431
14453,14431
12438,14431
5105,14431
51,14431
8078,14431
7781,14431
13793,14431
6691,14431
14024,14431
184,14431
151,14431
118,14431
9169,14431
52,14431
14454,14431
5172,14431
14091,14431
8046,14431
13199,14431
6725,14431
13794,14431
13761,14431
9467,14431
13596,14431
9401,14431
8509,14431
185,14431
5206,14431
86,14431
9137,14431
11218,14431
12374,14431
20,14431
14455,14431
5107,14431
7981,14431
13762,14431
6726,14431
13828,14431
13795,14431
9468,14431
12507,14431
13630,14431
8510,14431
186,14431
5174,14431
5141,14431
87,14431
54,14431
21,14431
5108,14431
14456,14431
8015,14431
13730,14431
13763,14431
13829,14431
7586,14431
14457,14431
187,14431
154,14431
8478,14431
13664,14431
121,14431
5142,14431
88,14431
55,14431
5175,14431
14127,14431
6629,14431
13764,14431
13731,14431
7587,14431
11419,14431
14458,14431
188,14431
155,14431
5209,14431
12509,14431
122,14431
89,14431
5110,14431
23,14431
5143,14431
12939,14431
6729,14431
13104,14431
14095,14431
13732,14431
13798,14431
14459,14431
156,14431
8480,14431
123,14431
5177,14431
90,14431
57,14431
13567,14431
24,14431
5144,14431
2931,14431
9207,14431
7589,14431
8547,14431
12676,14431
6664,14431
13766,14431
13733,14431
13799,14431
190,14431
5343,14431
14460,14431
157,14431
12445,14431
5145,14431
58,14431
25,14431
5112,14431
11851,14431
12809,14431
7920,14431
13569,14431
8482,14431
6632,14431
12677,14431
13338,14431
191,14431
8218,14431
158,14431
125,14431
92,14431
14461,14431
5146,14431
59,14431
5113,14431
8350,14431
26,14431
12479,14431
8119,14431
1744,14431
13801,14431
13768,14431
14330,14431
159,14431
126,14431
60,14431
9375,14431
7162,14431
27,14431
14462,14431
14033,14431
13802,14431
13769,14431
13835,14431
6700,14431
8484,14431
13604,14431
9409,14431
13736,14431
5181,14431
127,14431
94,14431
61,14431
28,14431
14430,14431
14463,14431
5115,14431
6734,14431
13737,14431
6767,14431
6668,14431
8353,14431
161,14431
128,14431
5182,14431
95,14431
14464,14431
7858,14431
6669,14431
6702,14431
6636,14431
14465,14431
12483,14431
162,14431
13639,14431
12615,14431
5150,14431
5117,14431
30,14431
14432,14431
11030,14431
7661,14431
6670,14431
13772,14431
13739,14431
14433,14431
14466,14431
12550,14431
196,14431
12517,14431
130,14431
97,14431
5118,14431
10172,14431
5184,14431
10866,14431
6671,14431
11791,14431
13773,14431
14434,14431
12353,14431
14467,14431
197,14431
8488,14431
164,14431
131,14431
98,14431
65,14431
