special_performance_type_1,special_performance_type_2
508,14013
442,14012
3481,14013
442,14013
3382,14012
5529,14012
310,14013
1301,14013
277,14013
2391,14014
5232,14013
5265,14013
3184,14013
2193,14014
3085,14013
1352,12440
7974,14012
971,14013
6190,14013
6274,12440
3911,14013
6025,14013
1863,14012
5860,14013
1731,14013
674,14012
989,12440
7776,14013
5695,14013
3581,14013
509,14013
509,14014
3416,14012
377,14013
2260,14013
461,12440
1137,14013
3935,12269
1071,14013
3053,14013
6125,14012
3978,14013
8107,14013
5828,14013
990,12440
642,14013
5696,14013
3615,14012
2939,12440
1534,14012
510,14013
444,14013
3450,14012
5912,12440
1402,14012
411,14013
378,14013
2327,14013
246,14013
8273,14013
5267,14013
5234,14012
462,12440
2129,14013
973,14012
3021,14012
7943,14012
3913,14013
676,14013
7844,14012
610,14013
577,14013
2460,14012
1403,14012
3484,14013
5913,12440
3352,14013
1139,14013
4112,14013
8340,14012
766,12269
5385,12440
5863,14013
3848,14014
1091,12440
743,14013
5731,14013
5698,14012
3716,14013
644,14014
5698,14013
5500,14013
728,12440
695,12440
1338,14012
5566,14014
3320,14012
5434,14013
1206,14012
1239,14013
1206,14013
3155,14012
1074,14013
6095,14012
2891,14012
3750,14012
1702,14012
5897,14012
14013,12269
13726,14012
3651,14013
612,14013
3552,14012
546,14013
7615,14012
414,14013
5468,14014
1339,14013
3321,14013
5336,14013
249,14013
1207,14013
3288,14013
1075,14012
6063,14013
2099,14014
6195,14014
943,14013
712,14013
646,14012
646,14013
5667,14013
928,12440
5634,14013
1274,14013
4313,14012
5337,14012
1424,12440
12622,12440
5965,14014
2893,14012
845,14014
3917,14013
2827,14014
5536,14012
4215,14012
6263,14012
467,12440
2167,14013
1110,14013
8047,14013
3059,14012
12623,12440
912,14012
6032,14013
5999,14012
704,12269
6317,12351
5933,14012
2597,14012
6660,14012
5735,14014
4315,14012
5339,14013
5438,14013
5405,14013
1177,14012
501,12440
6023,12269
468,12440
1177,14013
4051,14013
1045,14013
336,12440
979,14013
3952,14013
3312,12351
682,14013
1706,14014
2499,14013
5439,14013
1310,14013
5307,14013
5721,12440
502,12440
6222,12269
1145,14012
1079,14013
4250,14014
8379,14013
337,12440
12079,14013
947,14013
914,14013
2896,14012
5968,14013
5968,14012
848,14013
