celebrity_1,celebrity_2
1240,535
292,5348
928,3552
6222,1236
3892,762
792,5725
1883,1089
5296,762
3276,3987
4231,4081
792,609
952,1282
6063,1052
982,1378
1396,3904
3338,535
1467,682
4089,3370
3975,3318
682,1467
831,1456
5797,1109
8025,5775
5797,7770
5473,3478
4081,6181
3801,4113
617,416
14048,5950
1456,4106
5510,1316
5725,792
3611,792
3095,3478
1465,251
14048,8004
1324,527
6271,8452
5420,3599
14048,3917
8144,8254
6181,4081
8025,5797
4315,7661
14048,3412
4012,5797
3145,423
6068,4016
14048,3416
14048,1378
7985,3989
5332,3297
1236,6879
7661,4315
14048,7017
3478,5473
1508,4081
1015,5540
3422,555
1456,575
3552,623
3612,5422
1883,3725
555,3422
3208,3611
535,4053
3318,3288
5297,7985
5797,4266
1883,674
5775,8025
8094,4231
3674,5572
3387,4231
709,208
642,237
5422,3612
760,5797
6224,5378
14048,3989
8050,3553
3449,3338
12342,6182
3674,5581
4081,4231
1378,982
7951,8164
14048,8094
1883,3252
8084,8144
1017,1430
4290,1341
4016,4205
14048,8600
7650,3684
5348,292
1456,3187
14048,6048
6060,3318
416,617
5797,5325
14048,7596
3325,7720
3689,535
4053,6144
3955,3552
3353,5833
4081,673
6182,12342
1407,5233
5540,1015
1468,6931
609,792
8004,1438
3095,3599
4124,5492
1883,6868
5885,5690
14048,7609
5797,3297
825,5881
4053,535
1316,5510
4106,1456
4205,4016
4113,3801
14048,4053
1109,5797
1883,5871
5797,760
762,5296
1282,952
3684,3804
527,1324
3599,5420
14048,998
5802,3689
4067,4231
3804,3684
14048,7661
6931,1468
7951,12342
14048,3564
3724,4124
4106,1497
1052,6063
5572,3674
5824,6099
5775,1478
14048,6139
14048,1017
14048,5626
3288,3318
14048,1015
6013,7929
1430,1017
1341,4290
1883,3363
5492,4124
8164,3218
5233,1407
796,6345
8144,6907
5797,3377
3987,8290
535,3689
14048,4113
237,642
3969,4249
1883,3891
1883,5940
4266,5797
4069,4231
485,4231
3478,3095
5704,6285
3689,11919
1456,3318
6099,5824
3261,3689
549,1236
821,998
1497,4106
575,1456
623,3552
3318,3975
7650,6903
3331,3574
8254,8144
5797,8025
1017,3632
825,5489
14048,5690
6285,5704
821,3572
3318,3478
3859,12309
3689,5802
5881,825
14048,6207
3116,1041
1438,8004
4009,4081
6048,777
1883,1379
3097,5220
4231,7954
8290,3987
673,4081
5833,3353
3689,3261
923,1456
3318,6060
6345,796
14048,8272
3318,1456
5325,5797
762,3892
6222,4106
423,3145
5508,4231
4106,6222
14048,3693
1478,5775
14048,3689
14048,617
5378,6224
7770,5797
1456,831
5492,5253
5253,5492
3218,8164
5991,535
5797,3989
3377,5797
3552,3955
5675,5217
6005,3689
4231,3387
12309,3859
833,3259
3987,3276
14048,4220
3187,1456
12342,7951
535,1240
7985,5297
4231,5447
7929,6013
5269,920
5797,4012
3338,6005
8164,7951
3989,5797
472,4231
3338,3449
3553,8050
7954,4231
777,6048
11919,3689
3552,928
3127,3863
3572,821
8144,8084
3632,1017
3574,3331
3611,3208
6903,7650
608,3632
1236,549
535,3338
6144,4053
6879,1236
7720,3325
14048,5296
4081,4009
4231,5508
3969,5950
1883,1498
6168,3831
3297,5797
3259,833
3599,3095
5217,5675
539,5797
5489,825
1456,923
14048,6355
4124,3724
208,709
8452,6271
4231,8094
6308,4124
1236,6222
3684,7650
920,5269
3863,3127
3831,6168
792,3611
5690,5885
5950,3969
4016,6068
4249,3969
4124,6308
14048,5866
998,821
3370,4089
14048,3318
14048,753
3297,5332
5797,539
4081,1508
14048,251
251,1465
3478,3318
5447,4231
5775,1236
14048,5378
1883,546
5581,3674
3689,6005
4231,472
3632,608
7073,4018
535,5991
1883,6187
4018,7073
14048,3859
6005,3338
5220,3097
3904,1396
6907,8144
1236,5775
1041,3116
4231,485
4231,4069
4231,4067
3989,7985
14048,792
