contact_category_1,contact_category_2
12164,14148
13234,12465
12965,14148
3295,14148
6727,12465
4343,14430
13048,14148
12871,12465
12858,14148
1528,14148
12701,14148
13263,14148
6785,12465
13053,12465
10460,12465
12706,12465
13006,14430
11017,14148
4906,14148
13131,14148
12965,14430
12685,14148
13177,12465
13037,12465
12768,14148
3775,14148
6715,14148
13318,12465
12872,12465
12157,14148
12826,14148
12925,14148
12719,14148
6674,14148
13131,14430
6773,14148
13277,12465
13107,14148
12851,14148
13186,12465
12884,14148
13140,14148
12922,12465
6724,14148
6757,14148
12901,14148
6650,14148
13107,14430
12984,14148
12183,14148
12884,14430
13140,14430
12700,12465
12943,14148
13009,14148
12819,14148
13198,14430
12865,12465
12852,14148
6634,14148
13270,12465
12927,14148
3141,14148
12984,14430
12159,14148
12816,12465
12184,14148
3389,14148
12965,12465
12795,14148
13051,14148
12808,12465
4438,14148
12861,14148
3447,14148
10128,14148
12911,14148
12878,14148
6634,14430
12870,14148
12969,14148
13048,12465
13035,14148
12961,14148
12184,14430
3389,14430
12994,14148
12837,14148
13110,14148
4438,14430
11017,12465
12190,12465
13358,14148
10831,14148
6715,12465
13234,14148
10607,14430
12788,14148
12878,14430
13044,14148
11309,14430
12871,14148
13140,12465
12884,12465
13107,12465
12838,14148
13449,14148
13259,14148
13325,14148
11467,14148
13292,14148
13375,14148
13086,14148
6674,12465
13251,14148
12719,12465
12706,14148
13074,12465
13061,14148
13111,14148
13177,14148
13234,14430
10460,14148
6757,12465
13053,14148
13449,14430
13136,14148
13235,14148
13292,14430
12690,14148
13318,14148
13251,14430
1930,14148
12706,14430
12872,14148
3656,14148
12984,12465
13037,14148
12183,12465
13376,14148
13053,14430
13219,14148
13186,14148
4350,14148
13375,14430
13086,14430
12922,14148
13277,14148
12187,14148
13327,14148
12872,14430
12782,14148
3698,14148
3389,12465
12914,14148
12757,14148
12179,14148
13162,14148
12184,12465
10206,14148
13277,14430
12911,12465
10128,12465
12163,14148
4252,14148
12837,12465
12700,14148
12155,14148
6738,14148
13006,14148
12816,14148
13162,14430
13072,14148
12961,12465
12742,14148
6763,14148
12808,14148
12172,14148
12717,14148
