second_level_divisions_1,second_level_divisions_2
51,11795
51,9747
51,10773
51,11797
51,10776
51,11805
51,10781
51,9757
51,9758
51,11808
184,9734
141,10045
51,11813
141,11072
51,9767
51,11815
184,9743
184,10770
184,10772
51,9777
141,10061
51,9783
12,9969
184,9759
184,9761
51,10813
51,10816
51,10817
141,10077
132,11382
184,9770
51,9799
51,9800
51,10825
51,10827
51,9803
51,9805
51,9806
51,9809
51,10838
51,9815
51,10839
6700,8496
184,9791
51,9819
51,10843
170,11252
51,9822
132,10388
184,9801
51,10854
51,9834
51,10858
51,9835
51,9839
51,10867
51,9843
51,10868
184,9821
179,11001
51,10873
51,9854
117,10880
51,9860
51,9861
51,9862
51,9865
117,9876
51,10905
132,9420
51,10907
51,9887
179,11040
51,10916
184,9867
51,10923
51,9902
51,9907
51,9911
51,9915
179,10047
51,10944
51,9921
184,9894
141,10207
51,10949
51,10950
170,10341
132,10495
51,10959
51,9935
51,9938
51,10963
12,10125
184,9913
132,9477
184,10939
51,10966
51,10967
179,10071
51,10968
51,10969
51,9946
51,9949
51,10976
12,10138
51,9954
51,10979
51,10983
6700,10688
184,10957
51,9964
51,10988
184,9940
170,9351
51,10996
51,9973
179,10103
132,8490
51,11007
6700,10713
51,9986
170,153
51,11024
51,10000
51,11027
51,10004
51,10012
51,11037
184,11016
132,8534
132,9558
51,10026
51,11052
51,10031
184,10005
51,11059
184,11034
51,11063
141,10323
51,11065
51,10044
51,11069
51,10050
51,10051
51,10052
184,10025
12,11262
51,11086
51,10063
118,11062
51,10068
51,10069
179,10197
51,10073
170,10483
51,10076
51,10078
141,11385
51,11103
51,11105
51,10084
141,11396
51,10092
51,11117
51,11119
51,10099
179,11258
170,10515
12,10295
51,10111
51,11138
51,11140
170,8478
51,10120
51,10122
51,11150
51,10127
51,11158
184,11131
141,10417
51,10137
51,11162
51,11163
51,11166
51,11167
51,11169
51,10149
51,9125
51,9128
51,10154
51,10155
51,10156
51,11182
51,10163
51,11190
51,11195
51,11197
132,9710
179,10302
184,11173
51,11201
51,10178
51,9154
184,9132
51,11210
184,9135
51,9165
184,11186
51,10190
51,9170
184,9143
51,11220
141,10478
12,9359
132,9736
51,11223
51,11225
51,11227
51,9181
51,9184
51,11233
51,10212
184,9164
51,9192
51,11241
51,11242
51,11245
51,10222
51,11246
51,10224
51,9201
51,10226
51,11253
51,10233
170,9619
51,11261
51,10237
51,9215
51,10240
51,10241
51,11265
51,11269
51,9225
51,11273
51,11274
51,9226
51,10254
51,9231
51,10259
51,11285
141,9521
51,9239
51,11288
51,9241
51,10266
184,9217
51,9244
51,9246
184,10243
170,10678
51,11298
51,11300
51,11304
51,11306
184,9235
51,9266
51,10292
51,10294
51,11323
51,11325
51,10301
170,10708
184,11301
51,10309
51,11335
51,10313
184,10287
51,9295
184,9269
51,11345
179,11475
51,11347
170,9707
51,11349
51,9302
51,11352
141,11638
51,9309
184,10306
51,9312
51,10337
51,11362
51,10338
184,9289
51,11366
51,10349
51,9326
184,9299
51,9328
51,10352
51,11377
51,10354
184,9305
51,9333
51,11381
51,10361
51,9339
141,9623
51,9343
51,9344
51,10369
184,9320
51,10371
51,10373
51,11398
184,11373
51,10377
51,11403
51,11406
184,10355
184,9334
51,9363
51,9365
51,9369
51,10395
51,9371
51,11420
51,10396
51,10400
51,9377
51,11430
51,10406
51,11431
51,11432
141,10690
51,10408
51,9384
12,10594
51,10412
51,11436
51,10414
51,10419
51,11446
51,9398
184,9374
51,11449
51,10425
51,11450
51,9406
51,11456
51,10437
51,11463
184,9390
51,9418
12,11656
51,9424
184,11447
51,11479
51,11485
51,10464
51,10465
51,11489
51,11490
51,10467
141,9726
51,11493
92,9202
184,10446
51,9451
51,10476
51,11503
51,10480
51,11508
51,11509
51,10485
51,11510
51,9462
51,10489
51,9466
132,10027
51,11515
51,11516
51,11522
51,10500
184,10473
51,11524
51,10502
51,10503
51,10504
6700,10213
51,9483
12,9671
51,11534
184,11513
51,10516
51,11543
51,10520
118,11517
51,11548
51,8477
51,11550
51,10528
51,11552
51,10529
51,11553
141,10812
51,9506
51,10533
51,11557
179,11686
51,11558
51,11559
51,11562
117,8494
51,11565
170,9924
51,11567
132,11104
12,11756
51,10547
