appointed_by_1,appointed_by_2
13530,7647
14894,7858
13351,3976
51,8218
14894,11972
13530,7661
12823,3976
7647,8274
13351,7587
13530,6646
12713,7915
51,6711
8274,6781
11972,7858
12941,3928
14894,7897
13530,7681
51,6721
12796,7920
12859,8015
13530,6670
51,6726
13351,7609
14894,5343
14621,7661
13405,7981
51,6729
12859,3928
14621,6646
13510,6781
51,8274
13512,7758
14621,7681
35,6726
14894,7920
13405,7997
13530,8218
35,6729
13510,7835
12859,8046
13512,8283
51,6756
51,7780
13405,8015
14621,6670
13530,6711
14621,8218
13405,3928
12941,3976
13351,7661
35,7780
7746,8353
13525,7897
12941,8078
12859,3976
13530,6726
51,6781
51,7807
13530,6721
13525,7915
12859,8078
51,8325
8046,7780
13405,8046
12796,7981
13351,6646
13530,6729
801,7609
8078,12939
7978,8353
14621,6711
13351,7681
195,13599
13530,8274
14621,6721
7963,8325
51,7835
13405,3976
14621,6729
12941,7609
51,8350
14621,6726
13530,6756
13530,7780
13351,6670
51,8353
14621,8274
13351,8218
14894,7997
12424,6756
13395,7888
12859,7609
13530,7807
51,7858
13405,7587
13530,6781
3927,3928
14894,8015
13530,8325
14894,3928
12894,3976
13525,13599
14621,6756
14621,7780
6711,6729
51,11972
6711,6726
12796,8046
13351,6711
13405,7609
51,8397
13530,12435
13351,6721
13509,13599
12894,7587
13686,7609
13530,8350
14621,7807
13530,7835
13351,6729
13351,6726
14621,6781
13512,13511
14894,8046
12941,7661
51,7897
8353,8078
12796,3976
12941,6646
51,5343
14621,8325
13530,8353
12941,7681
12859,7661
12796,8078
35,7897
13351,6756
13351,7780
14621,7835
8531,6670
12859,6646
54,7824
14894,3976
13525,8015
51,7920
13530,7858
8197,8328
13531,8353
12859,7681
14621,8353
13512,7915
12714,8075
13405,7647
14621,8350
13687,7609
14894,8078
13530,11972
1467,3976
6781,6670
13351,6781
14894,7587
13530,8397
13405,7661
7587,6781
12796,7609
13351,8325
12424,11972
13405,6646
13168,7849
13525,8046
13510,7997
13351,7807
13523,7609
13405,7681
13530,7897
14894,7609
14621,11972
13530,7920
13351,7835
13405,6670
11631,7902
14621,8397
6726,7897
6719,7609
13405,8218
14621,7897
51,7981
13692,3928
13351,8350
7849,7915
141,7758
14621,5343
12859,6729
5185,8075
13351,7858
51,7997
7978,3928
13510,8046
141,8283
14621,7920
14894,7647
13351,11972
7744,7609
7635,7915
12894,8218
13405,6711
51,8015
6711,7897
13351,8397
13405,6721
51,3928
14894,7661
13405,6729
13405,6726
35,8015
7746,8078
122,13511
14894,6646
13405,8274
13530,7981
13351,7897
12796,6670
8274,7587
51,8046
7963,3928
13395,8075
12941,8325
13530,7997
14894,6670
141,12435
12941,7835
14894,8218
8496,7902
13351,7920
35,8046
12859,8325
13405,6756
13405,7780
13530,8015
12941,8353
6677,14123
14621,7981
51,3976
13530,3928
8065,13599
8258,7609
12713,7758
12859,8353
12894,6756
13405,7807
14621,7997
13405,6781
12859,7835
13520,7824
14894,6711
13405,8325
51,7587
13530,8046
14894,6721
14621,8015
12713,8283
13405,7835
14621,3928
14894,6729
14894,6726
8043,7661
13351,7981
14894,8274
13405,8353
13405,8350
12894,6781
51,7609
13530,3976
195,7758
13510,7661
12796,6756
13405,7858
14894,7780
14894,6756
13351,7997
14621,8046
12941,5343
8274,6670
13510,7681
141,7915
12941,7920
12859,5343
12796,6781
7741,8353
13531,3976
14621,3976
13530,7587
13405,11972
13351,8015
12859,7920
195,6770
12894,7858
13525,6729
13351,3928
13525,6726
14894,7807
7678,8274
13405,8397
14894,6781
13405,7897
51,7661
13525,7758
12945,12939
8353,7835
14894,8325
14621,7587
13525,8283
13525,7769
51,6646
12796,8350
13530,7609
14894,7835
8318,7915
13351,8046
51,7681
12796,7858
13405,7920
14894,8353
12894,8397
13525,7780
14894,8350
13525,6770
14621,7609
13524,7824
51,6670
