olympics_1,olympics_2
135,7142
135,7150
7137,7179
533,7100
135,7152
135,7155
137,7100
137,7102
5,7100
7140,7102
7931,7155
135,7169
6744,7098
137,7116
135,7179
135,7181
6744,7106
3,7179
7140,7116
6744,7109
6744,7108
138,7100
6744,7118
7140,7127
7140,7134
6744,7125
6744,7123
6744,7130
6744,7129
7140,7141
136,7179
6744,7131
6744,7138
6744,7142
6744,7139
6744,7143
6744,7150
533,7179
6744,7152
6744,7155
137,7181
6744,7164
7140,7181
138,7155
140,7098
140,7100
140,7102
140,7111
13486,7100
6746,7138
141,7096
141,7098
141,7100
141,7102
141,7103
141,7105
141,7106
7144,7100
140,7138
141,7108
141,7109
141,7111
6746,7153
140,7143
141,7114
141,7116
141,7118
7144,7111
141,7120
141,7121
9,7118
141,7123
140,7155
13487,7100
141,7125
7144,7121
141,7127
141,7129
142,7098
141,7130
141,7131
142,7100
141,7132
140,7164
7144,7129
7145,7098
141,7134
141,7138
141,7139
7145,7100
7144,7138
141,7141
142,7111
141,7142
141,7143
7145,7111
141,7146
7145,7109
141,7147
13487,7111
140,7179
141,7150
7144,7143
141,7152
7144,7150
141,7153
141,7155
7144,7147
7145,7123
141,7159
142,7129
143,7100
141,7164
11,7100
7145,7129
141,7169
142,7138
7145,7139
13486,7179
142,7142
7145,7138
7145,7143
7145,7142
141,7179
141,7181
141,7183
142,7152
13487,7155
7144,7179
7145,7155
7145,7152
12432,7100
144,7100
12,7098
12,7100
14150,7100
12,7102
14150,7098
12,7103
14150,7096
12,7105
12,7106
12,7108
14150,7108
12,7109
14150,7105
13487,7179
14150,7106
12,7111
14150,7103
142,7179
12,7114
14150,7102
7145,7179
12,7116
14150,7116
12,7118
14150,7114
14150,7111
12,7120
12,7121
14150,7109
12,7123
14150,7123
12,7125
14150,7121
12,7127
145,7100
14150,7120
13,7098
12,7129
12,7130
14150,7118
13,7100
12,7131
7148,7102
14151,7100
14150,7131
12,7132
14150,7132
12,7133
14151,7098
14150,7129
12,7134
14150,7130
14150,7127
14151,7096
14150,7125
12,7138
12,7139
14151,7108
14150,7139
13,7109
14151,7109
12,7141
7148,7108
14151,7106
12,7142
14150,7138
12,7143
14151,7105
14151,7102
14150,7133
12,7146
14151,7103
14150,7134
12,7147
14151,7116
14150,7147
7148,7116
14151,7114
12,7150
14150,7146
14150,7143
12,7152
12,7153
14150,7141
14151,7111
14150,7142
12,7155
14150,7155
14151,7125
