variation_1,variation_2
7309,7215
7219,7189
7285,7191
7201,7234
14153,7279
7285,7190
7285,7193
7201,7236
7201,7240
7219,7198
7191,7298
7285,7207
7201,7248
7201,7253
7219,7212
14153,7301
7219,7210
7309,14153
7193,7252
7201,7260
7286,7192
7309,7245
7193,7257
7193,7256
7309,7249
7242,7284
7286,7198
7294,7205
7219,7232
7203,7216
7286,7202
7286,7208
7201,7282
7242,7290
7193,7273
7309,7267
7294,7217
7286,7209
7242,7299
7204,7196
7204,7195
7303,7198
7201,7294
7294,7227
7303,7202
7309,7272
7210,7274
7201,7297
7201,7296
7201,7302
7201,7300
7286,7225
7294,7240
7267,7307
7201,7304
7309,7284
7201,7308
7294,7248
7285,7268
13564,7194
7204,7228
7294,7253
7294,7260
7285,7283
7204,7233
13564,7200
7268,7299
7285,7298
7280,7196
7229,7241
7219,7300
7280,7204
7219,7303
7294,7281
14153,13538
7204,7265
7294,7296
7247,7214
7229,7269
7294,7308
7263,7244
7212,7293
7204,7290
7204,7292
14153,7189
13538,7305
13564,7267
7249,7203
7249,7211
7249,7215
13564,7284
14153,7215
7304,7304
7280,7285
14153,7211
14153,7222
14153,7223
14153,7220
14153,7230
7242,7194
7309,13564
7249,7238
14153,7224
14153,7237
7232,7255
14153,7244
14153,7245
7242,7215
7201,7205
7249,7263
7309,7194
14153,7249
7201,7218
14153,7263
7201,7217
7191,7271
7309,7200
7201,7227
7201,7226
7249,7279
7201,7231
7201,7229
