seasons_1,seasons_2
1117,13180
966,14791
417,14788
1284,14791
417,14789
417,14790
14790,14789
1192,8432
1320,8432
669,14791
14789,8432
13180,14789
13180,14790
13180,14788
8432,14788
8432,14789
8432,14790
14789,13180
839,14791
418,14788
1186,14788
418,14789
1186,14789
418,14790
1376,14791
3168,14791
14790,8432
417,8432
14790,13180
530,14788
13180,8432
530,14789
530,14790
417,13180
14788,14790
14788,14789
1117,14788
1117,14789
8432,13180
1117,14790
828,14791
418,8432
527,14791
238,14791
1186,13180
418,13180
1324,14791
1192,14788
1320,14789
1192,14790
530,8432
1320,14790
14789,14790
14789,14788
672,14791
14788,8432
530,13180
1362,14788
1117,8432
14790,14788
941,14791
1354,14790
14788,13180
297,14791
