educational_institution_1,educational_institution_2
6722,6722
10850,10850
10530,10530
10274,10274
10722,10722
10786,10786
11170,11170
11394,11394
11266,11266
11234,11234
11458,11458
11554,11554
11714,11714
10946,10946
11010,11010
11042,11042
9666,9666
10114,10114
10082,10082
9570,9570
9410,9410
9346,9346
9698,9698
9282,9282
9730,9730
6755,6755
6659,6659
11043,11043
11395,11395
10787,10787
10819,10819
10851,10851
10915,10915
10531,10531
10563,10563
10307,10307
10211,10211
10339,10339
11491,11491
11651,11651
11107,11107
9571,9571
9699,9699
9507,9507
9955,9955
9379,9379
9347,9347
6692,6692
6788,6788
11012,11012
10820,10820
11812,11812
11716,11716
11556,11556
11332,11332
10628,10628
10692,10692
10724,10724
11172,11172
11108,11108
11076,11076
11236,11236
10852,10852
10884,10884
10980,10980
10244,10244
10276,10276
10468,10468
9764,9764
9348,9348
9220,9220
9572,9572
10180,10180
9316,9316
6789,6789
6693,6693
10853,10853
10501,10501
10885,10885
10917,10917
11013,11013
10469,10469
11077,11077
11749,11749
11141,11141
11525,11525
10565,10565
10789,10789
9701,9701
9989,9989
9349,9349
9829,9829
9381,9381
6758,6758
6790,6790
10694,10694
10342,10342
10246,10246
11654,11654
11526,11526
10374,10374
10534,10534
10278,10278
10310,10310
10790,10790
10982,10982
11014,11014
10054,10054
9798,9798
10182,10182
10086,10086
9478,9478
6791,6791
10695,10695
11207,11207
11303,11303
11687,11687
10631,10631
10663,10663
10855,10855
10727,10727
11015,11015
11175,11175
10919,10919
10343,10343
10375,10375
10247,10247
10567,10567
10535,10535
9927,9927
9415,9415
9255,9255
9447,9447
10023,10023
9703,9703
6792,6792
6728,6728
10600,10600
10376,10376
10312,10312
11240,11240
10280,10280
10856,10856
9544,9544
9416,9416
9224,9224
9288,9288
9640,9640
9704,9704
9512,9512
9576,9576
9608,9608
9832,9832
9768,9768
6761,6761
6665,6665
10505,10505
10889,10889
10601,10601
10665,10665
10409,10409
10217,10217
10249,10249
10441,10441
11337,11337
11401,11401
11305,11305
11177,11177
11145,11145
11017,11017
10985,10985
11433,11433
11753,11753
9449,9449
9417,9417
9833,9833
9257,9257
9353,9353
10185,10185
9513,9513
9545,9545
10121,10121
9929,9929
6762,6762
6730,6730
10826,10826
10794,10794
11370,11370
10890,10890
10218,10218
11466,11466
10346,10346
10314,10314
10250,10250
9450,9450
9738,9738
9898,9898
9546,9546
9930,9930
9962,9962
9482,9482
9194,9194
10795,10795
11467,11467
11019,11019
11275,11275
11147,11147
11563,11563
11691,11691
11627,11627
10219,10219
10251,10251
10283,10283
10603,10603
10763,10763
9899,9899
9643,9643
10059,10059
9515,9515
9355,9355
3340,3340
6732,6732
6764,6764
11276,11276
10380,10380
10284,10284
10252,10252
11468,11468
11084,11084
10828,10828
10508,10508
10028,10028
9772,9772
9324,9324
9452,9452
9836,9836
9804,9804
9612,9612
9900,9900
6701,6701
10861,10861
11149,11149
11341,11341
11309,11309
12013,12013
10925,10925
11021,11021
10669,10669
11757,11757
10221,10221
10477,10477
10701,10701
9773,9773
10157,10157
9549,9549
9869,9869
9357,9357
9229,9229
9133,9133
9837,9837
9965,9965
6766,6766
11054,11054
11278,11278
10958,10958
11022,11022
11662,11662
11790,11790
10606,10606
10862,10862
10734,10734
10382,10382
10286,10286
11214,11214
9838,9838
9646,9646
9678,9678
10030,10030
9486,9486
10831,10831
11151,11151
11087,11087
11247,11247
12047,12047
11471,11471
10607,10607
10447,10447
10255,10255
10735,10735
10671,10671
9711,9711
9391,9391
9871,9871
9327,9327
9263,9263
9615,9615
9647,9647
10095,10095
9775,9775
9903,9903
9583,9583
6768,6768
11280,11280
11408,11408
11344,11344
11376,11376
10416,10416
10512,10512
10544,10544
10960,10960
10992,10992
11056,11056
11216,11216
9712,9712
9968,9968
10128,10128
9488,9488
9392,9392
9456,9456
9680,9680
9936,9936
6769,6769
6737,6737
10961,10961
10481,10481
10769,10769
10225,10225
11473,11473
11313,11313
11793,11793
11089,11089
10673,10673
10161,10161
10193,10193
9681,9681
9265,9265
9649,9649
9489,9489
6738,6738
11026,11026
11154,11154
10898,10898
10930,10930
11602,11602
11378,11378
11122,11122
11730,11730
10610,10610
10674,10674
10706,10706
10450,10450
10482,10482
9874,9874
9810,9810
9618,9618
9458,9458
9778,9778
10194,10194
10130,10130
10002,10002
10066,10066
9330,9330
9234,9234
9138,9138
9970,9970
6675,6675
6707,6707
10771,10771
11155,11155
11411,11411
10675,10675
11507,11507
10451,10451
10739,10739
11091,11091
10995,10995
9875,9875
9683,9683
9939,9939
9395,9395
9459,9459
9811,9811
6772,6772
6740,6740
10740,10740
11572,11572
11380,11380
11316,11316
10644,10644
10676,10676
11284,11284
10900,10900
10964,10964
11028,11028
10260,10260
10228,10228
10580,10580
10452,10452
10356,10356
9908,9908
9300,9300
10036,10036
9204,9204
9268,9268
9428,9428
9332,9332
10100,10100
9524,9524
6709,6709
10901,10901
10325,10325
10293,10293
10645,10645
10421,10421
10805,10805
11733,11733
9557,9557
9397,9397
9429,9429
9205,9205
9589,9589
9781,9781
10037,10037
10133,10133
9749,9749
9941,9941
9877,9877
6742,6742
10774,10774
10998,10998
11254,11254
10806,10806
10486,10486
10230,10230
10454,10454
10870,10870
10902,10902
10518,10518
11670,11670
11222,11222
10006,10006
9622,9622
10198,10198
10134,10134
9526,9526
9878,9878
9750,9750
9782,9782
10038,10038
9174,9174
10070,10070
6743,6743
6775,6775
11127,11127
11095,11095
11287,11287
10615,10615
10647,10647
10359,10359
10263,10263
11255,11255
11735,11735
10039,10039
9303,9303
9847,9847
10199,10199
9655,9655
9975,9975
12663,12663
6776,6776
6680,6680
11256,11256
10456,10456
11736,11736
11480,11480
11192,11192
11672,11672
11096,11096
10296,10296
11416,11416
9816,9816
10104,10104
10072,10072
9400,9400
9560,9560
9144,9144
