followers_1,followers_2
14352,11862
14329,1436
14329,540
14329,3997
14329,4250
14352,1360
14352,1488
14329,11942
14329,423
14352,7902
14329,8226
14329,7842
14352,3674
14329,6176
14329,1057
14352,472
14352,3553
14329,6187
14352,5218
14329,1195
14329,3127
14329,5812
14352,7017
14352,4329
14352,1384
14352,7925
14352,7670
14352,3187
14352,753
14352,5489
14329,312
14329,5829
14352,5369
14329,4290
14352,3706
14329,704
14329,1089
14352,3845
14352,7813
14352,6783
14329,6089
14352,7822
14352,270
14352,3594
14352,6663
14352,11911
14329,465
14352,3221
14352,3862
14329,3804
14329,6108
14352,1041
14352,3473
14329,4059
14329,1240
14329,8792
14352,1438
14329,996
14352,3740
14352,4250
14352,535
14329,4064
14352,11942
14352,4260
14329,4214
14329,5623
14352,5934
14329,7028
14352,809
14352,3370
14352,3381
14329,6783
14329,1404
14352,1457
14352,1074
14352,944
14352,1086
14352,702
14329,3329
14329,1153
14352,6723
14329,1420
14329,3084
14329,781
14329,4104
14329,7048
14352,5312
14329,3863
14329,3861
14329,658
14352,8393
14352,3145
14352,4039
