split_to_1,split_to_2
12572,12514
7810,7810
3028,2710
13450,141
8724,14810
5658,5658
5474,5474
8675,6345
12154,12154
12218,12218
51,51
1899,1899
7219,7219
11979,11985
11931,11931
11987,11987
11867,11867
12589,14063
13107,13107
12723,12480
7242,7284
11030,194
9391,13366
12589,14071
14671,14815
11901,90
12263,7294
7295,7201
156,156
636,636
6788,6788
7228,7228
6764,6764
6780,6780
6748,6748
12132,12132
9972,9972
12820,12820
12532,12532
1525,14812
11287,12991
1525,12518
2841,6031
3446,12878
7205,7201
8394,3620
8724,1591
7260,7294
1571,11875
7261,7261
14813,14814
9829,9829
13711,8526
13685,13685
11176,10313
8477,13348
13796,12300
10626,9973
7262,7245
4259,6909
1631,11831
14811,12600
7221,7245
14722,6654
1591,8724
6766,6766
12279,5085
6038,6038
3836,3645
12214,12214
11518,11518
13686,13686
13668,14512
8550,11885
7230,14153
7273,7193
7298,7191
8482,179
184,141
7272,14153
7962,6331
7214,7247
6751,6751
12552,12523
9471,9471
9655,9655
12263,12263
12228,7215
8878,14811
1118,910
12219,7249
12776,14810
7249,7206
7261,12210
14054,14371
7037,8920
13759,1509
7264,7264
5864,5864
12200,12200
8904,8904
12212,7219
13664,13664
90,8483
194,141
11829,13737
8536,8564
11834,6676
13752,12240
2841,2841
177,177
11829,184
185,185
6761,6761
7234,7201
5425,5425
8561,8561
12263,7217
2840,8526
11848,127
