player_1,player_2
4334,8048
4412,7676
4789,12381
4738,7818
4922,12359
4920,12419
13461,7741
4336,8001
4912,12674
13457,5831
4912,12671
4611,7667
12787,8177
4722,12425
13456,7916
4985,8375
14178,8060
13462,7728
4533,8048
4803,7871
4332,12237
4398,12237
4605,11965
4336,8021
13198,7728
4797,8064
4725,12349
13171,12669
13462,7741
4993,12237
4475,7818
14183,7931
4807,7773
13248,8242
4400,8109
4334,8109
5055,8291
4408,7871
13466,7654
13312,8329
4862,12237
4394,12409
4650,12671
4988,12433
4725,12395
4650,12675
4650,12679
4337,8048
4394,12432
5000,7982
4526,12433
4475,7871
13198,5753
4805,7885
4783,12673
4332,8222
4548,7667
4605,7959
4334,12261
4651,12678
4988,8375
4925,12382
4491,13552
4548,7690
13906,8404
5056,12419
5074,7771
5055,12455
4797,12261
4408,7940
4795,12332
4939,7866
4395,12452
5057,12409
5055,8375
4332,12359
13404,7604
13462,5817
13404,1472
4492,13554
14177,8227
4407,8001
14179,8177
12860,8106
4336,8152
4332,8276
4332,12372
4851,12671
4332,12381
5057,12432
4663,12359
4823,13549
4851,12679
4332,8288
4332,8291
5063,12261
4625,13548
4398,12399
4332,12395
4332,8300
4559,13554
4332,12406
4337,8152
4333,8276
4944,7773
13004,7764
4332,12418
4332,12415
4404,12237
4993,12410
12744,7654
4862,12373
13456,8106
4334,12362
4731,12349
4800,12261
13192,8106
4400,12371
4332,12431
4796,8288
13273,7654
4611,7885
4336,12314
4985,12678
4797,12362
4873,7959
12990,8232
4663,12418
13471,7654
5065,8152
4877,11938
4399,12419
4797,12372
4862,12406
4332,12452
4332,12455
4332,8366
4349,7836
4399,12431
4400,12405
13007,7728
13073,7728
4663,12443
4336,8244
4814,7771
4336,12349
4958,13548
4334,12409
4332,8375
4399,12443
5000,8152
4399,12452
4341,8109
4599,12399
4334,12425
4930,12382
4930,8291
5063,12359
4349,11965
4336,12373
4336,12371
4335,12408
4336,12381
4336,12382
4334,12444
4987,12679
4803,8152
14253,8060
4865,12373
4337,12362
4800,12349
13547,1285
13468,7827
4336,12401
5061,12452
4878,7885
4336,12399
12877,7728
4336,12405
4623,7608
4800,12362
4336,12410
4797,12452
5008,7959
4948,7771
13456,8219
13456,12315
4336,12408
4359,7608
4762,13552
4336,12419
4800,12372
4814,11938
4873,8064
4998,12382
4336,12433
12862,8227
4336,12432
13007,11919
4998,12399
4997,12432
4336,12443
13343,7654
4673,12237
4725,12678
13279,7604
4725,12679
4878,7934
4668,8300
4874,8064
4337,12431
4602,12406
4395,12679
4353,11938
4938,12237
4800,12419
4881,7866
4602,12418
4932,12433
14182,8303
4933,12401
4479,8048
5065,12410
4349,7982
4602,12431
4405,12399
14264,7838
4668,12443
4737,12359
13551,13550
4494,7608
4933,12432
4684,11965
4802,12401
5001,12382
4810,8064
4602,8366
13278,7707
13343,7741
4955,7676
5021,7676
4341,12372
4669,12444
4341,12373
14264,7868
12881,7728
5067,12405
5016,11938
12928,8329
14186,8242
5022,7667
4332,12678
12948,7728
13196,8232
4539,12408
4332,12679
4341,12406
4476,8222
4538,12444
4878,8048
4341,12405
4540,8288
4538,12455
13014,7741
4805,12372
4359,7773
13480,5594
4738,12406
4539,12431
4805,12382
4475,8276
13480,7654
4538,8375
4870,12419
13457,8373
5081,7934
4674,12359
4475,8288
4540,12415
4408,12418
4673,12399
13425,5272
12739,8106
4768,13548
4539,12455
4341,12452
13343,11922
12928,8404
4553,7934
5069,12419
4341,8366
4334,12678
4760,7667
4810,12261
4753,7885
4539,8375
4947,8021
5061,12679
4938,12399
4797,12674
4731,12673
4343,12410
4476,8291
12877,7961
4890,7750
4760,7690
4475,12432
4611,12314
4674,12410
4343,12431
4741,8288
4611,8222
4872,12425
5005,8300
4479,8222
12869,8232
5034,13552
4746,12237
5008,12314
4600,12674
13348,7728
4479,12332
4891,7750
4564,7648
4336,12673
13480,7741
4674,12433
4336,12671
4675,12409
4478,8276
4359,11965
13404,5996
4762,7667
12739,8191
13123,12669
4874,12395
4427,7818
13014,5817
4544,8288
4561,7771
4955,11938
4476,12452
4688,7934
4411,12425
4874,12405
12931,8404
4941,8288
4758,7818
4998,12671
4347,8276
4432,7690
4678,12349
13264,8329
4346,12409
4810,12362
4810,12372
4602,12673
4470,12675
4361,7866
4695,7750
4359,7934
13559,13550
4810,12395
4414,12382
4887,7959
12869,8329
12889,7707
4547,12359
4500,7676
13477,7916
4958,7818
5008,12415
4479,12431
4746,12349
4348,12405
4744,12418
4560,7885
4613,8288
13220,7707
4906,13548
4414,12419
4943,12405
4561,7871
4611,8366
4877,12409
4810,12443
13561,13550
14179,533
4348,12431
4746,12382
4964,7676
4613,12418
5076,12399
4349,12408
4746,12399
4973,13554
4559,7959
12893,7654
4359,8021
4348,12455
4414,8366
4767,7667
4549,12381
13007,8232
13099,1285
4350,12409
4870,12679
4350,12415
4738,12673
4491,8048
4963,7750
4554,12237
4615,12395
12827,7688
4549,12406
4623,8064
4615,12410
4819,12237
4350,12443
4688,8109
4760,7934
13273,12315
4883,12314
14264,8227
13354,7764
4485,12382
4958,7959
5013,12399
4561,7982
5042,13552
4880,12433
4955,8064
4750,8276
12893,7741
4419,12401
4880,12443
4685,12359
4748,12452
13007,8329
4834,7750
4551,12432
12830,7688
4817,12381
4750,12415
4355,12373
4817,12395
4491,12261
13089,7868
12893,5753
4950,12371
4554,12362
13478,8106
4619,12408
4883,12415
4553,12408
12830,7728
4553,12419
4621,12359
4560,8109
4949,12433
