league_1,league_2
4802,14280
14276,12177
4447,14280
4643,12810
4610,12810
14185,12181
4955,13385
4422,13012
4767,12810
14268,12177
4600,13385
4569,12810
4571,13012
14202,12181
4338,12810
13160,12738
4718,12810
5065,12810
4819,13012
12772,14281
12830,12738
4873,13385
12739,12738
4497,13012
12681,14281
4382,14280
4704,14280
14277,12177
12822,12738
4669,12810
4479,12810
4446,12810
4702,12810
12756,14281
5016,12810
4696,14280
4570,12810
13425,12738
14211,12181
12880,12738
4758,13385
4448,13012
13070,14281
14203,12181
4876,12810
13202,14281
4717,13385
4787,13012
4391,14280
12963,14281
13343,12738
13310,12738
5025,12810
4800,13385
4412,13385
4647,13012
4602,13385
4918,12810
4662,12810
4406,12810
4672,13012
4416,13012
4563,12810
14204,12181
4844,12810
4821,13012
4553,13385
14196,12181
4481,12810
4768,13385
5069,13012
13014,12738
4475,14280
14279,12177
4958,13385
12948,14281
12783,12738
13039,12738
5051,12810
5028,13012
14271,12177
4374,12810
4558,14280
4913,14280
13353,12738
4366,12810
4680,12810
4711,13385
4424,12810
12990,14281
4738,12810
12957,14281
13312,14281
14189,12181
4441,12810
4730,12810
13073,12738
4947,14280
14272,12177
4854,12810
4608,13012
4468,14280
12900,12738
4394,14280
13032,12738
4879,12810
12842,12738
4681,12810
4584,14280
12702,12738
4675,14280
4419,14280
13313,12738
4898,14280
4848,13012
13090,12738
4667,14280
4551,13012
4376,12810
14207,12181
4762,13385
4568,14280
13198,12738
5045,12810
4341,13385
13561,14281
4688,13385
13264,14281
5047,13012
13000,12738
4878,13385
13066,12738
12893,12738
12868,14281
14191,12181
12860,12738
4360,12810
4490,13385
13157,14281
4527,13012
4484,12810
4870,13385
4453,14280
4550,12810
4897,12810
4705,13385
13273,12738
4486,13012
12827,12738
4375,13385
4755,13385
14274,12177
14200,12181
4623,13385
13348,12738
4561,14280
12877,14281
4491,13385
14192,12181
4615,13385
4970,13385
12869,14281
4933,14280
4549,13385
4805,13385
14184,12181
14275,12177
5057,14280
5024,14280
14217,12181
4444,12810
12952,12738
4510,12810
4797,13385
4888,13385
4727,14280
13357,12738
4983,14280
4793,14280
13441,12181
13134,12738
4500,13385
4822,13385
4859,13012
4847,13385
14201,12181
13126,12738
4843,14280
13192,12738
12754,14281
5006,12810
