contains_1,contains_2
9674,10446
193,9453
141,11066
184,9733
184,9734
126,11532
191,9521
141,11072
133,11322
10224,9793
184,9742
184,9743
141,11077
184,9749
184,9750
141,11084
11235,11234
9137,10739
132,11371
184,9759
127,11526
184,9760
127,11527
184,9761
141,11094
127,11530
141,11097
141,11098
9674,10493
184,9770
164,10390
132,11382
132,11384
141,11109
127,11545
9674,10497
141,11114
11239,11149
9700,9699
177,10006
184,9791
9674,10518
175,10072
123,11685
141,11128
184,9796
141,11131
184,9801
166,10360
141,11141
10243,9274
141,11145
127,11579
170,10250
184,9821
184,9823
166,10383
9187,9258
187,9735
9166,9921
127,11601
9702,9685
184,9837
9166,9920
176,10086
10773,9265
141,11172
141,11173
10212,10271
176,10094
10210,10331
176,10096
9702,9701
141,11185
10214,10213
141,11186
184,9855
9137,10845
191,9643
166,10418
176,10110
184,9867
9213,8492
9187,9300
127,11636
184,9869
176,10118
141,11203
9688,10161
170,10311
11782,10784
181,9979
181,9980
9213,8517
179,10047
184,9893
184,9894
141,11229
184,9897
176,10145
141,11231
141,11237
184,9904
170,10341
9659,11091
9137,10891
184,9913
179,10071
11297,9486
11758,11582
127,11702
127,11703
184,9940
184,9943
191,9726
9165,10064
179,10103
135,11472
176,10203
184,9955
11233,11496
176,10204
141,11295
9156,10356
184,9967
141,11301
127,11739
10732,10673
184,9981
9166,10064
141,11316
141,11318
184,10002
184,10005
141,11340
10766,9649
141,11343
9137,10993
10731,10730
184,10015
184,10017
184,10018
186,9957
184,10025
10750,10171
141,11373
186,9978
179,10196
9137,11030
141,11374
184,10042
179,10197
170,10483
141,11385
184,10054
9275,6768
184,10061
9709,9708
141,11412
170,10515
184,10082
176,10330
11235,11563
9674,10802
11290,9866
176,10339
176,10340
11307,9351
141,11429
184,10102
9192,9387
132,11716
9166,10189
141,11447
184,10121
170,10561
11248,11214
9200,9159
166,10694
9137,11126
11281,10192
141,11477
176,10392
9166,10229
179,10302
10191,11222
186,10087
9166,10242
9137,11144
184,10164
9165,10279
175,10453
141,11507
9155,10607
141,11513
184,10182
176,10431
176,10432
191,9971
184,10195
10768,9768
9166,10279
176,10449
184,10201
11286,10110
184,10217
11261,10893
184,10221
176,10470
9137,11203
11253,11153
170,10658
10715,11448
141,11560
184,10230
9660,11394
141,11568
10738,10737
184,10236
10226,10225
141,11574
184,10243
170,10678
9733,9145
176,10496
141,11581
141,11583
9726,9357
184,10253
9198,9344
191,10045
184,10262
184,10264
9709,9914
170,10708
141,11607
184,10276
141,11611
184,10278
9734,9145
9165,10403
141,11617
184,10286
141,11625
191,10077
184,10296
184,10298
10555,102
141,11638
184,10306
10210,10794
184,10307
184,10308
9227,8512
9166,10403
176,10567
141,11653
176,10568
141,11654
176,10569
9660,11482
141,11657
149,11409
10222,10440
184,10328
9709,9969
10741,10740
9702,10193
186,10275
141,11670
9165,10459
141,11674
184,10342
141,11675
9676,11008
141,11677
141,11684
184,10355
184,10357
10760,10188
141,11694
9181,9987
9166,10448
9166,10459
9228,8534
170,10811
9137,11361
184,10384
141,11718
166,10943
176,10635
