registering_agency_1,registering_agency_2
10211,13255
12003,13255
9608,13255
10376,13255
12168,13255
11260,13255
6784,13255
10847,13255
9683,13255
9939,13255
10740,13255
10228,13255
9848,13255
9782,13255
10889,13255
11178,13255
9353,13255
10831,13255
11021,13255
9832,13255
10501,13255
11013,13255
10790,13255
6628,13255
10534,13255
10460,13255
12153,13255
10559,13255
11005,13255
9428,13255
9874,13255
11096,13255
9205,13255
11468,13255
6703,13255
9833,13255
6761,13255
9486,13255
9965,13255
9379,13255
3656,13255
10180,13255
9346,13255
10593,13255
6728,13255
10535,13255
9255,13255
9478,13255
11749,13255
12038,13255
9883,13255
9561,13255
9982,13255
11155,13255
10676,13255
11287,13255
10346,13255
6762,13255
10544,13255
9347,13255
10850,13255
12155,13255
11354,13255
10751,13255
6713,13255
10272,13255
9950,13255
10206,13255
10644,13255
9810,13255
11313,13255
9265,13255
9612,13255
10380,13255
9257,13255
11280,13255
10669,13255
11214,13255
10958,13255
10851,13255
10884,13255
9703,13255
9447,13255
10331,13255
10364,13255
10810,13255
6656,13255
9728,13255
10174,13255
11091,13255
10100,13255
9489,13255
6673,13255
11735,13255
12181,13255
10645,13255
11017,13255
10447,13255
9646,13255
6731,13255
9572,13255
11108,13255
10852,13255
10753,13255
11554,13255
11207,13255
9704,13255
11240,13255
9349,13255
12025,13255
11199,13255
6649,13255
9696,13255
11232,13255
12157,13255
6715,13255
6773,13255
10481,13255
11026,13255
11736,13255
12149,13255
6707,13255
9804,13255
9680,13255
9936,13255
12174,13255
9730,13255
11266,13255
10919,13255
11175,13255
11687,13255
10490,13255
12191,13255
6650,13255
12158,13255
9458,13255
11473,13255
9970,13255
10482,13255
12150,13255
10185,13255
10218,13255
12175,13255
9764,13255
6692,13255
9789,13255
10995,13255
6742,13255
11284,13255
9459,13255
9649,13255
9781,13255
10219,13255
11276,13255
10508,13255
11177,13255
10409,13255
10607,13255
10095,13255
10128,13255
11309,13255
9773,13255
