place_of_burial_1,place_of_burial_2
8019,11573
3510,11573
5739,9291
8466,5150
1120,11434
3961,10662
6185,11607
6259,11616
3271,11573
7747,11573
8193,11573
751,11616
5910,10662
974,11616
6277,9530
4130,11573
8035,11607
7772,11573
5423,10662
3854,10662
8043,11624
5634,5150
8466,11573
3623,10662
7704,126
6662,11434
6076,10662
7054,11573
4296,11573
6311,11573
8161,11573
6167,10662
7889,8486
5634,11573
5857,11573
4280,11573
3624,10662
7739,11607
12435,11434
5696,10172
12133,9291
5679,10453
5585,11573
6663,11434
6990,10007
3908,9291
6237,9291
7592,9780
12145,10970
1048,10662
5412,11573
753,11616
6325,10662
8072,5150
6816,11573
449,11573
8223,10970
6028,10662
4040,11616
3881,10662
3537,9292
7847,11624
6329,9530
5824,11616
3826,11607
3764,10970
6163,11607
1018,11616
8072,11573
663,11616
5677,11573
6990,11573
3497,11573
1115,10662
7837,11434
7903,11434
6660,11823
7695,10970
8133,10970
4293,10970
7817,5150
5990,11616
7811,10970
6048,11607
8312,11823
4328,10662
7722,10662
8114,11573
5214,11616
4109,11823
5410,10662
5223,9291
7627,11573
4025,11616
7769,9473
7949,9530
7817,11573
6314,11573
6041,9291
6765,11434
7717,11616
12389,10922
7998,11616
8380,9761
5287,10662
6016,11616
947,11573
6148,11624
7595,8495
5291,11823
8105,14708
12651,5113
8264,11573
6753,11823
6216,11573
12449,11624
6265,9291
8289,11573
6256,11616
7769,10024
6770,10024
7891,11624
7700,9864
8388,11573
7980,10662
1392,11624
9070,11434
6968,11573
4185,11573
7673,10970
8283,9473
8756,179
7972,11434
6229,10426
6038,10970
7601,10654
5952,9291
3769,10662
12093,10662
5431,11624
5805,5150
6711,11624
5796,51
243,10662
3938,11573
8216,11573
7661,11624
5578,10662
3142,10662
7957,10391
7861,11573
3299,10662
8182,11607
8200,11573
8283,10024
5805,11573
7794,11616
4315,10662
11904,11434
4319,10539
3271,10007
6167,11624
7671,9291
6268,11823
3271,5150
7976,11616
6017,14488
5789,11573
8193,5150
4194,11616
6025,10662
