child_1,child_2
13072,3413
12703,12805
12023,6743
13108,13046
3413,8445
7081,13015
12704,12778
10647,12033
13276,3250
13424,14530
13065,6712
13072,3435
3413,6927
13401,13204
13065,3141
13238,13148
13108,13083
13276,3793
7045,3413
12861,13072
6674,12865
12703,12847
12961,13566
13072,13197
13358,3306
13065,4192
3413,13108
4269,12176
13503,13151
3192,13314
12703,13386
10628,11149
12703,13397
1930,3290
1568,3249
13699,12727
10628,11680
6674,12906
13238,14226
1568,6843
1568,13500
1568,6844
13131,13445
13108,13131
12148,13204
13296,4241
1568,4291
13276,13063
10628,10157
13504,12136
10628,9144
13334,13836
12838,12825
13065,4252
13238,12709
13108,13170
12158,10364
3192,3123
13065,12975
13072,12755
3192,3131
6807,12924
12861,3435
13026,13175
12703,12946
13219,13334
13508,13077
3678,12152
1568,8441
3389,4223
13118,13407
13108,14227
4269,2550
10946,10603
13065,13018
4269,14339
12151,12169
13508,13108
12838,13411
13131,13031
3282,7058
13401,13374
6769,10066
6771,11028
13015,8445
3855,3125
13238,14339
3192,4223
12913,13151
3141,12975
12895,13190
12158,11473
13508,3413
1568,13109
13072,12832
3775,14328
9912,9941
12853,12977
13276,12169
6650,10211
13276,1930
12894,13255
3306,3290
12685,13091
13045,13190
13508,12148
3389,3290
13276,12703
13102,12977
13185,12964
1568,12131
13276,3998
7070,6949
13276,12709
12158,11013
3802,8421
3389,3306
10628,9303
1930,3998
14236,3435
13108,12803
13063,12151
12166,13847
13508,13204
3192,3793
6807,8473
1568,7042
1568,12162
13566,3743
3389,8451
11708,12710
10628,10862
3735,6949
13142,12811
1568,13711
13332,13060
13108,12849
13108,12850
12703,13114
13238,3697
13108,13360
1568,7070
6926,13015
3855,13504
3192,13063
4269,12959
3855,14527
13508,12755
1568,13239
12853,13102
3141,6981
13276,13314
13112,12759
13109,13376
12853,13119
13276,13316
13065,12186
10647,10342
13065,12185
12158,10607
13108,13423
13108,13421
13276,13334
1568,12765
12131,13500
6926,6927
12719,12178
13026,12902
4269,3282
12012,10028
12703,13185
13238,13505
4269,3802
12693,14526
13276,12837
4269,8410
6674,13215
12872,13072
3192,6981
13108,12937
13277,6674
12703,13203
7055,7045
13108,13445
13401,13077
9912,11151
13292,13381
3295,3290
12158,10645
12703,12697
10628,11491
13276,3131
13045,13378
13072,8445
10628,9458
3413,3743
13238,3295
10230,9513
13699,13074
12166,14532
13508,13374
12703,13241
3802,14229
13035,13186
13332,13209
10647,10427
12719,12753
13072,13071
10628,9989
13035,12696
12872,3413
3389,7076
10628,11022
13508,13401
13358,4223
13072,13088
13276,3192
3793,6860
13276,4223
14529,14531
13332,12725
14529,14528
12148,13077
3192,12703
13118,12711
13119,12169
13108,13031
13386,13114
13072,13133
13083,13304
12719,13325
13401,12148
1568,3678
