military_conflict_1,military_conflict_2
11819,13584
8136,13577
11819,13580
141,13620
141,13621
141,13625
7920,13627
13652,13609
11819,13601
108,13630
8218,13104
110,13569
27,13591
8136,13600
8136,13607
8318,13597
8136,13609
7956,13568
7691,13594
8136,13623
12,13569
4155,13646
7956,13581
4155,13653
8318,13621
193,13601
8136,13644
8105,13589
7956,13602
6684,13609
176,13631
95,13582
7956,13606
78,13600
7956,13608
8105,13604
7956,13611
13637,13630
8337,13577
177,13616
61,13630
12383,13600
7677,13572
178,13600
12383,13607
7958,13569
78,13630
177,13636
12383,13615
195,13601
11939,13575
11939,13571
6670,13586
178,13630
7677,13610
11361,13579
6670,13594
11939,13580
7958,13607
7677,13618
97,13590
7958,13615
7677,13627
6655,13569
7744,13094
7958,13630
8356,13581
97,13616
6655,13600
132,13573
97,13636
10866,13620
8356,13606
6655,13609
7744,13127
8356,13611
50,13569
82,13616
12651,13104
6655,13630
51,13569
8078,13569
51,13574
150,13580
117,13580
66,13630
51,13587
7649,13572
6756,13611
118,13569
117,13600
51,13600
11778,13579
118,13573
51,13094
13628,13582
6756,13625
51,13610
166,13631
7945,13633
133,13631
118,13587
35,13600
51,13104
11498,13584
51,13621
51,13625
13662,13580
7649,13610
51,13630
13662,13575
13662,13576
119,13573
13662,13587
12506,13584
7649,13618
11631,13573
13613,13569
118,13609
11631,13569
11861,13607
135,13597
7649,13627
8344,13590
35,13630
11861,13623
7881,13104
9286,13582
12506,13601
119,13609
7997,13104
170,13569
8197,13569
170,13571
170,13573
20,13616
11861,13644
8344,13616
11631,13609
170,13580
13629,13630
170,13582
8344,13636
8181,13569
170,13589
9403,13582
8396,13569
8344,13646
8181,13573
8344,13653
170,13604
8065,13594
13648,13589
8197,13607
170,13621
89,13573
6646,13569
6777,13609
187,13616
13583,13580
13648,13614
8396,13609
10891,13582
8181,13627
7902,13569
7587,13606
6646,13600
187,13636
7587,13611
8197,13644
155,13609
6630,13596
7587,13625
13583,13601
6,13630
8381,13600
5343,13569
13632,13633
7803,13600
90,13600
13651,13569
7803,13607
7902,13609
7920,13569
141,13569
7920,13572
141,13571
13534,13627
24,13616
141,13573
7902,13623
141,13574
7902,13627
141,13580
108,13580
141,13584
90,13630
141,13587
13534,13644
141,13591
13585,13594
7902,13644
141,13597
13635,13591
141,13600
141,13601
108,13600
41,13630
108,13601
7920,13610
11819,13571
8136,13569
4155,13590
