countries_within_1,countries_within_2
9187,198
9207,88
9207,98
9137,13532
9207,94
9207,112
9207,122
9137,6644
9207,123
9137,6645
9187,6632
9137,6647
8484,5
9137,6642
9207,120
9137,6643
8484,18
8484,6681
8484,21
9207,146
9137,12
9207,147
9137,14
9207,142
9137,6664
9207,143
9207,144
9207,145
8484,6686
9137,6676
8484,40
9137,23
9137,6679
9207,157
9137,17
9207,151
9137,6684
8484,49
9187,6672
9207,164
9207,158
8484,43
9207,159
9207,161
9187,22
9207,172
9137,6694
9187,24
8484,58
9137,32
8484,51
9137,33
9137,6689
9187,20
9137,6700
9137,44
9137,45
9137,6702
9207,181
9187,6683
9187,27
9187,29
9207,177
9187,38
9137,52
9207,188
9187,41
9137,6705
9187,35
9207,185
9137,6716
9137,6717
9187,47
9207,196
9207,197
9137,59
9187,56
9137,67
9137,84
8484,103
9187,71
8484,106
8484,99
9187,66
9137,80
9187,6725
9187,6734
9137,92
9187,78
9137,95
9137,89
9187,77
9187,86
9137,102
9207,6636
8484,121
9187,82
8484,117
9137,109
8484,129
8484,130
9187,97
9137,111
9187,90
9137,104
9187,91
9207,6639
9137,116
9207,6652
9137,118
8484,131
8484,134
9187,110
9207,3
9137,126
9137,127
9187,107
9137,132
9207,11
9207,6668
9207,13
9207,6669
8484,154
9137,128
9187,114
8484,149
9137,141
9137,11144
9207,6671
9137,137
9207,26
8484,168
9187,136
9207,6685
9207,6678
9187,133
9137,156
9207,37
9187,138
9207,30
9207,6688
9207,42
9187,152
8484,186
9137,170
9187,166
9187,169
9207,54
9207,57
9137,179
9187,175
9207,68
9137,190
9187,176
9207,62
9207,65
9207,74
9187,183
9187,178
9207,73
9207,83
9187,192
9207,85
9207,79
9187,187
