medical_specialties_1,medical_specialties_2
14094,14481
13979,13950
14115,14481
13926,13812
13962,14481
13951,13812
14107,14481
13951,13813
13979,14481
13955,13812
14116,13812
14104,13813
13976,13812
14104,13812
14121,13797
14092,13797
14030,13797
13935,13812
13968,13812
14096,13812
14113,13797
13951,13950
14117,13797
13927,13812
13926,14481
14092,13812
14113,13812
13951,14481
14105,13812
14104,14481
14109,13812
14092,14481
13977,13950
14097,13812
14096,14481
14089,13812
13928,13812
14482,13797
13965,13950
13932,13950
14114,13812
14102,13812
13974,13812
14106,13813
14346,13797
13977,14481
13932,14481
14094,13812
13491,13812
13974,13813
14097,14481
13491,13950
13928,14481
13933,13812
14094,13813
14089,14481
14121,13758
14111,13812
14111,13813
13962,13950
14115,13812
14483,13797
14115,13813
14099,13797
13491,14481
14115,13950
13974,14481
14347,13797
13979,13812
14107,13812
14107,13813
13979,13813
