artist_1,artist_2
13423,8917
13422,8945
13422,8946
13342,3229
12779,4299
12902,8691
7045,5934
12903,8658
13031,8787
13334,3485
13422,8949
14235,4226
13334,7596
14239,8211
13185,4018
13045,8358
13026,8945
13026,753
12902,8707
12902,8705
12765,8867
13423,8949
13046,4248
13294,8846
12902,8723
12740,1455
13342,3274
12849,6266
13378,6251
13334,3520
12902,8718
12913,4281
7055,5662
13031,8825
13185,8144
13045,4306
14220,8839
13190,3906
13185,4061
13185,8154
7055,5676
13423,8967
12902,8747
12902,8748
13026,808
14224,8722
12770,8740
12940,3470
13170,8628
12902,8741
12896,8928
13378,6287
13069,7674
13190,3924
13442,8398
13423,8987
13185,4077
13185,4072
13045,4317
13191,3900
13031,8856
14241,8210
13031,8857
13245,6319
13031,8854
13026,9010
12902,8758
13175,308
13421,9067
13185,8188
13026,9021
12803,3646
13360,6859
13031,8867
12803,3647
13185,4088
12902,8765
13185,4089
12902,8766
13170,8664
13195,7886
13378,6309
13185,8195
14221,8847
12902,8773
13203,3553
13190,3954
13245,6342
13323,3924
14220,8883
13185,4104
13245,6341
13031,8893
13031,8890
13422,9057
12895,819
12765,8945
13386,6078
14223,8800
13334,7686
14237,4281
14225,8746
13185,4120
13031,8909
13170,8691
12902,8807
13342,3359
13334,3607
12923,4061
13076,3412
13031,8917
12902,8817
13360,6908
13185,8246
14220,8925
14238,4270
14226,8738
14226,8752
13331,3729
12765,795
12765,8980
12902,8829
13386,6128
13170,8725
14223,8846
13334,7733
12803,7822
12896,9034
12902,8845
12740,5676
13347,3256
13334,7756
13170,8738
13175,391
13185,4191
13386,6149
13185,8284
13185,4189
12902,8864
14228,8715
13175,412
14223,8884
7045,6118
13175,8602
12902,8872
13031,8967
13175,8612
12962,7022
13203,3647
13076,3485
13442,332
13170,8761
13347,3274
13342,3444
14239,8400
13190,8163
13360,6987
12902,8896
12940,7729
14227,8792
14220,9010
13334,3706
12764,9086
13294,9037
13304,549
14226,8829
13170,8798
13347,3311
13331,3804
12749,1365
13386,6208
13170,8805
7055,5854
12697,7085
13045,391
12902,8917
14221,9002
13334,3727
13304,8753
13175,8657
13100,6886
13360,7018
13185,4248
13190,8190
13334,7822
13045,8602
3192,6841
12902,8936
14232,8677
13304,8773
12803,3824
12740,5775
13331,3838
12902,8945
12902,753
13083,3334
13190,8210
13191,8188
12779,8672
13342,3508
13191,4093
13342,7600
13170,8833
13566,8845
