origin_1,origin_2
3324,9660
3357,9660
3959,11481
8845,10545
4089,8475
4188,8476
6005,8475
4116,9688
4253,8513
7994,9281
8746,8498
4219,11625
6046,5161
6831,8475
9011,8476
5807,8475
4188,8488
8779,10558
588,8475
6149,10170
5378,8475
8685,170
3801,18
3924,8495
6930,8494
8747,8485
9064,9931
8945,9527
7971,10018
8741,9700
7990,10459
4254,8513
6353,10011
8847,8476
7621,9613
8647,8526
3362,8525
7056,11772
1190,11348
7729,128
3996,11409
8715,8475
3366,11481
8180,9700
8748,8476
5346,8475
3553,10808
6902,175
6943,9143
7894,11405
4317,9659
8624,51
8794,10142
9037,6700
7989,8475
3984,10773
5775,9528
3328,10632
6304,8488
3803,10245
3444,10109
1457,9243
744,10867
3638,10241
8914,8475
3777,11059
8635,10986
6345,5182
8158,184
6977,10170
1260,10245
6564,9659
8592,51
6074,8475
3727,8531
3954,9685
3736,9277
6795,9685
3762,8476
3617,9901
3721,10773
9008,9688
4097,140
6932,8513
3893,8512
4290,8497
8163,51
3200,8497
3646,11058
7960,10446
6119,10170
6976,9203
3539,51
888,9533
8183,9700
3598,10524
3798,9443
3862,8488
8471,9991
6997,11663
4259,8475
3874,10170
3333,8513
832,9243
691,8498
9035,9935
5489,51
8817,9527
6034,10808
4176,11059
8893,5118
3841,11204
3256,9888
4127,8488
8916,8513
4300,51
8949,8508
8884,8475
6034,9790
7864,170
3206,9399
8925,51
8787,10473
8653,8477
9053,11437
7062,10704
3559,9729
7938,10170
8741,9859
898,11324
5845,8498
7596,9514
8854,10446
8767,11097
8984,8475
4274,11121
8285,8642
3927,9599
753,9691
3633,8476
8786,8475
8452,10648
1387,8476
4104,5150
7588,10808
8058,8525
8192,8476
8718,10611
7740,10210
4070,10316
7870,10275
5941,9659
628,8475
8377,9926
7994,8488
8820,8476
6877,105
8961,9226
5830,11058
7041,149
8896,10235
8753,8525
8897,11229
6838,8494
3502,8488
3558,9828
824,10614
6886,11112
8725,184
6938,8475
8689,9493
8050,10867
3502,9527
6872,8485
1455,8475
934,51
4259,10639
8722,8476
4025,10729
6343,8509
3178,11390
8925,141
4098,8476
3645,9209
8254,9688
3727,10764
3503,8495
4064,8514
8992,132
795,8475
795,8476
8920,10557
9020,8475
3768,8478
6735,10713
8657,8476
7022,11031
1435,10148
6908,9443
3900,8488
8880,10775
6817,9199
9019,8526
6947,51
5420,8476
4198,8476
8925,184
8883,10704
3866,8531
8459,8489
6245,8508
3471,8495
8789,9528
7041,9443
8723,9527
8628,184
5582,11664
8128,8513
640,10241
8403,5107
8881,10770
7038,8513
8854,11617
6857,11059
6359,10112
6118,10415
3939,141
7072,8488
9029,51
6934,9700
4230,8531
8921,8513
8658,8476
6841,8488
4199,8476
8856,8488
7038,8533
7085,10148
3274,8488
4306,51
8989,9505
6875,8476
6908,8480
3601,9623
8890,8476
6868,11772
8398,10422
8626,8475
8229,10552
3476,10436
4168,10487
1360,10497
6848,10362
3705,9493
9122,8488
8675,10057
3566,9714
7768,8475
3540,8478
6812,9448
3342,8476
6921,10164
8990,8488
6958,10041
707,51
8989,8526
6942,8498
3704,8525
1368,9264
4229,9660
8359,9636
3118,10316
3988,9973
8602,5182
1497,10394
7844,10248
3599,10773
8925,8488
3508,8475
6943,8488
7637,8477
3471,10648
9053,9636
3409,8476
6348,9528
7087,10170
8837,10200
3229,9973
1435,51
3804,8531
8758,10611
4201,8513
4003,8513
8967,9259
4239,10417
7770,8475
3736,9623
8661,8513
3442,8508
3410,8476
6955,11224
3410,8477
4238,11481
8044,10232
7929,9700
8936,10232
4270,10497
3924,10989
3906,8476
6957,10148
6257,105
8934,9277
5325,9547
4306,10413
3939,8488
4116,10170
3972,8488
3749,51
3412,10497
677,51
9035,5150
3997,10797
3311,8512
8877,11069
8913,9953
6944,8531
6797,11046
8740,10210
4208,10408
1304,11348
3377,8526
3544,8476
3577,8476
3838,9603
8829,8488
3920,10135
4018,10170
8987,9731
9105,10170
6998,10984
7087,11297
268,9691
8696,8525
8664,8488
6215,9660
8861,11598
4098,10773
8810,11132
8782,10984
1061,9700
6186,8524
4072,8525
7971,8488
8655,10832
3573,9659
7996,11807
7012,11598
8802,141
6074,10984
3812,11478
5976,9928
3950,5154
8352,10001
4059,9972
771,8476
8761,9623
3523,5095
8825,9688
1386,9901
3640,9659
4282,5118
5407,9155
4273,8475
3837,9700
8368,8510
6155,8498
8897,8488
8673,9289
6888,9338
3950,5181
6947,8531
8864,8495
8600,9514
9027,9599
4182,10288
6879,10648
3857,10123
8898,8475
4182,51
8713,10124
3326,10208
6849,8513
8733,8477
3222,10361
4173,8531
3382,8475
6270,11112
6201,9155
4087,11200
8018,10170
8975,11224
1400,8487
8699,8527
707,8475
808,9443
8144,10389
3977,8488
8905,9320
8733,10557
8602,8475
1443,10248
4000,9828
8668,8488
8635,8488
6128,9399
8800,8488
8371,8476
9103,11385
783,5118
8833,11574
8771,184
8997,8532
1302,11562
9037,127
4209,8488
8284,10170
3691,5095
8900,8477
8041,8485
8734,9527
8867,8488
3345,9682
3557,10281
312,8475
8866,8513
3573,10809
4217,5182
3906,9702
8843,10262
8899,8526
8691,10879
3898,10978
8932,8530
3989,5086
4062,9995
4106,9659
3759,11201
8192,9973
6862,5124
8684,11100
8347,9259
9037,170
6886,8478
7018,8488
7646,8475
8864,10648
6753,8509
3438,10924
8372,9517
8928,9700
4077,8525
8802,8488
8409,10436
1365,9660
308,9659
1251,10123
8009,8497
8025,10048
655,10170
4188,5095
1238,8488
898,9812
7878,8475
9034,8476
8803,8475
3723,10315
4012,8525
3947,8495
4191,11176
3728,10170
8840,10422
7886,9275
6987,8475
3287,8488
7846,8475
744,8476
3874,10773
6920,8508
9002,8476
3089,8488
8058,11121
8738,8475
8278,9423
7729,10060
4278,8498
6912,10818
8948,10170
6921,8488
9029,9700
5909,10170
9043,51
6863,51
3382,9659
9067,8525
7714,8492
8771,9514
8768,10632
4081,8476
8639,8488
8871,8476
3817,8475
8637,10611
8202,9760
8805,8475
7791,11235
9036,8477
7894,10094
3765,10094
