industry_1,industry_2
12901,13834
13430,13817
13430,13818
12703,13824
6757,12809
6757,13842
13035,12762
13836,12517
12837,13789
3389,13824
12795,13064
13035,13817
13234,13789
8445,13767
13035,13825
8421,12474
12870,13817
13035,13823
12870,13818
7058,13767
13035,12809
13035,13840
12706,13795
12806,13767
12969,13835
13102,13817
13102,13818
13235,13789
13035,13842
13267,13818
12872,13789
12838,13817
13037,13793
12913,12517
13045,12517
3855,13767
13499,13824
13499,13822
12871,13830
13234,13854
13169,13818
12178,13818
13501,13767
12178,13817
12706,12809
13334,13822
13169,13817
3793,13664
13235,13828
12706,13842
12840,13806
13401,13818
13434,13817
13434,13818
13401,13817
12192,12396
13699,13817
3855,13822
12179,13829
12906,13818
13327,13064
13699,13818
13204,13817
13204,13818
13501,13822
13072,13822
13114,12517
12147,13824
3131,13767
13503,13767
13006,13823
13270,13832
13270,13830
6763,13829
12148,13818
12148,13817
13445,12517
13238,13828
13238,13823
12182,13789
13107,13789
13504,13767
13238,13822
13833,13818
13503,1521
13833,13817
8417,13806
4223,13767
13373,13767
13074,13817
13074,13818
12711,13817
13140,13842
13140,13840
13506,13767
13274,13789
13539,13767
13207,13817
13011,13760
12811,13817
13108,13824
12183,13825
12778,13822
12811,13818
12976,13823
12977,13806
12943,13834
12151,13818
13176,13790
13142,13817
13540,13767
13507,13767
13142,13818
12151,13817
4291,13767
4126,13767
12977,13822
13109,13824
13175,13822
12977,13817
12184,13835
12913,13767
12878,13822
13407,13818
13374,13818
13407,13817
13077,13818
12911,13845
13110,13818
13077,13817
12185,13817
13276,13789
12152,13818
12185,13818
12152,13817
13011,13821
12978,13817
13176,13824
13044,13834
13837,13821
13508,13789
13375,13829
13276,13823
13542,13767
13276,13822
13838,13817
13045,13824
13276,13828
13276,13841
12761,12396
13111,13830
13177,13842
4029,13790
13277,13824
13277,13825
12154,13818
4129,13767
12154,13817
13376,13823
13839,13818
13839,13817
12189,13767
13443,13817
13839,13825
12717,13789
13015,13767
8457,13767
12187,13848
12188,13817
13443,13818
13277,13845
12172,13297
4029,13824
13544,13767
7070,13767
12759,12517
13411,13817
12188,13842
12717,13825
12782,13858
13545,13767
8425,13767
12816,13834
13411,13818
12156,13824
13114,13824
7045,12517
13081,13818
13081,13817
12685,13818
12685,13817
12717,13845
3735,13767
13445,13817
12156,13848
12190,13818
12190,13817
13214,13817
13445,13824
13214,13818
13346,13817
3306,13767
13346,13818
3141,13767
13414,13767
12156,13851
6674,13818
12719,13818
6674,13817
3802,13767
12719,13817
12851,13831
12884,13842
13026,12517
13380,13832
13380,13830
6807,13824
12720,13817
12984,13825
12753,13817
12951,13823
12852,13832
12755,13767
12984,12809
12852,13830
12819,13829
13448,12762
12720,13823
13448,13795
13380,13855
12984,13842
12984,13840
12895,12517
12161,13767
12853,13817
12788,13789
13447,13841
6843,13767
13051,13827
13853,12517
13448,13822
8427,13824
3507,13767
13230,12396
13118,13818
13251,13789
8429,13767
12160,13817
12821,13818
12821,13817
7042,13767
12887,13828
13448,13842
6844,13767
13119,13818
3507,1521
12194,13819
12922,13789
13449,13834
12693,13734
12194,13843
13186,13817
13186,13818
13219,13832
13847,13821
13219,13830
13318,13834
12964,12517
12856,13817
12922,13817
12924,13767
12757,13824
12759,13767
12989,13818
13055,13818
12989,13817
12856,13842
13055,13817
12922,13842
12163,13831
7045,13767
12757,13848
4269,13822
13320,13822
13254,13817
12164,13817
13254,13818
12891,13817
13320,13823
12693,13819
13850,13789
12825,13818
13849,13818
12759,13817
12825,13817
13849,13817
13254,13842
1528,13828
12759,13822
13321,13822
3413,13767
12858,13845
13156,13824
8441,12529
13156,13822
7045,13824
6981,13767
12703,12517
12727,13818
12727,13817
12165,13828
13850,13817
12925,13835
3678,13767
12826,13827
13091,13817
13322,13817
3282,13767
12992,13819
12826,13846
7081,13767
13124,13822
12166,13821
12925,13844
13091,13818
6949,13767
12926,13834
3250,13767
13389,13821
13026,13824
12995,13767
12696,13817
13852,13821
12696,13818
12136,13767
3447,13828
12159,13064
13093,13818
13093,13817
13853,13824
13820,13821
12895,13822
13325,13818
12700,13734
3250,13824
12994,13834
13193,13822
12169,13817
13334,12517
12169,13818
12171,13767
12863,13818
12863,13817
13721,13840
13061,13834
13259,13840
13259,13842
13096,13789
12170,13824
9098,13817
9098,13818
13326,13822
12831,13818
12798,13817
12798,13818
12831,13817
11708,13824
12831,13825
11708,13822
13426,13822
8473,13767
13063,13817
3122,13767
12878,12396
12173,13767
1568,13822
12865,13817
1568,13824
12700,13819
13295,13818
13295,13817
13503,12517
13295,13842
12965,13842
12701,13829
13065,13822
13065,13823
12999,13821
13230,13823
6757,12762
13296,13824
6757,13790
13065,13828
6757,13795
13065,13824
12768,13827
13132,13806
3389,13767
3290,13767
12768,13846
13859,13817
13108,12517
13263,13856
13263,13857
13826,13817
13826,13818
