institution_1,institution_2
6005,9501
7010,11122
3891,9512
12438,6693
8071,11010
6007,9459
7066,9397
809,6761
12438,6709
12438,6720
12438,6718
12438,6732
12325,10230
12438,6727
7059,9640
12438,6728
13363,10828
12438,6733
6095,6769
12438,6748
7048,10002
12438,6755
12438,6754
12438,6752
12438,6764
8093,10380
12438,6771
12438,6769
5568,6752
12438,6778
12438,6776
12438,6787
12438,6788
1339,6788
12438,6790
1256,9379
5492,9138
12550,3340
3360,9703
816,6650
3319,10980
284,6773
1212,10774
1218,10591
3355,9883
5448,10535
3344,10230
7039,10375
3460,6650
5456,10307
13363,10946
7012,11232
5996,9970
1262,9265
814,6769
7685,6771
3354,9962
814,6788
6967,12656
3458,6748
1188,11581
6024,9144
8060,11563
3987,6758
731,9395
11915,6761
5573,6748
8106,10157
7597,9557
3843,11247
7611,9145
12254,12662
8104,10260
3328,10862
3875,10286
6103,6769
11916,6792
822,6650
12449,6659
1157,12653
7083,9177
3991,6727
3990,6764
3800,12652
3990,6769
3367,9703
5914,12667
1158,12654
820,6752
1348,6768
8219,6755
11919,6755
3903,9486
8050,12008
8117,9939
6993,12014
683,11017
3995,6650
820,6779
3465,6709
3880,10230
1745,10881
1353,6650
7692,6755
7001,11803
11922,6709
732,9544
8117,9982
3992,6788
7039,10647
5420,11687
1212,11071
3465,6769
1223,10734
11923,6718
3466,6740
7693,6792
5410,12042
3470,6650
3914,9280
5940,12008
828,6650
7600,9712
1745,10995
5581,6768
1266,9469
5920,12654
635,12648
3467,6776
8225,6748
7698,6701
8140,9391
1265,9524
8228,6659
12326,10695
7593,9970
301,6650
8115,10182
5461,10535
7696,6788
830,6650
6111,6784
8143,9332
1356,6738
3473,6650
5507,9138
8227,6740
708,10469
1357,6737
3387,9353
1276,9263
7000,12046
7594,10014
5969,11247
3281,12654
1357,6769
1199,11672
6114,6771
3875,10647
8143,9428
7700,6771
8229,6764
3811,12655
1214,11247
7620,9274
3333,11096
1361,6693
1254,10014
6116,6748
5490,9781
11932,6692
3337,11005
669,11803
5451,11015
743,9512
1191,12014
1216,11240
642,12652
3475,6748
663,12006
7703,6758
3909,9703
3917,9459
11855,9150
3352,10610
11932,6771
13363,11572
3286,12665
3890,10330
8133,9877
6648,6769
306,6764
1366,6675
8104,10786
8076,11680
3358,10482
12375,9486
12352,10211
3478,6780
3891,10363
1228,11005
5473,10481
5951,12046
1245,10482
7086,9640
5497,9749
3818,12659
8046,12661
1286,9248
1176,12659
3380,9883
3884,10644
3307,12153
6047,9138
1367,6771
5511,9379
8240,6707
752,9459
3895,10331
3482,6758
3353,10763
3384,9804
7710,6771
7713,6682
8127,10230
5955,12035
7084,9804
3913,9804
6028,9781
3920,9592
3892,10469
12337,10826
312,6773
730,10199
8240,6768
11944,6659
7713,6748
6006,10535
8244,6697
3927,9450
3366,10469
7599,10325
314,6787
3917,9788
6129,6752
7595,10462
844,6771
742,9941
3871,11247
1274,9837
7716,6743
8075,12007
3871,11260
7632,9355
11944,6766
751,9681
5514,9499
3351,11015
5992,11071
318,6748
7716,6790
8249,6650
216,9918
5434,12009
3320,12009
8087,11687
7613,10002
8056,12656
3345,11247
8250,6650
4022,6650
12370,10014
1376,6771
12398,9150
5434,12046
5415,12648
1263,10286
3490,6788
3404,9459
8118,10787
7719,6776
3495,6650
6037,9768
8128,10482
12325,11458
3492,6748
4020,6769
5944,12666
11948,6771
1258,10490
321,6773
849,6791
7722,6722
8249,6771
7607,10296
3363,10789
3496,6665
5992,11207
8079,12046
1274,10014
235,9459
1383,6650
8630,11395
1380,6769
5497,10230
852,6773
3921,9936
7025,12023
5517,9622
208,10363
6141,6665
8083,12003
4024,6768
6138,6769
1295,9459
3381,10331
4025,6748
7637,9471
3368,10739
8642,11096
715,11071
8144,10157
3904,10530
3912,10286
6012,10727
3501,6650
5488,10591
3941,9397
8141,10268
6024,10363
7039,11672
8124,10810
6028,10249
1223,11749
12400,9332
3343,11581
7029,12008
3359,11096
12393,9571
327,6788
328,6768
3838,12654
7595,10884
3310,12648
1212,12153
8130,10694
8167,9545
3942,9459
1216,12046
6018,10647
8118,11089
7609,10481
858,6773
8127,10819
3896,10906
8258,6768
227,9968
1278,10157
3503,6722
5619,6665
859,6768
11958,6768
759,9883
243,9499
3944,9458
3356,11303
8182,9150
11959,6771
3880,11458
6013,10875
3918,10286
1284,10023
5956,12657
8129,10826
6147,6740
8262,6709
7654,9179
333,6754
1278,10234
862,6748
8260,6788
7609,10606
5473,11284
4034,6748
7604,10763
3913,10501
8127,10946
4035,6728
8262,6769
7061,11232
865,6709
3928,10066
3913,10535
1264,10734
5450,12046
7600,10946
335,6788
8161,9944
4035,6785
5451,12046
6072,9179
6150,6771
8264,6768
8696,9781
7611,10647
8138,10692
4038,6722
7063,11257
3411,9782
1292,9939
1266,10748
1232,11803
1273,10535
3508,6788
778,9501
7737,6764
7602,10960
3513,6650
3927,10206
8695,9869
3423,9459
868,6748
340,6740
4039,6768
1396,6780
3512,6727
5488,11017
5540,9410
3511,6780
6039,10330
12344,11491
13664,3340
4044,6650
8163,10037
6156,6728
8270,6747
12393,10014
8158,10230
6045,10206
1229,12046
8270,6771
3354,11714
3872,12046
5489,11071
3406,10107
6021,10960
206,11005
3427,9459
8097,12149
7604,11043
1242,11680
5628,6787
343,6788
1282,10451
7661,9313
3418,9782
749,10601
11862,10171
783,9560
3516,6761
7647,9778
11862,10194
3518,6709
3875,12029
873,6785
1271,10851
5492,11071
875,6747
3521,6650
3393,10628
6160,6771
7746,6768
3380,11042
11978,6653
739,10998
11978,6650
11978,6659
11978,6665
11978,6680
789,9471
11978,6675
11979,6657
11978,6682
11979,6650
11979,6653
11978,6693
11979,6665
3520,6748
11979,6659
11978,6692
1322,9353
8139,11022
11978,6701
11978,6703
1405,6784
11978,6697
11978,6709
3919,10774
11980,6650
11979,6680
11979,6675
11978,6707
11978,6718
11978,6720
11979,6682
11978,6715
11980,6653
11979,6697
11978,6728
11978,6727
11978,6722
11980,6659
11979,6693
11979,6692
11979,6703
11978,6733
3520,6788
11978,6730
11900,9150
11978,6732
11979,6701
3521,6761
11978,6742
4050,6748
8183,9699
11978,6743
11981,6650
11978,6738
11979,6707
11980,6675
11978,6737
11979,6709
11978,6740
6167,6665
11981,6657
7753,6650
11978,6749
11979,6718
11978,6752
11981,6659
11978,6751
11979,6720
12429,9150
11979,6715
11981,6653
11978,6745
11978,6748
11978,6747
11978,6758
11979,6727
3351,12046
3522,6748
11980,6697
11979,6728
253,9784
11978,6754
11980,6692
11979,6722
1292,10346
11980,6693
11978,6755
11978,6766
11980,6703
11979,6737
11978,6768
11981,6675
7749,6788
11978,6761
11979,6730
11978,6764
11979,6733
11980,6701
11982,6650
11979,6743
11981,6680
11978,6773
11979,6742
11979,6745
11978,6776
8278,6788
12429,9177
11981,6682
11978,6775
880,6748
11979,6738
11978,6769
11980,6707
11978,6772
3353,12006
11979,6740
11980,6709
11978,6771
11978,6782
11980,6720
11979,6751
7094,10727
11982,6657
775,10008
11980,6722
11979,6752
11979,6747
11978,6778
11980,6715
11980,6718
11978,6780
11979,6749
11979,6748
11978,6779
11981,6697
11978,6790
11980,6728
11978,6789
11979,6758
11980,6727
11979,6761
11980,6730
11978,6791
11979,6755
11981,6693
11979,6754
11978,6785
5492,11247
8713,9698
11978,6788
11978,6787
6053,10247
11979,6766
5636,6787
11979,6769
11980,6738
11981,6707
11980,6737
11979,6768
5447,12652
11981,6701
11980,6732
11979,6762
11979,6764
11979,6775
11983,6650
11983,6653
11979,6776
11980,6745
7609,11175
11980,6740
11981,6709
11979,6771
11979,6773
11982,6680
11980,6742
12429,9205
11979,6772
11980,6752
11980,6751
11979,6782
880,6785
11980,6754
11979,6785
11981,6722
11979,6784
11979,6779
11980,6748
11979,6778
11981,6718
11979,6780
11979,6791
11979,6790
11982,6697
11981,6728
11980,6761
11979,6787
11980,6755
11980,6758
11981,6727
11979,6789
11979,6788
11983,6675
11980,6768
7647,10014
11980,6769
11980,6764
11982,6701
11981,6732
11982,6703
11980,6776
11983,6682
11980,6775
11980,6778
11981,6747
8194,9449
11980,6772
11980,6771
11982,6709
11981,6743
11981,6742
11980,6773
1329,9280
11980,6784
3443,9282
11983,6693
11981,6755
4052,6788
