film_distribution_medium_1,film_distribution_medium_2
5720,7577
5720,7576
3028,7576
2676,14391
5373,7584
2348,1521
3028,7577
2169,7584
5385,14391
2863,7584
1608,7584
2913,7576
5225,7584
3078,7584
2269,7576
2467,7584
2137,7577
1587,14391
5589,7576
5589,7577
2484,7584
2465,1521
2732,7584
2463,14391
2468,7584
3013,7584
1890,7584
1923,7584
2848,7584
2237,7584
2992,14391
1560,7584
5689,7584
5904,7576
2827,14391
2348,14391
2386,7584
2287,7584
2436,7576
5442,7576
5954,7576
2122,7584
2155,7584
2436,7577
3042,14391
5442,7577
5954,7577
3047,7584
2023,7584
1820,14391
5954,7584
3064,7576
2552,7576
2519,7577
2519,7576
2552,7577
1908,7576
2932,7576
2932,7577
5756,7584
2288,7584
3048,7576
2222,7584
3048,7578
1925,7577
1925,7576
1986,14391
3048,7584
2569,7584
2751,7577
2751,7576
1892,7584
5691,7576
2300,14391
5691,7577
5476,7584
2817,7584
2680,14391
2718,7584
2751,7584
3027,14391
2933,7576
2107,7584
5295,7576
5295,7577
5769,14391
2284,14391
2091,7577
2091,7576
5295,7584
2025,7577
2025,7576
5328,7584
1987,14391
2025,7584
2174,7576
2438,7584
5345,7576
5345,7577
2306,7584
2818,7584
2009,7577
2009,7576
5345,7584
5560,7576
2620,7584
2356,7576
2389,7576
2356,7577
3000,7584
2009,7584
2191,7577
2703,7577
2703,7576
2191,7576
1844,7584
2191,7584
5445,7576
2269,14391
2274,7584
1729,7584
5495,7584
6073,7584
2605,7576
1746,7584
5479,7577
2638,7584
5347,7576
5347,7577
3018,7584
5479,7584
2176,7576
2176,7577
5760,7576
2853,7584
5413,7584
2275,7584
2424,7576
2424,7577
5595,7584
2226,7576
2705,7576
2358,7584
5904,14391
2507,7577
2738,7584
2507,7576
2094,7584
2375,7577
2375,7576
5954,14391
2061,7584
2210,7576
2474,7584
2210,7577
2389,1521
1665,7584
2552,14391
1913,7576
5530,7584
5266,7576
2932,14391
1908,14391
2706,7576
5712,7577
2706,7577
2095,7577
5712,7576
2095,7576
2029,7576
5266,7584
2706,7584
1715,7584
2855,7576
2607,7584
2095,7584
1996,7584
2855,7578
1699,7576
5927,7584
5663,7576
5663,7577
2657,7576
2211,7584
5399,7576
5399,7577
2657,7584
2806,7576
1815,7576
1782,7576
2079,7584
1815,7577
2806,7577
2905,7584
2091,14391
2228,7584
2025,14391
2030,7584
2063,7584
2988,7584
3021,7584
2691,7576
2955,7584
1865,7584
2174,14391
2009,14391
3038,7584
5560,14391
2642,7576
2840,7584
2576,7576
5334,7584
2576,7577
1651,7584
2576,7584
1552,7584
2031,7584
2444,7584
2692,7576
6540,7584
2824,7584
1982,7576
1982,7577
2907,7576
2841,7577
2841,7576
1982,7584
2676,7576
2907,7584
5335,7584
2605,14391
2709,7584
2610,7584
2544,7584
5385,7576
1603,7576
1603,7577
5347,14391
2181,7584
1851,7577
1851,7576
2115,7584
2016,7584
2462,7584
2710,7576
5435,7584
2429,7584
2710,7577
1587,7576
2705,14391
2842,7584
2226,14391
5303,7584
2710,7584
2958,7576
2743,7584
2507,14391
2958,7578
2958,7577
2611,7584
2991,7584
2210,14391
2529,7577
2281,7584
2529,7576
2463,7577
2463,7576
2595,7584
2496,7584
6014,7584
1814,14391
5266,14391
2810,7584
2706,14391
1968,7576
2744,7584
2095,14391
2265,7584
2926,7576
2678,7584
1968,7577
5387,7576
2348,7576
2100,7584
5387,7577
2827,7577
2827,7576
6031,7584
2629,7577
1699,14391
2629,7576
3042,7576
2315,7584
2827,7584
1704,7584
2629,7584
1820,7576
8327,7584
2051,7584
2497,7584
2806,14391
5399,14391
6164,7577
6164,7576
1622,7584
2762,7576
3059,7584
2481,7584
2993,7584
5603,7576
2691,14391
5355,7584
2861,7584
5603,7577
5421,7584
2250,7584
1986,7576
1738,7584
2696,7584
2465,7576
1986,7577
5801,7584
2300,7576
5603,7584
2361,14391
2498,7584
3043,7584
2300,7577
2680,7576
1953,7584
2680,7577
2069,7577
5620,7577
2069,7576
6066,7576
3027,7577
3027,7576
5620,7576
2642,14391
2201,7584
2576,14391
6066,7577
1590,7584
3027,7584
5769,7576
5769,7577
2692,14391
1987,7577
1987,7576
1888,7576
2598,7584
1888,7577
2907,14391
2268,7576
2841,14391
