current_club_1,current_club_2
5069,4716
4360,4685
5068,4753
8300,4907
4647,5002
5065,4337
4406,4801
4338,4350
4654,4803
4338,4871
5015,4877
4844,5055
5068,4773
5015,4880
4360,4704
4669,4350
4956,4667
4481,5057
4956,4675
4635,4386
4744,4597
4374,4803
4956,4682
4635,4390
5015,4387
4422,4343
4407,4808
4859,4619
4406,4838
4481,4561
4744,4604
4956,4692
4647,5055
4422,4872
4407,4825
4544,4671
4559,4719
4669,4902
4839,4753
4422,4880
5065,4400
4406,4350
4744,4634
4635,4426
8001,5041
4635,4427
4635,4939
4338,4429
4422,4386
5065,4427
4559,4750
4544,4704
4422,4907
4422,4399
4647,4593
4497,4638
4406,4387
4963,4529
5068,4343
4654,4889
5069,4830
4956,4750
7773,4974
4669,4429
4406,4907
4956,4753
12433,4385
7940,4408
4407,4880
4718,4965
5015,4974
5068,4361
4406,4913
4839,4803
4359,4835
4635,4983
4963,5055
4876,4685
4635,4475
4744,4685
4338,4469
4338,4475
4338,4988
4654,4408
4718,4475
4374,4387
4497,4674
4654,4413
5065,4985
7771,4561
4876,4706
5065,4988
4481,4667
4374,4400
8152,5041
4654,4933
5068,4387
4407,4399
4406,4947
5068,4391
5068,4904
4481,4675
4669,4988
4338,4498
4855,4860
4510,4803
11965,4605
4376,4350
4839,4843
4360,4337
4559,4822
4718,5019
4744,4723
12372,4810
4422,4475
5069,4387
4497,4708
4359,4891
4406,4975
4481,4696
7959,4399
5069,4394
4338,5037
4376,4889
4422,4487
5015,4537
4559,4337
4481,4704
4374,4950
4859,4769
4859,4772
4376,4385
4422,4496
4544,4810
4669,4516
4359,4399
4338,4538
4559,4860
4654,4475
4497,4732
4963,4623
5065,4538
4669,5042
4376,4400
4635,4568
5065,5063
4407,4985
4338,4561
4510,4350
4376,4408
4407,4989
4669,5057
4559,4883
5069,4438
4559,4887
4360,4400
12373,4834
5069,4955
4839,4408
4406,5035
4407,4491
4654,4520
4497,4776
4360,4937
4635,4604
4360,4425
4718,4589
4338,4593
4497,4791
4338,4597
4359,4974
4647,4750
4374,4515
4360,4950
4360,4947
4654,4538
4544,4370
4360,4958
4407,5037
4669,4593
4510,4408
4407,5041
4859,4850
7608,4623
4544,4382
5069,4488
4956,4413
12371,4950
4510,4413
5015,4631
4497,4822
4963,4717
4544,4903
4338,4634
4859,4867
4544,4907
4956,4941
4669,4623
4407,5063
4839,4988
4744,4350
4360,4475
4422,4607
4407,4561
4859,4373
4956,4947
4510,4950
5068,5066
4876,4871
4859,4379
8366,4717
4544,4937
4718,4664
4544,4941
4839,4498
5068,4573
4406,4619
4376,4526
7750,4891
4374,4586
4859,4399
4718,4677
4407,4591
4559,4492
4510,4988
4422,4641
4497,4880
12419,4553
4744,4904
4669,4675
4360,5035
4559,4499
5068,4598
4647,4852
5068,4601
4406,4641
4497,4387
4718,4704
5015,4710
4744,4408
4844,4898
4839,4538
8291,5055
4647,4350
4481,4898
4844,4907
4859,4955
4669,4706
4406,4668
4647,4877
4956,4515
4963,4810
4481,4913
4844,4924
12443,4880
4376,4590
4669,4726
4647,4895
4497,4937
4360,4586
4963,4834
4559,5071
4559,4564
4559,4562
4359,4619
4844,4944
4481,4933
4360,4593
4406,4704
4497,4955
4359,4623
4374,4675
4360,4597
12362,4337
4744,4985
4544,4530
4839,4601
4544,4528
12415,4750
4359,4634
4844,4453
4544,5050
4718,4776
4647,4926
5068,4676
12455,5055
4876,4498
5069,4659
4647,4427
4407,4703
5068,4697
4963,4369
4374,4706
4338,4803
4859,5037
4844,4988
4956,4593
4360,4638
4839,4634
4876,4512
5069,4677
4963,4891
4718,4810
4876,5035
4956,4603
4963,4899
4654,4753
4374,4729
4376,4674
4544,4586
4544,4592
4718,4830
4647,4474
5015,4843
4647,4475
4544,4601
4855,4687
4718,4838
4839,4674
4374,4753
4647,4483
4844,4520
4360,4676
4497,5037
4669,4825
12314,4883
