cause_of_death_1,cause_of_death_2
7910,13927
6919,13928
6721,13927
5796,13927
4103,13163
7844,13927
3285,13946
7976,13930
6721,13928
7711,13958
3946,13938
3518,12876
4316,12712
3286,13928
7646,13933
5268,13930
7671,13163
8373,13927
8207,12929
3220,13931
6127,13927
7646,13941
974,13928
8307,13930
8275,12876
7930,13333
6325,13936
247,13942
3088,13935
3881,13928
12403,13942
7713,13927
3088,13940
9100,13931
7845,13928
5291,13236
8043,13945
314,13926
6721,13965
5354,13333
314,13927
6259,13957
4145,13958
974,13953
6194,13927
5731,13943
529,13415
8043,13960
7647,13943
1305,13942
3769,13333
3571,13333
6855,13927
7912,13928
3155,13940
8176,13937
4080,13940
314,13953
282,12897
7780,13937
8309,13928
314,13965
7935,13236
8243,13934
8111,13931
7054,13927
844,13928
3155,13966
646,13926
844,13932
7979,13930
1439,13927
7649,13929
1372,13958
4214,13928
8019,12712
6262,13926
8243,13960
7847,13942
3908,13178
6022,13178
6017,13333
3771,13333
7848,13926
6923,13928
1393,13333
5668,13931
8264,13333
5932,13946
4280,13958
8046,13943
1242,13928
6329,13930
8179,13928
6262,13958
4214,13964
5972,12712
7888,12712
11878,13956
5999,13937
6197,13942
6726,13926
6660,13927
6990,13942
8069,13260
7739,13260
7981,13950
1397,13260
3820,13927
8179,13977
8114,13940
6218,13333
8180,13959
6067,13928
1393,13415
5670,13946
12145,13933
8600,13236
6265,13942
5578,12712
3623,13927
3623,13926
3381,13236
3755,13930
386,13926
386,13927
1336,13149
6662,13935
5366,13149
6266,13927
4218,13926
6332,13927
1443,13937
8182,13929
12343,13964
7078,13333
6993,13926
11948,13927
6729,13927
8248,13935
5895,13163
7653,13961
1444,13930
13534,13929
8314,13954
8380,13956
1048,13927
8314,13964
5805,13927
7853,13930
3426,13954
4021,13942
5739,13933
6158,13236
4305,13333
11949,13934
4286,13927
11949,13945
3716,13166
5343,13927
1048,13955
5673,13941
1115,13930
8052,13927
6268,13933
8381,13970
7920,13926
3757,13955
6268,13942
8600,13333
7741,13333
4022,13933
6136,13944
7656,13927
5410,13927
4306,13333
4287,13933
323,13937
6071,13928
6071,13926
6071,13933
7789,13927
5694,13333
7855,13927
7921,13935
5609,13927
4155,13943
11951,13937
8186,13928
8252,13935
7790,13927
8186,13942
5808,13927
7987,13969
7592,13926
12084,13931
3185,13333
8319,13930
1470,13260
3496,13941
8253,13937
6007,13927
854,13928
5696,13333
5214,13942
5412,13953
6291,13333
3629,13932
3431,13930
6179,12712
6206,13927
5412,13966
3299,13933
6206,13926
12350,13927
5610,13975
8342,13260
7989,13970
6937,13809
1450,13926
3497,13959
7660,13931
4026,13955
6273,13930
1120,13931
4225,13935
7858,13951
7594,13942
8030,12712
856,13927
1470,13333
4159,13944
6670,13928
8388,13929
394,13931
5679,13940
7925,13944
7727,13945
6075,13955
8255,13958
8189,13957
7067,13927
3367,13941
7661,13945
6076,13927
7747,13333
8851,13928
8255,13973
7992,13927
3961,13967
7794,13927
6803,13927
3764,13927
11956,13935
6142,13942
5812,13935
5482,13926
4293,13926
3962,13947
6275,13927
6825,13260
3170,13929
8323,13937
7002,13927
4095,13931
8125,13927
7861,13927
7927,13929
6804,13928
5812,13959
6011,13943
4228,13927
528,13942
6276,13927
4294,13935
1453,13941
3788,13236
4162,13930
12354,13929
7901,12712
6012,13933
7927,13967
7598,13931
8325,13928
7598,13935
12354,13960
12421,13927
8259,13935
6012,13961
8325,13933
7638,12712
6277,13942
7929,13929
7665,13927
8358,12929
7797,13937
8061,13943
6165,13333
8294,12876
4296,13928
7929,13949
8260,13926
3436,13972
7598,13976
5287,13940
4163,13969
663,13927
3768,13927
5287,13942
7929,13960
3965,13971
4297,13927
7930,13942
6213,13927
6741,13942
5287,13958
8393,13928
8260,13958
7666,13941
4033,13928
6147,13930
4297,13937
7945,13495
6874,13927
5883,13926
4033,13933
664,13927
11895,13938
4119,13333
4185,13333
5223,13927
8023,13149
3571,13942
6148,13927
8394,13942
7756,13236
5289,13937
7073,13934
7007,13932
7007,13931
7998,13927
6941,13928
7007,13935
11962,13929
5752,13931
12093,13978
1392,13930
7601,13967
7073,13949
1457,13967
3835,13981
1128,13930
3374,13937
6149,13935
5223,13968
8197,13937
7073,13960
7999,13926
7735,13927
4319,13333
402,13926
402,13927
1393,13926
3199,13236
5423,13929
8196,13980
402,13935
7999,13955
5952,13926
8198,13928
6216,13937
8396,13945
8198,13933
7009,13934
8065,13963
3929,13163
1367,12712
8066,13943
5331,12712
8396,13948
7009,13940
4193,13178
8397,13928
6217,13927
3706,13942
7075,13953
7009,13949
8133,13927
7670,13945
3178,13935
734,13927
7010,13929
11899,13928
7009,13960
8331,13938
1480,13333
7670,13960
4037,13942
3707,13930
3641,13928
7803,13931
404,13928
4103,13946
6217,13955
7737,13937
3245,13927
6086,13928
3179,13932
404,13942
8397,13965
8068,13931
8200,13937
7884,13495
7606,13927
8134,13941
8333,13929
7804,13944
868,13926
3907,13928
7937,13927
8466,13927
4039,13942
6087,13942
3577,13937
692,13260
6286,13927
4304,13927
5559,13935
4125,13333
8333,13957
5361,13932
6220,13927
7891,13333
7938,13927
8070,13927
7627,13333
5824,13930
7740,13929
8136,13937
1266,13927
5361,13956
1200,13926
8203,13927
8070,13954
407,13937
1200,13931
6221,13928
5891,13928
7939,13926
6948,13927
4040,13964
3710,13958
7014,13935
8666,13927
5759,13927
5956,13970
8071,13935
8468,13928
7807,13935
1333,13928
8402,13935
5231,13926
8468,13937
12124,13236
7896,13236
8270,13937
6024,13934
5958,13930
4306,13942
7808,13933
7610,13935
8337,13934
6024,13952
4109,13928
7980,12712
8072,13953
12059,13236
3184,13938
6024,13960
6025,13928
3537,13236
6025,13933
5585,13236
3713,13927
4109,13937
4109,13940
1367,12929
8337,13945
8073,13937
476,13930
5431,13930
8272,13931
3185,13928
7875,13947
8074,13927
6092,13927
7942,13927
7783,12712
6290,13937
8108,12876
1487,13333
6951,13937
6687,13928
3185,13944
6753,13928
873,13942
8339,13927
11906,13938
11972,13940
6753,13942
7612,13940
6046,13333
7018,13928
8273,13929
6092,13959
12124,13333
6159,13937
7018,13932
5383,13415
7678,13956
5763,13927
6952,13937
8141,13943
7613,13937
8405,13958
4310,13930
6133,12712
8274,13935
6160,13927
4178,13930
6028,13928
11973,13951
6821,13927
6028,13933
5830,13928
7811,13954
5830,13926
3716,13927
9000,13979
12370,13956
9000,13977
8274,13956
8407,13938
8077,13928
5897,13927
6247,13333
1470,13964
4246,13927
4214,12876
12305,13953
4048,13927
8078,13926
5898,13927
8077,13958
5857,13149
1207,13942
7814,13928
6756,13956
5634,13927
9092,13236
6163,13927
6229,13929
4049,13930
11976,13955
3124,13931
7900,13333
8891,13333
7881,13928
7683,13929
8079,13937
878,13941
6824,13938
4267,13333
7617,13930
6229,13959
8212,13927
8146,13927
8277,13956
11911,13956
8278,13935
8013,13959
5702,13927
6895,13809
6759,13937
3424,12876
4315,13929
6006,12712
5636,13942
4117,13927
8081,13927
8278,13959
4051,13927
8695,13333
7817,13927
6099,13937
6363,13942
11932,13333
3623,12876
12640,13929
4316,13928
4315,13959
4316,13933
7044,13333
8280,13928
702,13333
3854,13927
947,13935
7705,13333
7950,13935
1013,13942
3624,12876
8016,13937
3213,13333
12310,13956
8281,13927
3294,12876
8083,13927
1013,13958
4251,13936
8315,12876
7772,13333
7092,13942
7620,13956
6980,13333
7687,13943
7952,13926
8150,13937
8282,13942
751,13927
3624,12929
11916,13929
7641,13333
6036,13942
487,13927
11915,13968
8216,13943
8149,13975
4319,13928
5244,13927
6235,13927
5243,13959
6103,13927
5310,13940
11916,13960
7028,13931
11917,13937
8240,13236
8349,13955
6896,13942
7953,13947
8944,13944
8350,13927
6038,13928
8218,13934
8416,13947
7822,13927
687,13928
6897,13928
5972,13942
3809,13415
6237,13927
1018,13928
6851,13333
753,13952
753,13953
6038,13958
7757,13927
6699,13956
7710,13333
7756,13966
1415,13928
4322,13927
8127,12712
7890,13927
7031,13937
5710,13927
7645,13333
7956,13938
3860,13937
3630,12876
1350,13927
1045,13149
7758,13943
12448,13963
5248,13927
6126,13333
8287,13927
3946,13333
7957,13927
6966,13928
6041,13928
4257,13937
6834,13930
6239,13942
5354,12712
6041,13941
12383,13956
6966,13941
3267,13927
3465,13941
955,13930
7779,13333
5910,13927
823,13928
959,13809
7958,13931
3664,13928
7628,13926
6042,13937
12668,13333
5340,13178
6042,13943
823,13942
1418,13935
1286,13937
8223,13927
8289,13930
7893,13927
8157,13937
3664,13953
692,13926
6241,13940
6638,13927
8395,12712
7034,13937
4279,13333
7629,13930
8157,13943
692,13940
6969,13928
5555,12712
7828,13928
7630,13927
3534,13927
5450,13927
5978,13953
7961,13927
5668,13333
3732,13959
7895,13935
8189,13019
3244,12712
5979,13943
6197,13333
5978,13978
4328,13928
6244,13927
3271,13935
8292,13937
6905,13927
7783,13333
8689,13927
3360,13236
7631,13956
255,13236
8161,13927
5320,13928
8780,13163
6179,13928
960,13927
974,13494
8029,13930
12389,13937
6311,13941
3294,13260
7830,13953
1489,13926
12124,13966
7038,13937
7038,13943
8756,13936
3339,13927
8360,13931
7897,13945
4066,13927
8228,13926
961,13930
6048,13927
8228,13931
7898,13927
7897,13960
3339,13953
11862,13928
6114,13946
3247,12712
3538,13931
4152,13333
7700,13936
4020,13333
8097,13927
6049,13928
8031,13926
632,13930
5719,13930
7767,13937
5389,13935
8230,13930
12392,13932
6049,13958
5871,13333
6975,13927
7834,13926
6314,13942
6711,13926
7966,13937
8032,13943
5257,13958
8099,13927
8098,13955
5919,13929
5677,13236
5985,13928
6248,13971
6646,13928
7703,13927
7835,13937
8185,13333
12347,13333
8251,13333
8100,13927
5939,13333
5959,12712
3938,13927
7043,13928
8165,13959
5919,13959
8166,13933
8780,13333
7902,13929
8384,13333
6251,13927
7704,13945
7902,13949
900,13926
8167,13927
6053,13932
6714,13927
900,13937
7704,13960
6648,13927
7837,13937
702,13941
6185,13959
6252,13927
4304,12876
3411,13939
9027,13928
6053,13962
12132,13926
5482,13236
1099,13942
6186,13943
12330,13937
6781,13928
8035,13977
3412,13934
3544,13937
4073,13926
8301,13927
4139,13927
6055,13928
4007,13926
3875,13928
6914,13927
7904,13955
11969,12876
3412,13949
8896,13934
8169,13937
3545,13927
6276,13236
1120,13333
3545,13937
4007,13958
5924,13928
11975,12712
3436,13236
7840,13927
6651,13927
