film_production_design_by_1,film_production_design_by_2
1747,6835
2567,3432
2144,6821
2555,8418
1752,8234
1632,6834
2785,8469
2590,6834
5398,6835
2967,8469
2512,7734
1748,3773
2624,3244
2916,5455
2244,6834
2397,8234
1699,6835
1868,7742
2582,4049
5873,5455
2408,7909
5380,7936
2827,8234
1852,7742
2628,8264
2629,8234
2424,6917
2084,7742
2807,6835
6094,6835
1768,3213
2293,8442
3036,6917
1943,12130
2276,8469
2557,8469
1722,7734
1933,3244
1772,8237
2839,8442
2201,7742
1937,7734
2493,8418
1670,3213
1987,8234
1524,7742
2873,7909
1537,3244
1849,7909
5234,7936
2806,6917
1683,6917
3021,7936
1841,7657
5975,5455
2049,3773
2410,6917
5598,7936
2048,8418
2143,6499
5288,3213
3039,7909
2262,7936
1934,3773
1879,7014
5337,6835
2798,8234
1774,8234
2659,7936
1837,3213
2561,7909
2728,3244
2265,3773
2336,8234
2312,8469
2138,8237
2261,5455
2528,8442
2215,7909
2330,8442
1709,7734
2366,3244
3080,7734
2268,3213
2878,6835
2760,7936
2031,3398
5785,6835
3079,4190
6166,3213
2377,6499
1872,3213
3041,7936
2470,8234
5686,3773
5518,8469
2233,7909
1921,3244
3077,6834
2248,8469
1968,7936
2503,7742
2151,7909
5715,5455
5774,8234
2100,8469
2169,3773
2240,8234
1784,12130
2843,6948
2620,8234
2768,7742
2135,7909
2748,3244
1846,7657
6261,5455
2924,6499
2818,7742
1758,6821
2269,3268
3873,3213
5400,4004
2562,5455
2962,8418
5709,7742
2043,8234
2171,3244
2796,7936
2865,6821
1723,8442
2202,8442
2136,8442
2482,8469
2310,7657
1595,3201
2331,6499
2258,7742
2631,8469
5363,7742
1614,7742
2745,5455
2486,3244
2998,6835
2175,3166
5275,7936
2828,5455
1601,7657
1665,8234
1688,6499
2979,8469
1750,7657
5294,3268
2455,3213
5533,4049
2706,8234
2036,5455
5906,6835
5590,7936
1574,5455
2073,7909
1567,8234
2112,8237
2634,7936
5954,7936
2684,8442
1613,3244
2505,3243
2856,8234
2967,3773
2632,5455
1743,8442
1690,3432
2212,7734
5693,6835
5803,3432
2192,3244
2949,7936
1634,7742
2579,4049
2803,6835
1630,3773
1694,7936
5344,7936
2208,3268
2173,7936
5261,6931
1734,8234
2423,3773
5820,7014
5330,3773
2402,5455
1778,8418
2323,7909
2930,6499
2196,8264
5994,3166
