countries_spoken_in_1,countries_spoken_in_2
8555,74
8572,6717
1571,6678
8557,29
8554,133
1571,6683
1571,6686
1571,6688
8558,17
8536,14011
8574,6691
8558,28
1745,8479
1639,6652
8576,6647
2217,5
8554,176
1639,6666
14137,166
8557,90
2217,18
8555,147
8557,86
8544,6645
2217,28
8544,6642
8536,9974
8544,6647
2546,78
2217,36
14139,117
8559,50
2217,40
8541,6750
2546,90
2053,12
8576,6700
2217,51
8557,117
8560,35
14138,176
2217,58
2217,60
8576,6717
2546,110
8561,8
8558,104
2251,9258
2217,72
8543,6725
8558,109
2217,76
2546,117
8557,152
8545,6668
1571,10891
8574,10891
2217,87
2251,61
8546,6647
8545,6679
14140,141
8561,32
8558,126
8579,6643
8545,6685
2217,98
14143,54
2217,102
8545,6683
2217,105
8561,54
2217,106
2053,75
2217,117
2251,86
2217,121
2053,84
2217,129
2217,131
2217,130
2217,135
2546,178
14140,194
2217,140
2217,149
14141,176
2217,162
2217,167
8547,6684
8579,6717
8561,117
2217,171
2053,135
2217,186
8564,35
8536,11144
14142,176
8562,117
1745,6644
1745,6647
8561,156
14143,176
2053,186
8549,6678
1777,1585
8561,190
8546,10891
8562,166
8562,176
1745,6700
8545,14011
8564,117
8566,56
1581,6684
8566,71
8563,175
8565,111
1745,6750
8536,11
8536,13
8536,9
8536,20
1745,6767
8536,18
8536,29
8536,25
1571,11144
8536,26
8536,35
8536,31
8536,32
8536,43
8536,54
8536,61
8536,56
8536,69
8553,1585
8536,64
8536,65
8569,67
8536,71
8536,72
8536,73
8569,84
8536,86
8536,79
8537,51
8555,6671
3033,14011
8536,88
8536,90
8536,99
8536,100
8536,97
8536,108
8568,141
8536,110
8539,17
8536,103
8536,105
8536,115
8538,54
8536,117
8571,52
8536,123
8572,32
8536,124
8570,95
2032,18
14138,6683
8536,133
8536,134
14137,6725
8570,97
2032,27
8536,129
8536,130
8536,141
8568,179
8536,147
8536,148
8536,144
8536,145
3033,9974
8570,126
1571,6
8536,152
2032,54
8536,163
8536,164
8570,135
8536,165
8536,166
8558,6645
8536,160
8558,6647
1571,18
1571,21
8536,167
8536,168
8558,6655
8538,117
8536,179
8536,181
1571,30
8536,175
8536,176
8539,84
1571,32
1571,37
8536,184
8536,185
1571,42
8538,133
8536,197
1571,45
8536,191
8539,109
1571,57
1571,62
8574,54
1571,66
1571,68
1571,69
8574,63
8557,6734
8542,41
8538,166
8574,71
2217,6681
1571,82
8571,174
2053,6644
1571,85
8538,176
1639,29
1571,89
8574,89
8575,54
8543,24
1571,98
8543,34
8561,6647
8559,1585
8544,14
8543,38
1571,112
1639,54
8558,6750
8573,141
8544,17
1571,124
8541,117
8541,118
8576,67
2032,176
2053,6694
8574,132
1571,137
1639,77
1571,142
8536,11551
8577,41
1571,143
1571,144
8545,20
1639,86
8576,84
8574,147
8545,22
8575,117
8544,47
8576,80
1571,151
1571,153
1745,11144
2053,6716
8545,24
8542,117
1571,159
8545,37
8545,38
8573,194
8545,34
8577,66
1571,170
1571,172
8579,17
8579,12
1639,117
8543,114
8545,54
8543,117
1571,188
1571,196
1571,197
8578,80
8545,79
8544,104
8543,136
8544,116
8544,117
8575,176
8545,82
8544,126
8565,6645
8579,67
8545,97
8565,6647
1639,175
1639,176
8564,6683
8545,117
8546,84
8543,192
8545,142
8549,13
8545,138
8547,95
1777,9258
8548,71
8545,161
1745,32
8545,183
8545,177
8548,86
8545,188
1745,44
1745,45
8545,185
8546,155
8579,156
8545,187
3033,54
8549,73
8545,198
8549,74
8545,192
1745,52
1745,54
1777,86
1777,90
8549,79
8536,6636
8551,23
8536,6632
2672,3
8579,190
8569,6647
3033,97
1745,89
8552,17
8548,152
8536,6669
8549,122
8536,6664
8536,6666
8570,6645
2672,9258
8536,6671
8536,6683
8536,6686
1745,117
8536,6681
2672,54
2672,56
8549,144
2672,59
1745,127
8569,6700
1581,95
8549,151
2672,75
8536,6704
8536,1585
2672,83
8553,9258
2672,90
2672,94
2672,98
8549,181
8549,182
2672,102
8539,6647
8539,6643
2217,11144
8552,109
8538,6683
2672,117
2672,122
8552,117
14137,34
8572,6679
8539,6676
8570,6750
2053,11144
1571,6632
2032,6683
1571,6639
1571,6644
8539,6705
8572,6700
8539,6700
2672,167
8556,41
1571,6652
8555,73
8541,6647
