organizations_founded_1,organizations_founded_2
8075,13424
6781,10531
3999,12802
3711,13540
3172,3122
4144,12161
3604,13539
3764,12168
7661,12705
3513,13038
7813,12861
5287,13342
6646,12941
7651,8417
3450,14229
6670,11691
3388,8473
8292,3141
45,6637
7858,10706
12,6637
7835,12705
6726,13036
4293,12168
6709,6649
3533,3735
6783,10246
6701,6649
6990,8441
95,6637
6677,6628
3282,14339
3533,7070
8216,12168
8226,13394
6781,13393
6784,6649
6718,6649
3717,13414
6781,6758
6768,6649
3856,3735
8337,14334
7780,13419
5645,14325
3856,7070
7758,9248
8111,9313
6727,6649
6990,1568
6648,12168
179,6637
8197,14332
3450,3802
3718,13414
3860,3125
4036,13544
3871,13542
6769,6649
11941,12723
6646,6627
3450,8421
8015,10267
7826,14334
7826,14340
7920,12705
89,6637
6670,14337
7587,14333
3470,13445
3891,7055
3470,12940
4156,13181
676,13539
3891,14229
5580,12814
4296,12168
3891,13203
3742,3743
7910,6634
6677,6718
7629,14325
6781,11691
6762,6649
6787,6649
8089,9038
1365,12937
6990,12131
7029,3507
3522,3678
7902,14331
7902,14336
6646,13079
6771,6649
6726,13419
6736,9781
7902,14338
8381,14334
8381,14335
6736,6707
3480,4223
132,6637
8218,13255
3750,3282
12254,6661
1304,13062
3381,7042
3193,13386
6755,6649
7956,9352
3522,12152
12356,12723
8119,12489
3533,6949
3450,3122
6962,12779
4081,12747
5420,12964
6646,6706
141,6637
6990,13711
3522,12161
4157,12189
7749,7081
7780,6631
3834,12995
7902,6695
3891,3802
7587,13393
7687,3125
6990,9883
6764,6649
3770,12168
8209,13316
3891,8421
6880,13040
4137,8473
6989,6844
3513,13233
7769,11089
7637,13388
5343,12823
8325,13059
8216,3125
7029,13040
5580,13421
3193,3192
6781,14333
8460,3249
6707,6649
6781,13059
3381,12984
5580,13170
3271,3855
1173,13086
7920,13079
5645,12186
8218,13059
3171,3122
8136,14334
5897,13342
8046,6627
398,13316
7922,8427
52,6637
6648,3125
931,4223
5580,13447
4137,6981
3200,13245
