governmental_body_1,governmental_body_2
5095,13128
8218,14621
5092,13221
5158,13221
5125,13221
8350,14621
13512,13319
13521,13054
8046,12796
5139,12800
5106,12800
5205,12800
13529,12800
7978,12859
11110,13052
8145,12800
7681,12859
13513,13319
5192,13221
13516,13221
5159,13221
5126,13221
5093,13221
13530,12796
13405,14621
7835,13221
51,12859
11441,13052
8078,12859
14912,12970
5173,12800
5140,12800
7981,12796
6646,13221
6756,12894
5160,13221
5127,13221
8397,13221
5193,13221
5094,13221
5164,14123
141,13168
8046,12859
6297,12800
51,12894
7807,14123
5722,13221
7746,12941
6729,12735
8353,14621
13528,12916
5128,13221
5095,13221
5194,13221
5161,13221
13529,12890
3927,14621
7978,12941
5208,12800
5189,13395
5109,12800
7681,12941
5178,12714
13528,12947
5096,13221
7587,12800
5162,13221
5129,13221
9495,13052
3928,14621
8078,12941
13521,13168
8015,12859
5176,12800
5201,13052
7661,14621
6670,14621
5196,13221
5163,13221
5130,13221
5097,13221
5210,12800
12328,13319
5147,12714
3149,13221
5164,13221
5131,13221
5197,13221
5098,13221
5343,12800
8250,12800
5145,12800
7920,12796
7609,13221
13527,13054
6729,12859
8258,14621
5099,13221
5169,14123
5198,13221
5165,13221
8350,12796
13510,14621
5207,12947
7587,12894
5103,14123
8218,12800
5179,12800
7978,13079
5199,13221
5100,13221
5166,13221
8325,14621
5343,12859
6793,12970
6719,13221
5114,12800
13516,13451
13405,12796
5180,12800
7920,12859
8338,13221
5167,13221
5134,13221
5101,13221
7897,14621
11972,13221
5148,12800
7678,13221
5195,13395
5168,13221
5135,13221
5102,13221
8218,12894
8353,12800
5207,13052
7997,14621
5149,12800
5116,12800
7858,12796
7858,12800
5343,12941
8274,13221
12424,14621
3195,12970
5136,13221
5103,13221
5202,13221
5169,13221
8309,13168
5107,14123
7920,12941
8043,13221
8046,13128
5183,12800
5150,12800
9870,12916
7647,13221
13521,13406
6670,12796
5104,13221
5137,13221
7661,12800
5200,13319
8353,12859
5151,12800
6756,13221
6711,14621
5132,13395
5311,12970
13351,14621
51,13221
5142,14123
5201,13319
5138,13221
5105,13221
8075,13319
7835,14621
5133,13395
3928,12859
8318,12970
6646,14621
7849,13168
7661,12859
7858,12894
5172,13221
5139,13221
5205,13221
5110,14123
8397,14621
5106,13221
5186,12800
5087,12800
5153,12800
5120,12800
13513,12714
5200,13395
8353,12941
5140,13221
5107,13221
5173,13221
5111,14123
5090,12735
5201,13395
5121,12800
9870,13052
8075,13395
7731,12800
6297,13221
5108,13221
13513,12766
117,13319
5141,13221
3928,12941
5112,14123
5171,13319
5155,12800
5122,12800
5188,12800
5089,12800
5203,13362
7661,12941
6781,14621
5208,13221
5175,13221
5142,13221
5109,13221
8325,12859
5123,12800
5090,12800
5170,13395
5203,13395
6711,12735
5176,13221
5143,13221
5209,13221
5110,13221
13516,12735
12424,12796
5190,12800
5091,12800
7807,14621
3923,13168
6729,13221
5124,12800
7741,14621
5204,13395
5171,13395
7609,14621
5144,13221
5181,14123
5210,13221
13516,12767
8353,13079
3976,14621
13512,12890
5191,12800
5093,12767
5125,12800
7622,13221
5343,13221
5112,13221
8325,12941
7669,12800
5145,13221
13513,12890
5159,12800
6719,14621
5206,13395
7835,12800
5179,13221
13513,12916
5113,13221
8397,12800
5127,12800
5094,12800
5193,12800
5160,12800
5174,13395
6670,14123
11972,14621
5722,12800
5118,14123
5114,13221
170,12890
11462,13052
7793,13128
10117,12766
6721,14621
7835,12859
6646,12859
8274,14621
5115,13221
5181,13221
5178,13319
5162,12800
5129,12800
5096,12800
7647,14621
13351,12894
6781,12796
5116,13221
5182,13221
5149,13221
7891,13221
7978,14621
13512,13054
5163,12800
5130,12800
8397,12894
5196,12800
7780,14621
6756,14621
5177,13395
5097,12800
7888,13319
801,12859
5133,12714
7681,14621
5150,13221
51,14621
5117,13221
7835,12941
13513,13054
5197,12800
7793,13221
13521,12800
5164,12800
5178,13395
7661,13221
6646,12941
5184,13221
5151,13221
11969,12800
7609,12796
5118,13221
7827,13221
5198,12800
8046,14621
5165,12800
3976,12796
5201,12714
5146,13395
5147,13362
6781,12894
13530,14621
8075,12714
5152,13221
5119,13221
7888,13395
5086,13221
5199,12800
5166,12800
3976,12823
7981,14621
5100,12800
5147,13395
6726,14621
7609,12859
8258,13221
5120,13221
5087,13221
5186,13221
5153,13221
8015,14621
8338,12800
5134,12800
3976,12859
11972,12800
7678,12796
11972,12796
7678,12800
5187,13221
13521,12916
1058,13221
5088,13221
5154,13221
5121,13221
13513,13168
13523,12859
5135,12800
5102,12800
5168,12800
3976,12894
7587,14621
5171,12714
5188,13221
5155,13221
6721,12800
5126,14123
5093,14123
5122,13221
5089,13221
9422,13052
8274,12796
7609,12941
6729,14621
13516,13128
7746,12800
7647,12796
7635,13168
5156,13221
5123,13221
7647,12800
13528,12766
5150,13406
3976,12941
12734,12800
5090,13221
108,13052
5137,12800
5104,12800
108,13054
8143,12800
12424,13221
6756,12796
10117,13052
5343,14621
6756,12800
5124,13221
5091,13221
5190,13221
5157,13221
5095,14123
51,12796
8078,12796
5150,13451
5138,12800
7920,14621
51,12800
5185,13395
8078,12800
7746,12859
5191,13221
