subjects_1,subjects_2
1826,1825
2621,14047
2596,6629
2489,14045
2369,12647
2258,14039
1796,1739
3051,14039
1877,13569
2262,13923
1703,1557
2324,14051
1532,14030
2523,14030
2002,13797
2868,12554
5595,14031
2787,13019
2035,13803
5760,14039
1542,13728
2380,13352
2283,13286
2894,13803
1371,1625
2795,13803
6199,13752
2828,13803
3018,14060
700,9119
2085,13288
2050,13352
1902,1557
2564,13803
1887,13286
2788,14029
7032,12517
5247,12554
1638,1557
2770,13569
5530,14029
2491,14032
2036,13803
1772,13797
1808,8585
5345,13630
3060,1521
2491,13019
2427,13981
6059,1739
6576,54
1579,13646
2920,14059
2664,13803
2161,14039
2930,13752
2846,13286
2039,13728
1570,13934
6503,13587
5644,8476
1516,12543
2450,13286
1514,13630
2525,14034
2516,12268
2375,13569
1905,13803
2349,13352
2474,12554
2929,1521
2184,13352
6272,13600
2632,13803
2228,14039
1877,12635
2106,13728
2430,13923
1707,1521
2868,12635
1865,14035
1974,13728
3054,14042
1691,13286
1008,13981
1607,1557
2063,14048
2959,13923
14926,12608
5844,12554
2262,14028
2228,1769
2926,13923
2340,12635
1898,14049
2427,14039
3002,13621
1939,13806
2820,1857
2073,13752
2923,14029
1866,14030
6285,12210
1737,9840
1806,1557
2859,1685
2441,13619
2626,14029
2740,13569
1635,14032
1615,13630
2518,13286
2533,1557
654,13728
580,13975
2971,13587
1564,2931
2430,1685
3037,13591
2065,1739
2890,14051
6279,8318
2186,13352
2087,13352
2903,12635
8501,13172
1717,12536
5504,13923
1846,12635
5745,13621
2245,12554
5855,13288
5810,12635
1537,14028
2522,11144
2244,12593
2263,14052
1633,13104
2543,13569
2372,13752
2495,14036
2998,13803
2548,108
2299,1685
2264,14034
1831,1857
246,13104
2090,13286
1918,13497
5615,12554
2621,9119
2231,14040
1971,11863
1850,13569
2264,14052
2707,13630
2371,13806
627,13600
2196,1825
1866,13079
5689,13352
1810,13796
2595,14037
1981,12593
2298,14033
1816,12593
2178,12635
5384,13600
2114,8478
6211,12543
2155,13352
2504,13797
2275,13728
1579,13803
1981,13630
2669,1521
1737,14033
2115,12554
2842,13569
2811,12487
1563,13286
2696,2739
2060,7101
5515,12635
2042,13806
2264,12043
5485,13569
2662,13019
2664,13981
5437,14033
2026,13286
5452,12554
2210,13728
2960,14029
3017,13286
1770,1769
1951,12543
1646,2541
2906,12635
1514,7661
1783,12635
2512,13587
2762,14032
6164,14046
1903,14039
2686,8197
2002,14041
5864,13104
2715,6276
2103,7844
2984,12277
2480,13569
2168,14028
2869,13803
1890,8314
3001,1521
2763,1739
1739,1739
2671,13806
2928,14034
1919,13569
2638,1521
2961,14039
2961,13019
2628,13104
1622,13569
2523,13286
5938,7780
1846,13797
2143,1521
5484,12635
2268,14029
1842,13923
2169,14029
2202,14029
2514,12554
6254,13352
6157,13286
1706,14052
2513,13611
1772,14053
2838,13777
1740,1739
6056,13352
627,13716
2821,13286
2590,13282
1716,13752
5750,8510
6338,12809
2302,1739
2611,12647
2698,14046
5620,12554
2216,13630
2993,13094
1803,9024
2110,1557
2119,13569
2246,12705
2380,12647
1828,66
5882,12635
2548,13587
2963,14034
1783,13752
2963,14039
2973,13728
2600,14030
1755,13600
1987,12554
2534,14032
1751,13728
2085,12593
2547,13630
2582,13569
2548,13601
14756,1739
1675,13019
2228,13286
1920,12593
1595,4238
2317,13600
1881,13806
1829,4156
2905,1521
1907,1739
2201,13104
2898,14028
6619,13363
2417,12554
2138,14040
2889,13286
1847,1557
2575,13806
2679,12630
14756,1769
5820,13569
2008,7835
2476,1521
2568,14029
1686,13728
2601,14034
2417,12573
2020,12593
2262,13286
5424,13569
1579,13981
1920,12630
2070,13104
2824,13286
627,13809
1734,13286
2881,13569
2185,13641
5695,11329
2581,12635
2246,13803
2083,13739
5566,13288
2408,6735
2314,13752
1751,13797
2600,13079
2584,12554
2711,13739
2122,12543
6302,14033
3041,13752
2249,13728
1652,13806
1593,13587
5715,13803
2352,13611
1619,1521
1659,13594
2790,13352
2836,1685
2253,12593
1977,13981
2869,13981
3079,12593
5466,13352
2574,1625
2947,12593
2471,14036
2375,13945
2189,12543
2165,13286
2123,12543
2211,1625
2750,13587
2110,1685
3006,1557
5706,1825
2677,1521
1877,14032
2781,12635
1613,1739
2230,8214
2911,13728
2122,13611
2738,1685
1628,13569
2406,14028
1747,13981
2056,12593
2331,13286
6620,14471
2289,13569
5864,8218
1510,3928
2241,14036
627,14919
1989,12635
2652,13587
5548,13923
1884,1557
5776,14029
1911,14034
1954,13728
2655,190
2738,2737
2717,13630
8724,14810
5692,13569
5758,13569
2485,12635
2264,5156
1680,13019
2011,14029
6254,13569
1921,13752
1834,9284
2850,13630
2158,12554
2816,12635
1549,1739
5777,14029
1700,13444
2684,12635
2514,1521
1555,1557
1846,14039
1891,12647
1615,14034
2086,13771
1868,3124
1531,12554
5345,13104
2375,14043
1952,1557
6196,13352
2687,12565
2928,13286
2961,13286
2614,13806
1979,14034
2375,7902
1915,1685
1748,14029
2838,14033
2893,13352
1691,13752
2375,14055
2719,13630
2655,13569
1928,12554
2375,14058
2466,13288
2853,12554
5250,14028
5234,13497
2268,13286
2310,14034
5250,14029
1977,13094
6199,13286
2287,13728
2839,14029
2830,13286
2103,2031
1657,1521
2516,13803
2013,14039
2147,13981
1828,13630
2818,12635
5295,12647
2940,1685
14927,13064
2575,14028
2358,13587
14756,7099
2258,12593
5695,13569
2722,12554
2302,13286
14756,7122
2585,13728
2608,14039
2740,7902
14756,7119
2381,1625
2300,13352
2021,1521
2172,8105
5330,13630
1803,90
1948,14028
2755,13586
2938,14057
1555,13923
2278,14040
1993,12635
5273,13352
14756,7128
1526,13803
3027,13352
2921,13569
5750,9840
2741,14028
14756,7137
2783,13752
1633,13567
1558,1557
1686,1685
2399,9284
2154,1521
2611,13981
2576,14042
2881,13803
1556,13923
6192,13569
345,12554
6225,13569
2919,12635
2663,12379
1907,13286
5399,12554
2742,14028
2823,13569
5994,13569
1860,13728
1733,13569
14756,7166
2050,13981
2818,13728
1544,13286
2118,13923
2523,12635
1616,13104
2790,12554
1672,13420
2663,108
5935,51
2561,8393
1654,13981
1924,13806
2049,14029
1656,13923
14756,7179
2789,13620
1959,13752
2887,12635
2092,13728
2537,8126
2181,14042
2393,12593
2218,13923
2420,1521
2322,13777
2415,1685
1686,13019
1822,13923
2182,1739
2362,13569
6110,13094
2578,13019
2942,14028
2131,13569
2621,13738
2098,13569
2593,13587
1753,14029
2629,184
5295,13797
2410,9024
1699,12635
2918,13758
1768,13569
2322,1515
1594,1557
2157,13803
2634,13352
2909,13019
2711,14041
2390,13752
5995,12593
2216,14030
5890,13803
2725,12593
2752,13803
5323,13981
2094,13728
2084,14038
1877,13286
1760,1557
2362,13615
1809,13352
2679,14030
2726,12573
1710,13352
2547,14030
1578,13352
1731,13728
6619,13750
1626,1625
1789,13981
958,9024
2646,14042
6619,13759
217,13569
2892,13587
1886,14056
1754,14052
1688,14050
6066,13497
1866,12630
1902,12537
2911,14028
1073,13666
2812,14031
2588,1521
2728,13569
1704,13569
5401,12630
5363,13806
1957,13923
2781,13981
2713,14040
5886,13981
6338,13288
1994,13806
2317,14034
2062,13752
6362,13569
1792,13929
3020,13752
2259,3553
1697,13806
1524,14050
2449,14049
1888,14034
2789,13752
6027,13728
2894,13569
1696,1557
1898,13728
2648,14029
2292,13803
2156,13923
2976,13079
2582,14032
6619,1523
1537,12635
1573,13569
2679,13079
2483,14034
1779,12310
1962,1521
1764,13806
2045,13286
2988,13752
2084,13104
1599,13803
1605,13619
3025,13630
3012,14036
2516,14054
1904,13569
5886,14036
2862,12554
1724,14039
5469,12635
5888,7835
7580,12728
1691,13019
2987,13803
5769,12554
2400,12543
341,1625
2156,1685
2077,13352
2255,13981
1958,1685
1716,13286
1698,1557
1760,1685
1567,7670
1923,14044
1923,14049
2036,12593
6192,13803
5689,14040
2675,7125
2093,7758
2918,13929
2203,13569
1990,14029
2190,7835
1872,13600
2846,13104
6619,14922
2798,13569
5373,12593
5954,14042
5597,1557
1802,7589
217,13716
2675,7151
2534,13569
5756,14039
5903,12554
2097,13806
5373,13630
1872,12593
2531,12647
1773,13619
3021,13843
2725,13803
2171,13569
1707,12593
2063,1557
5459,14039
1717,5115
2125,1685
1997,1557
5408,12554
1964,1557
1970,12635
2850,14030
1727,1739
2494,13803
1602,1521
2764,13630
2362,13803
1696,1685
2478,13286
2402,13596
2433,12635
2583,13104
3063,13587
2751,14042
5838,12554
1900,13803
2398,13728
2522,13981
1906,13621
2467,13638
1768,13803
1709,13587
1808,8475
2980,13104
1636,1521
2594,1521
2554,14028
1959,13019
1697,1685
2091,14049
2635,13569
2932,12554
2965,12554
1578,13569
3020,13923
2298,13777
2630,13728
5527,14031
2431,13752
14948,12799
1687,4051
2884,14052
1868,13803
5938,13587
1868,13806
2246,12327
2279,13352
3031,12573
1993,14032
2909,13286
217,13796
2436,12593
1810,13569
6576,13286
2602,8478
2918,14041
2364,1521
1969,13766
2067,13803
5947,13333
5596,1685
6093,13925
2270,12635
