party_1,party_2
8075,13424
7958,12694
8043,13393
7888,13332
6361,13059
7897,13059
7963,13059
7622,13393
5700,13328
801,13393
5343,13393
8258,13393
8218,14634
11861,14340
5296,13059
8250,13393
449,13059
5379,13059
7741,13059
7997,13059
8143,13393
8325,13393
7780,13393
6756,13393
8350,13393
7681,13393
8318,13103
4240,13059
7731,13393
6726,13059
8381,12694
7637,12731
8353,13059
7713,13188
6297,13059
7807,14635
8074,13268
3927,13059
8337,14340
8015,13059
7963,13393
1333,14637
8277,13393
7981,14634
7849,13344
7670,13268
8046,13393
8145,13393
6221,13393
6719,13059
8328,14633
4316,13059
7669,13059
7635,13344
7793,14333
3928,13059
6711,13059
8023,13344
7826,14340
8379,13328
3796,13059
11969,13393
7587,14333
7609,13393
7847,13188
4156,13181
8197,14633
7678,14333
7981,13393
3976,13393
6218,13268
7835,13059
12424,13393
8297,13328
8197,13103
5490,13059
826,13001
8397,13059
5628,13393
6299,13328
6729,13059
7793,14635
7891,13393
6721,13059
7858,13393
8381,14335
8274,14333
6267,13059
11972,14635
7824,13181
6950,13393
6719,13393
7790,13224
8397,14634
7647,14333
8010,13059
12651,13059
8075,14638
7746,13059
6696,6695
8338,13393
7595,13393
8075,14636
7661,13393
7910,14633
7902,6695
11972,13393
1173,13059
7682,13268
7678,13393
7920,13059
7978,13059
6756,14333
8325,13059
7827,13393
6295,13268
6646,13393
352,13183
6781,14333
1058,13059
3923,13344
3796,13183
7647,14635
8218,13059
7647,14634
8078,13059
8136,14340
5722,13393
8022,13268
726,13393
