member_1,member_2
7219,8725
6706,51
12479,1316
7249,7798
7217,8789
7249,3701
7261,3328
6626,6636
6625,6666
7249,3706
7249,3705
7249,7801
6626,6639
6626,6644
6625,6672
7261,3345
6626,6652
7219,8749
7249,3725
6625,6684
7211,9002
6627,6632
12486,5224
6626,6668
7217,8827
7235,8269
6627,6636
8861,7012
6626,6671
7212,793
6627,6639
7242,8054
6626,6669
6625,6700
6627,6645
7249,7843
6627,6644
7215,8896
6627,6643
6627,6642
6625,6704
7217,8838
7212,8993
6627,6647
6626,6678
8626,6115
6626,6684
6627,6652
6934,5325
6626,6688
6706,111
6627,6655
7249,3757
6626,6685
7249,3756
6627,6664
6706,118
6625,6725
6627,6669
6626,6700
6627,6668
6627,6666
6625,6734
6706,127
6627,6672
6857,3638
6627,6671
6706,132
6627,6676
7249,3777
6627,6681
6627,6679
6627,6678
6627,6685
6627,6684
6627,6683
7261,3412
6627,6689
6627,6688
7210,9095
6627,6686
6706,141
6629,6630
6627,6691
6656,5791
6627,6694
7267,3238
7215,8953
6629,6638
6627,6700
6627,6705
6627,6704
9113,3362
6627,6702
6629,6646
7247,7968
7259,7596
6629,6651
7259,7601
7249,3813
7217,8901
6629,6648
7219,8838
7249,3812
6627,6717
7230,312
6627,6716
9019,6296
6627,6725
7249,3827
7249,3825
6629,6660
3824,7601
6629,6670
7249,7929
7224,8709
7249,3837
7201,5325
6627,6734
7219,8869
6629,6677
6628,6711
6629,6687
6627,6746
7225,8695
7249,3854
7212,9095
7215,9002
4221,3519
7215,814
6629,6699
6631,6636
7249,3862
4221,3520
7198,1345
4209,7994
7249,3865
7249,7960
6631,6644
7242,4087
6863,7644
6628,6736
6627,6767
9113,3426
6631,6642
7249,7971
8829,8144
7249,7968
7261,7596
6629,6714
7198,1368
6631,6655
12480,5563
6631,6654
6629,6723
6629,6721
7249,7980
6629,6726
7242,8201
7249,3895
7249,7991
7261,7618
6629,6729
8847,7600
6629,6735
7249,7995
7249,7994
7217,793
6938,5346
7249,3896
6631,6676
6631,6681
6631,6679
6629,6741
3824,7684
6631,6684
7249,8004
7262,7601
6628,6781
6857,3777
6629,6753
7201,5405
9113,3485
8825,4222
6629,6756
6633,6639
6628,6794
6631,6700
6633,6636
7249,8027
6629,6765
7249,8025
6631,6702
7284,6939
8867,7018
6629,6770
7217,9021
7242,8246
7249,8028
6633,6652
7215,898
9122,3220
7249,8042
7249,8041
6634,6632
6631,6725
7261,7674
6634,6636
6633,6666
1631,6079
7201,1345
6633,6671
7249,8055
7219,793
6634,6639
7249,3958
7249,8054
6633,6669
7242,4173
6634,6644
6634,6643
6634,6642
7254,3812
6634,6647
6633,6678
6634,6645
6634,6652
8840,7899
6631,6744
12724,6277
6633,6686
6633,6685
6633,6691
7261,7701
6633,6688
6631,6750
6634,6664
7261,7706
6634,6668
7249,8083
6635,6636
6634,6666
6634,6672
6634,6671
6634,6669
6634,6676
6633,6704
7206,5325
7261,3627
6634,6679
9113,3553
6634,6678
6631,6777
6634,6684
6634,6683
6635,6652
6634,6681
6634,6688
7217,9095
12048,6783
6634,6686
7261,7729
6634,6685
6634,6691
6634,6689
7249,4014
6634,6694
6631,6786
7249,4012
6635,6669
6634,6700
6635,6668
6634,6704
6635,6671
6634,6702
7249,4026
6634,6705
6635,6678
6635,6685
6634,6716
7259,3725
6635,6688
6634,6717
7249,8132
6634,6725
7261,7768
6637,6643
7249,4055
6637,6642
6634,6734
6637,6647
6637,6645
6637,6644
7267,7600
7249,4060
7261,7791
7219,9097
9122,3357
7261,3701
9029,6243
6637,6664
7249,4087
7242,8398
7249,4084
7249,8180
6637,6679
7220,9086
7252,3996
8058,3586
6637,6676
8847,7798
9010,6841
6637,6684
6637,6689
6637,6694
7249,4106
7261,3736
7249,8211
6637,6702
7249,8210
7249,8209
6637,6700
6637,6705
7249,4116
7261,7846
7249,4127
7249,8226
6637,6717
7247,8287
6637,6716
3817,8128
13059,8353
7242,268
7249,8246
7261,3777
7249,8254
6640,6652
8943,793
6640,6658
6640,6664
7249,4168
7261,3803
6640,6669
7249,8269
6641,6642
6640,6671
6641,6647
7225,9021
7261,3812
6640,6686
9113,3756
12479,5909
9113,3757
8746,6942
8817,8838
1631,6321
7209,1345
7249,4201
6641,6664
8685,8843
7259,3896
7249,8302
7261,7929
6640,6704
7261,3837
7249,4214
6641,6676
7249,4219
1631,6346
7249,4222
7257,8069
6641,6684
6656,6223
7224,9095
7215,1189
6641,6694
7249,8326
7261,3862
7259,8025
6641,6702
6641,6700
7261,7960
6641,6705
7206,1477
7249,8345
7249,4248
7249,4254
8846,7991
13266,6138
7249,8358
7261,3888
7261,7995
7261,7994
7259,3958
7249,8378
7249,4282
7261,3909
7261,8004
3817,8278
7212,1345
7249,8389
4221,8055
7261,8027
7249,8399
7249,8398
7249,4300
9122,7686
7252,4212
7261,8028
6656,6308
7257,4070
7261,8042
7212,1368
7261,8041
9122,7701
4259,6909
7217,5325
7267,7876
9113,3896
8691,8789
7212,1401
4221,4014
7242,8672
7270,3706
7261,8089
7267,3813
7232,8993
7215,1345
7267,3827
7261,4012
8825,8789
7266,7968
7277,7625
12724,6711
7261,8132
7261,8142
7032,7048
7261,4055
7270,7876
13511,6913
6649,6650
7261,4062
9113,8089
6649,6653
6649,6659
7215,1401
7062,6144
6649,6657
7261,8164
7243,535
6629,3184
6649,6665
7217,1345
8839,4311
6649,6675
7261,4087
7261,8180
12480,6138
7261,4088
6649,6682
6649,6680
7217,1360
8840,8398
8970,268
7235,9002
7217,1368
7259,4168
6649,6693
7261,8201
