treatments_1,treatments_2
13958,14473
13415,14792
13941,14110
14111,14473
14096,14551
14101,14792
13974,14120
13260,14110
12876,14110
13965,14792
14104,13809
14094,14120
13926,14473
14794,13165
13178,14110
13149,14110
14112,14473
14111,14120
13236,14110
13942,14110
12712,14110
13974,14793
13494,13809
13333,13809
13973,13809
14101,13809
13944,13809
14101,13165
13956,14473
13965,13809
14119,14793
14107,14792
13972,14110
12897,14792
13163,14110
12929,13809
13977,14473
13965,14473
13166,14792
14106,13809
13415,14110
12876,13809
13260,13809
13944,14110
13937,13809
13333,14110
14119,13809
14114,14473
14107,13809
14101,14120
13974,14473
13149,13809
12929,14110
13236,13809
13971,13809
13942,13809
14094,14473
14107,14581
13178,13809
